Name,TaxLevel,Metabolism
Abiotrophia,Genus,AerobicResp
Acaricomes,Genus,AerobicResp
Acetobacter,Genus,AerobicResp
Acetobacterium,Genus,Ferm
Acetoclastic Methanogen,Genus,Ferm
Acetofilamentum,Genus,Ferm
Acetomicrobium,Genus,Ferm
Acetonema,Genus,Ferm
Acetothermus,Genus,Ferm
Acholeplasma,Genus,AerobicResp
Achromobacter,Genus,AerobicResp
Acidaminobacter,Genus,Ferm
Acidaminococcus,Genus,Ferm
Acidilobus,Genus,Ferm
Acidimicrobium,Genus,Fe_oxidizer
Acidisphaera,Genus,AerobicResp
Acidithiobacillus,Genus,SOB
Acidobacterium,Genus,AerobicResp
Acidocella,Genus,AerobicResp
Acidomonas,Genus,AerobicResp
Acidovorax,Genus,AerobicResp
Acinetobacter,Genus,AerobicResp
Actinobacillus,Genus,Ferm
Actinobaculum,Genus,Ferm
Actinocatenispora,Genus,AerobicResp
Actinokineospora,Genus,AerobicResp
Actinomadura,Genus,AerobicResp
Actinomyces,Genus,AerobicResp
Actinopolymorpha,Genus,AerobicResp
Actinopolyspora,Genus,AerobicResp
Actinosynnema,Genus,AerobicResp
Adhaeribacter,Genus,AerobicResp
Aequorivita,Genus,AerobicResp
Aeriscardovia,Genus,Ferm
Aerobic respiration,Genus,Ferm
Aerococcus,Genus,AerobicResp
Aeromicrobium,Genus,AerobicResp
Aeromonas,Genus,AerobicResp
Aeropyrum,Genus,AerobicResp
Aestuariimicrobium,Genus,AerobicResp
Afipia,Genus,AerobicResp
Agreia,Genus,AerobicResp
Agrobacterium,Genus,AerobicResp
Agrococcus,Genus,AerobicResp
Agromyces,Genus,AerobicResp
Akkermansia,Genus,Ferm
Alcaligenes,Genus,AerobicResp
Alcanivorax,Genus,AerobicResp
Algibacter,Genus,Ferm
Algoriphagus,Genus,AerobicResp
Alicyclobacillus,Genus,AerobicResp
Alishewanella,Genus,AerobicResp
Alistipes,Genus,Ferm
Alkalibacillus,Genus,AerobicResp
Alkalibacter,Genus,Ferm
Alkalibacterium,Genus,AerobicResp
Alkaliflexus,Genus,Ferm
Alkaliphilus,Genus,Ferm
Alkalitalea,Genus,Ferm
Allofustis,Genus,AerobicResp
Alloiococcus,Genus,AerobicResp
Alloscardovia,Genus,Ferm
Alteromonas,Genus,AerobicResp
Alysiella,Genus,AerobicResp
Amaricoccus,Genus,AerobicResp
Aminiphilus,Genus,Ferm
Amino Acid (Stickland),Genus,Ferm
Aminobacterium,Genus,Ferm
Anaerobaculum,Genus,Ferm
Anaerobiospirillum,Genus,Ferm
Anaerobranca,Genus,Ferm
Anaerococcus,Genus,Ferm
Anaerofilum,Genus,Ferm
Anaerofustis,Genus,Ferm
Anaerolinea,Genus,Ferm
Anaeromusa,Genus,Ferm
Anaerophaga,Genus,Ferm
Anaeroplasma,Genus,Ferm
Anaerorhabdus,Genus,Ferm
Anaerorobic respiration,Genus,Ferm
Anaerosinus,Genus,Ferm
Anaerostipes,Genus,Ferm
Anaerotruncus,Genus,Ferm
Anaerovibrio,Genus,Ferm
Anaerovorax,Genus,Ferm
Anammoxoglobus,Genus,ANAMOX
Ancylobacter,Genus,AerobicResp
Aneurinibacillus,Genus,AerobicResp
Anoxybacillus,Genus,AerobicResp
Antarctobacter,Genus,AerobicResp
Aquamicrobium,Genus,AerobicResp
Aquaspirillum,Genus,AerobicResp
Aquiflexum,Genus,AerobicResp
Aquimarina,Genus,AerobicResp
Arcanobacterium,Genus,Ferm
Arenibacter,Genus,AerobicResp
Arsenic,Genus,Ferm
Arsenicicoccus,Genus,AerobicResp
Arsenophonus,Genus,AerobicResp
Arthrobacter,Genus,AerobicResp
Asteroleplasma,Genus,Ferm
Atopobium,Genus,AerobicResp
Atopococcus,Genus,AerobicResp
Azoarcus,Genus,AerobicResp
Azorhizobium,Genus,AerobicResp
Azospira,Genus,AerobicResp
Azospirillum,Genus,AerobicResp
Azotobacter,Genus,AerobicResp
Azovibrio,Genus,AerobicResp
Bacillus,Genus,AerobicResp
Bacteroides,Genus,Ferm
Balneatrix,Genus,AerobicResp
Barnesiella,Genus,Ferm
Bdellovibrio,Genus,AerobicResp
Beijerinckia,Genus,AerobicResp
Belliella,Genus,AerobicResp
Beutenbergia,Genus,AerobicResp
Bifidobacterium,Genus,Ferm
Bizionia,Genus,AerobicResp
Blastococcus,Genus,AerobicResp
Blastomonas,Genus,AerobicResp
Bogoriella,Genus,AerobicResp
Borrelia,Genus,AerobicResp
Bosea,Genus,SOB
Brachyspira,Genus,Ferm
Bradyrhizobium,Genus,AerobicResp
Brenneria,Genus,AerobicResp
Brevibacillus,Genus,AerobicResp
Brevibacterium,Genus,AerobicResp
Brevinema,Genus,AerobicResp
Brocadia,Genus,ANAMOX
Brochothrix,Genus,AerobicResp
Brooklawnia,Genus,Ferm
Brumimicrobium,Genus,AerobicResp
Bulleidia,Genus,AerobicResp
Butyrivibrio,Genus,Ferm
CH4 Ox,Genus,Ferm
Caldanaerobacter,Genus,Ferm
Caldicellulosiruptor,Genus,Ferm
Caldivirga,Genus,Ferm
Caloramator,Genus,Ferm
Caloranaerobacter,Genus,Ferm
Caminicella,Genus,Ferm
Capnocytophaga,Genus,AerobicResp
Carboxydothermus,Genus,AerobicResp
Cardiobacterium,Genus,Ferm
Catellatospora,Genus,AerobicResp
Catenibacterium,Genus,Ferm
Catenuloplanes,Genus,AerobicResp
Cellulomonas,Genus,AerobicResp
Cellulophaga,Genus,AerobicResp
Cellulosimicrobium,Genus,AerobicResp
Cellvibrio,Genus,AerobicResp
