"","ERR1090777","ERR1090778","ERR1090779","ERR1090780","ERR1090781","ERR1090782","ERR1090783","ERR1090784","ERR1090785","ERR1090786","ERR1090787","ERR1090788","ERR1090789","ERR1090790","ERR1090791","ERR1090792","ERR1090793","ERR1090794","ERR1090795","ERR1090796","ERR1090797","ERR1090799","ERR1090800","ERR1090801","ERR1090802","ERR1090803","ERR1090804","ERR1090805","ERR1090806","ERR1090807","ERR1090808","ERR1090809","ERR1090810","ERR1090811","ERR1090812","ERR1090813","ERR1090814","ERR1090815","ERR1090816","ERR1090817","ERR1090818","ERR1090819","ERR1090820","ERR1090821","ERR1090822","ERR1090823","ERR1090824","ERR1090825","ERR1090826","ERR1090827","ERR1090828","ERR1090829","ERR1090830","ERR1090831","ERR1090832","ERR1090833","ERR1090834","ERR1090835","ERR1090836","ERR1090837","ERR1090838","ERR1090839","ERR1090840","ERR1090841","ERR1090842","ERR1090843","ERR1090844","ERR1090845","ERR1090846","ERR1090847","ERR1090848","ERR1090849","ERR1090850","ERR1090851","ERR1090852","ERR1090853","ERR1090854","ERR1090855","ERR1090856","ERR1090857","ERR1090858","ERR1090859","ERR1090860","ERR1090861","ERR1090862","ERR1090863","ERR1090864","ERR1090865","ERR1090866","ERR1090867","ERR1090868","ERR1090869","ERR1090870","ERR1090871","ERR1090872","ERR1090873","ERR1090874","ERR1090875","ERR1090876","ERR1090877","ERR1090878","ERR1090879","ERR1090880","ERR1090881","ERR1090882","ERR1090883","ERR1090884","ERR1090885","ERR1090886","ERR1090887","ERR1090888","ERR1090889","ERR1090890","ERR1090891","ERR1090892","ERR1090893","ERR1090894","ERR1090895","ERR1090896","ERR1090897","ERR1090898","ERR1090899","ERR1090900","ERR1090901","ERR1090902","ERR1090903","ERR1090904","ERR1090905","ERR1090906","ERR1090907","ERR1090908","ERR1090909","ERR1090910","ERR1090911","ERR1090912","ERR1090913","ERR1090914","ERR1090915","ERR1090916","ERR1090917","ERR1090918","ERR1090919","ERR1090920","ERR1090921","ERR1090922","ERR1090923","ERR1090924","ERR1090925","ERR1090926","ERR1090927","ERR1090928","ERR1090929","ERR1090930","ERR1090931","ERR1090932","ERR1090933","ERR1090934","ERR1090935","ERR1090936","ERR1090937","ERR1090938","ERR1090939","ERR1090940","ERR1090941","ERR1090942","ERR1090943","ERR1090944","ERR1090945","ERR1090946","ERR1090947","ERR1090948","ERR1090949","ERR1090950","ERR1090951","ERR1090952","ERR1090953","ERR1090954","ERR1090955","ERR1090956","ERR1090957","ERR1090958","ERR1090959","ERR1090960","ERR1090961","ERR1090962","ERR1090963","ERR1090964","ERR1090965","ERR1090966","ERR1090967","ERR1090968","ERR1090969","ERR1090970","ERR1090971","ERR1090972","ERR1090973","ERR1090974","ERR1090975","ERR1090976","ERR1090977","ERR1090978","ERR1090979","ERR1090980","ERR1090981","ERR1090982","ERR1090983","ERR1090984","ERR1090985","ERR1090986","ERR1090987","ERR1090988","ERR1090989","ERR1090990","ERR1090991","ERR1090992","ERR1090993","ERR1090994","ERR1090995","ERR1090996","ERR1090998","ERR1090999","ERR1091000","ERR1091001","ERR1091002","ERR1091003","ERR1091004","ERR1091005","ERR1091006","ERR1091007","ERR1091008","ERR1091009","ERR1091010","ERR1091011","ERR1091012","ERR1091013","ERR1091014","ERR1091015","ERR1091016","ERR1091017","ERR1091018","ERR1091019","ERR1091020","ERR1091021","ERR1091022","ERR1091023","ERR1091024","ERR1091025","ERR1091026","ERR1091027","ERR1091028","ERR1091029","ERR1091030","ERR1091031","ERR1091032","ERR1091033","ERR1091034","ERR1091035","ERR1091036","ERR1091037","ERR1091038","ERR1091039","ERR1091040","ERR1091041","ERR1091042","ERR1091043","ERR1091045","ERR1091046","ERR1091047","ERR1091048","ERR1091049","ERR1091050","ERR1091051","ERR1091052","ERR1091053","ERR1091054","ERR1091055","ERR1091056","ERR1091057","ERR1091058","ERR1091059","ERR1091060","ERR1091061","ERR1091062","ERR1091063","ERR1091064","ERR1091065","ERR1091066","ERR1091067","ERR1091068","ERR1091069","ERR1091070","ERR1091071","ERR1091072","ERR1091073","ERR1091074","ERR1091075","ERR1091076","ERR1091077","ERR1091078","ERR1091079","ERR1091080","ERR1091081","ERR1091082","ERR1091083","ERR1091084","ERR1091085","ERR1091086","ERR1091087","ERR1091088","ERR1091089","ERR1091090","ERR1091091","ERR1091092","ERR1091093","ERR1091094","ERR1091095","ERR1091096","ERR1091097","ERR1091098","ERR1091099","ERR1091100","ERR1091101","ERR1091102","ERR1091103","ERR1091104","ERR1091105","ERR1091106","ERR1091107","ERR1091108","ERR1091109","ERR1091110","ERR1091111","ERR1091112","ERR1091113","ERR1091114","ERR1091115","ERR1091116","ERR1091117","ERR1091118","ERR1091119","ERR1091120","ERR1091121","ERR1091122","ERR1091123","ERR1091124","ERR1091125","ERR1091126","ERR1091127","ERR1091128","ERR1091129","ERR1091130","ERR1091131","ERR1091132","ERR1091134","ERR1091135","ERR1091137","ERR1091138","ERR1091139","ERR1091140","ERR1091141","ERR1091142","ERR1091143","ERR1091144","ERR1091146","ERR1091147","ERR1091148","ERR1091149","ERR1091150","ERR1091151","ERR1091152","ERR1091154","ERR1091155","ERR1091157","ERR1091158","ERR1091159","ERR1091160","ERR1091161","ERR1091162","ERR1091163","ERR1091164","ERR1091165","ERR1091166","ERR1091167","ERR1091168","ERR1091169","ERR1091170","ERR1091171","ERR1091172","ERR1091173","ERR1091174","ERR1091175","ERR1091176","ERR1091177","ERR1091178","ERR1091179","ERR1091180","ERR1091181","ERR1091182","ERR1091183","ERR1091184","ERR1091185","ERR1091186","ERR1091187","ERR1091188","ERR1091189","ERR1091190","ERR1091191","ERR1091192","ERR1091193","ERR1091194","ERR1091195","ERR1091196","ERR1091197","ERR1091198","ERR1091199","ERR1091200","ERR1091201","ERR1091202","ERR1091203","ERR1091261","ERR1091263","ERR1091264","ERR1091265","ERR1091267","ERR1091268","ERR1091269","ERR1091270","ERR1091271","ERR1091272","ERR1091273","ERR1091274","ERR1091275","ERR1091276","ERR1091277","ERR1091278","ERR1091279","ERR1091280","ERR1091281","ERR1091282","ERR1091283","ERR1091284","ERR1091285","ERR1091286","ERR1091287","ERR1091288","ERR1091289","ERR1091290","ERR1091291","ERR1091292","ERR1091293","ERR1091294","ERR1091295","ERR1091296","ERR1091297","ERR1091298","ERR1091299","ERR1091300","ERR1091301","ERR1091302","ERR1091303","ERR1091304","ERR1091305"
"780555",1,12,1059,11930,4,0,1,1,4,1,0,0,4,0,0,2,2,0,911,1,0,0,2,0,2,0,2,464,1121,0,1,1,0,2,0,17,4,1,5,0,16,594,85,6134,1,1,9,0,0,1,0,0,1,1175,2,8,1395,1,11,24443,2,1,1,0,1,0,0,5,0,9240,5,0,0,0,2,0,6,2518,203,0,0,114,3,1,20,12,1,3,9592,0,0,0,2095,4,28836,21909,2,1,0,1,18371,7257,1,588,3,2880,0,496,1,2,0,0,1,1620,1109,0,1874,0,3,1,2,0,0,0,2,2,1,14754,7,0,11,0,0,6,6866,0,1,0,355,2,1,0,1,574,0,0,0,0,6,4851,1,1,0,1,1,0,14,2,1482,1,0,5,20,222,714,0,2,5,201,1856,2,3,6148,8,2,3,2,0,3,1083,3,7,0,2,15,0,0,7,1,1181,0,0,0,0,0,0,343,0,10332,2,6736,1,4043,5,14,2414,0,587,0,0,0,2,0,0,1,400,909,0,0,0,0,0,5,1,440,0,0,0,0,1,1,0,0,0,1,0,2,1,0,16,0,2,0,0,11,1961,137,203,0,3,1,0,0,1,0,4,4,0,0,0,1,0,995,0,0,0,485,37,2,3,0,0,40674,0,0,0,0,1,445,1,2223,5,0,0,650,5,7,2,3,1,0,0,1,0,1,3,5,0,0,6965,0,0,0,0,108,0,0,0,99,0,6,1,0,0,0,4,0,1,1,28730,24833,0,9,3,1,1,0,0,45,2,0,0,7743,0,2,0,0,0,0,0,2,4,0,2,186,0,3,1,0,1,0,0,0,59,3455,0,0,0,1,1,0,0,0,1,2,37,6,0,0,0,0,0,17,0,1,1,0,1,75,1,189,1,0,0,4,0,1,2,3,0,1,0,0,14,522,0,6261,3,0,1,1,0,1,1,21,1586,2,1352,1,14,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1810,2,7,2,0,1,13,1,84,4,1,5,2,4,59,353,277,1,333,0,9,0,1,1,5,2,4,186,0,14,0,63,23,0,8,29105,4922,4619
"768553",8,8,1,6,11,3,0,0,2,1,0,2,14,0,3,7,6,0,276,4,9,0,1,2,1,1,4,0,1,0,2,2,1,0,0,0,0,2,4,1,4,4,2,4,0,10,2,0,0,0,0,1,0,1,2,2,8,0,2,0,9,0,1,9,0,1,0,1,0,0,1,0,3,0,0,0,2,0,1,1,3,1,15,3,3,1,0,0,3,1,0,1,25757,6,1,0,3,3,1,1,0,7,3,1,3,4,2,4,5,3,4,0,3,3,2,0,1,0,5,0,0,11,2,4,0,0,3,11,0,3,5,6,0,11,2,1,1,0,1,13,4,1,2,3,0,5448,0,3,13,2,1,1,0,6,5,0,1,3,254,1,0,1,4,3,0,0,0,1,0,6,4,0,5,3,3,2,4,6,5,1,4,9,5,1246,1,2,2,2,7,1,0,0,0,12,0,2,0,1,2,13,6,2,1,0,1,2,1,1,0,3,2,4,1,0,0,6,2,0,2,4,0,3,3,4,9,2,0,0,0,1,4,3,2,0,2,1,4,0,0,2,0,3,0,0,5,1,1,3,3,5,2,2,1303,0,0,4,1,0,2,2,3,1,2,41,0,3,0,0,1,3,1,1,0,0,0,0,5,5,3,0,6,0,0,1,0,3200,2,0,1,0,4,0,2,0,1,1,16,4,3,2,3,0,0,1,2,0,0,1,2,2,6,2,0,0,0,2,0,0,6,1,2,0,1,8,2,5,1,2,2,7,2,5,3,0,4,0,3,2,0,3,2,8,1,1,3,1,5,7,3,2,0,2,0,5,4,1,0,2,1,1,1,0,0,3,0,0,13,8,0,0,2,0,5,0,0,0,0,2,0,2,1,0,0,1,0,0,0,8,1,1,0,3,0,1,12,0,11,4,2,1,1,5,2,0,6,1,4,6,0,0,0,83,1,2,3,1,2,5,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,4118,0,0,0,0,0,0,0,0,0,0,380,0,1,1,1,2,0,523,0
"1888072",1,4,3,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"232696",1,0,5,0,4,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,3,0,0,0,0,0,2,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,6,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"947112",1,0,113,0,0,39,0,25,1,0,0,28,251,218,856,773,83,3,129,2,53,0,0,0,1,0,10,0,0,0,0,0,1,0,0,0,0,0,0,1,1,37,7,70,76,14,0,0,0,168,1,1,0,0,0,54,1,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,0,0,1,335,4,19,0,1,0,0,14,3514,54,0,0,3,0,0,0,65,0,0,12,98,0,0,7,0,0,0,14,0,6,0,0,419,114,0,2,7,1,0,55,0,0,0,1,0,280,0,1,45,431,0,145,0,1,1,0,192,0,3,2,0,0,0,50,5,1261,1,0,488,0,0,19,4,3,0,0,6,1,0,13,58,98,2,1,170,0,0,0,2,0,0,6,0,67,0,51,0,6006,59,124,8,3,2,0,0,0,0,0,0,15,5,31,672,0,2,7,0,0,0,0,44,4,12,0,8,0,5,0,0,3,28,0,0,5,3,2,0,3,0,0,0,0,3,0,0,7,1,4,0,0,4,0,0,1,1,71,0,0,0,0,0,0,0,0,0,0,63,0,0,2,0,0,0,2,1440,0,0,17,15,1,16,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,10,6747,0,4204,2,0,0,99,498,0,91,0,0,431,0,0,0,0,104,1,7,0,45,67,0,0,0,0,0,1426,166,87,7,13,0,2,0,0,41,0,34,1,130,23,0,0,0,0,600,0,4,0,41,40,0,0,31,0,0,0,1532,1,146,19,12,10,285,0,0,0,0,0,0,1,0,0,0,1,30,2,0,0,0,0,0,0,51,0,0,0,10,0,0,0,0,0,0,1,1,0,0,2,0,131,0,0,0,0,0,2,0,246,0,1,0,7,0,0,0,2,2,1,1,0,2,3,0,6,0,9,317,0,0,0,4,0,0,1,0,11,0,0,615,2,0,0,5,1,0,3,0,0,0,3,0,3325,56,1,25,1,0,689,0,0,0,0,0,110,45,0,1,8,0,0,0,5,0,100,22,1439,1,0,0,34,16
"517548",7,4,2,2,9,0,0,1,5,5,1,4,24,1,1,1,3,0,1,8,3,0,1,1,2,1,4,1,0,4,2,7,2,1,0,2,0,2,3,0,2,1,4,1,0,3,1,0,0,1,0,0,0,0,0,0,1,1,1,0,5,0,4,3,2,1,0,0,0,2,6,0,1,0,1,0,2,2,0,0,3,11,0,4,2,0,2,0,1,1,0,0,1,2,0,0,7,0,2,0,0,9,6,0,3,3,1,5,2,1,3,2,1,2,2,1,1,0,2,1,0,3,0,1,1,37,12,10,2,2,5,9,0,10,0,1,0,4,2,7,5,7,2,6,0,3,1,2,9,3,45,2,113,18,5,0,3,4,1,0,1,5,3,2,1,1,0,1,33,0,7,3,3,3,6,1,3,2,3,3,3,0,0,2,166,28,1,3,3,1,0,4,0,6,2,1,0,2,3,12,4,2,1,1,1,2,1,0,1,2,4,6,0,0,2,2,2,0,1,2,0,1,1,2,2,0,2,0,0,0,3,5,2,0,9,1,1,1,0,3,1,1,1,1,1,3,0,5,2,6,0,3,0,1,2,3,1,0,0,1,11,4,2,0,0,6,1,1,0,2,0,1,0,0,1,3,2,4,2,1,5,2,0,1,2,0,0,0,2,0,2,0,4,0,1,3,6,2,4,0,2,0,0,1,2,0,1,4,1,1,3,4,0,0,0,11,0,2,3,0,6,0,0,5,3,6,2,3,4,3,1,1,1,3,9,1,3,0,3,1,2,10,3,1,6,1,4,0,1,0,5,0,0,3,9,0,0,2,0,0,1,0,0,3,0,0,6,2,0,3,0,0,1,0,0,0,0,3,3,1,4,2,0,2,1,0,2,4,1,3,6,0,0,1,7,0,8,6,0,5,0,2,3,2,1,1,4,5,0,1,0,3,4,0,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9846",1,0,2,1,1,3,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,1,16,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,0,0,1,0,7,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"583590",1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,268,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,18,5,3,0,4,0,0,1,0,0,0,6257,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,194,0,0,2,1,15,0,1,0,0,0,0,0,0,18,2,1,0,0,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,1,0,0,1,0,1,0,1,0,0,1,0,2,2,0,0,0,0,0,0,689,1526,3979,0,0,0,1,1,0,0,0,0,0,2,1,0,4,0,1,5,0,353,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,2,2643,0,2,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,1,0,7,0,0,2,0,2337,0,2,0,0,0,0,0,179,0,0,0,0,144,284,0,5263,0,0,2,2,0,3868,4352,0,0,0,0,1,0,1,2,0,741,2,2,0,0,0,0,0,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,2,0,0,2,2,2,0,0,0,166,0,0,0,0,1,0,0,0,15,0,0,3,1,0,0,0,0,29,14,0,0,0,0,0,341,0,0,0,0,0,1,0,0,1,0,36,1,0,0,0,0,0,0,0,1,1,0,1,7090,1,1,0,0,0,219,0,0,0,3,0,1,2,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,3,0,0,0,0,352,0,0,116,0,1,0,0,0,1,0,1,0,0,2,1,3,1,0,0,0,114,0
"813217",1,8,11,0,1,1,0,0,0,6,0,0,3,0,0,1,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,3,0,0,0,0,2,6,0,2,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,1,0,7,1,0,0,0,3,2,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"968675",75,44,12,20,424,8,84,17,8,18,4,28,172,2,16,34,68,19,21,42,42,0,14,18,31,69,45,9,8,13,13,39,11,12,1,17,35,19,31,6,23,29,9,22,22,12,328,0,0,9,4,15,19,67,22,9,36,16,11,3,61,11,9,16,1470,6,0,10,12,22,58,0,12,5,38,0,46,35,24,0,23,16,9,35,14,4,32,1,11,30,1,43,5,35,7,9,25,24,19,30,197,292,21,1581,23,34,84,65,77,21,66,3,6,17,24,6,21,19,33,8,37,105,6,10,7,21,51,33,16,10,22,35,0,67,8,26,6,27,19,46,24,16,14,118,0,12,87,31,103,30,23,254,239,84,27,1,17,42,4,7,13,85,25,18,19,5,0,14,116,57,37,73,25,9,25,31,14,24,15,26,891,19,884,15,281,59,13,89,34,10,1,4530,6,39,10,220,17,63,11,59,31,19,10,94,12,28,19,23,20,145,27,25,30,0,11,46,22,0,18,15,0,17,9,43,30,11,8,3,2,70,39,162,25,4,11,105,29,11,0,20,9,10,8,9,30,28,168,30,26,34,25,313,67,531,4,17,38,153,11,355,753,57,52,0,0,82,24,19,18,80,7,111,133,0,7,559,86,36,16,14,39,12,0,10,17,2,480,11,19,0,11,0,21,0,1,10,81,7,21,17,213,3,45,8,48,0,33,7,11,10,66,112,1,0,0,1431,0,330,60,1,27,12,23,62,17,27,5,13,9,33,64,22,121,12,179,122,48,324,13,16,12,53,18,169,29,10,16,12,15,34,4,372,0,83,29,3,412,99,8,8,75,0,0,25,0,2,63,23,0,66,4,0,29,0,21,16,0,338,107,89,44,573,0,24,8,0,13,53,53,27,13,43,0,14,132,10,95,29,1,66,45,116,632,177,25,9,163,206,26,10,2,63,15,82,15,8,24,74,33,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,33,882,154,15,0,0,3,39,56,0,0,44,5,5,0,1,0,15,58,9,0,31,3,1,1,0
