"","ERR1102990","ERR1102991","ERR1102992","ERR1102993","ERR1102994","ERR1102995","ERR1102996","ERR1102997","ERR1102998","ERR1102999","ERR1103000","ERR1103001","ERR1103002","ERR1103003","ERR1103004","ERR1103005","ERR1103006","ERR1103007","ERR1103008","ERR1103009","ERR1103010","ERR1103011","ERR1103012","ERR1103013","ERR1103014","ERR1103015","ERR1103016","ERR1103017","ERR1103018","ERR1103019","ERR1103020","ERR1103021","ERR1103022","ERR1103023","ERR1103024","ERR1103025","ERR1103026","ERR1103027","ERR1103028","ERR1103029","ERR1103030","ERR1103031","ERR1103032","ERR1103033","ERR1103034","ERR1103035","ERR1103036","ERR1103037","ERR1103038","ERR1103039","ERR1103040","ERR1103041","ERR1103042","ERR1103043","ERR1103044","ERR1103045","ERR1103046","ERR1103047","ERR1103048","ERR1103049","ERR1103050","ERR1103051","ERR1103052","ERR1103053","ERR1103054","ERR1103055","ERR1103056","ERR1103057","ERR1103058","ERR1103059","ERR1103060","ERR1103061","ERR1103062","ERR1103063","ERR1103064","ERR1103065","ERR1103066","ERR1103067","ERR1103068","ERR1103069","ERR1103070","ERR1103071","ERR1103072","ERR1103073","ERR1103074","ERR1103075","ERR1103076","ERR1103077","ERR1103078","ERR1103079","ERR1103080","ERR1103081","ERR1103082","ERR1103083","ERR1103084","ERR1103085","ERR1103086","ERR1103087","ERR1103088","ERR1103089","ERR1103090","ERR1103091","ERR1103092","ERR1103093","ERR1103094","ERR1103095","ERR1103096","ERR1103097","ERR1103098","ERR1103099","ERR1103100","ERR1103101","ERR1103102","ERR1103103","ERR1103104","ERR1103105","ERR1103106","ERR1103107","ERR1103108","ERR1103109","ERR1103110","ERR1103111","ERR1103112","ERR1103113","ERR1103114","ERR1103115","ERR1103116","ERR1103117","ERR1103118","ERR1103119","ERR1103120","ERR1103121","ERR1103122","ERR1103123","ERR1103124","ERR1103125","ERR1103126","ERR1103127","ERR1103128","ERR1103129","ERR1103130","ERR1103131","ERR1103132","ERR1103133","ERR1103134","ERR1103135","ERR1103136","ERR1103137","ERR1103138","ERR1103139","ERR1103140","ERR1103141","ERR1103142","ERR1103143","ERR1103144","ERR1103145","ERR1103146","ERR1103147","ERR1103148","ERR1103149","ERR1103150","ERR1103151","ERR1103152","ERR1103153","ERR1103154","ERR1103155","ERR1103156","ERR1103157","ERR1103158","ERR1103159","ERR1103160","ERR1103161","ERR1103162","ERR1103163","ERR1103164","ERR1103165","ERR1103166","ERR1103167","ERR1103168","ERR1103169","ERR1103170","ERR1103171","ERR1103172","ERR1103173","ERR1103174","ERR1103175","ERR1103176","ERR1103177","ERR1103178","ERR1103179","ERR1103180","ERR1103181","ERR1103182","ERR1103183","ERR1103184","ERR1103185","ERR1103186","ERR1103187","ERR1103188","ERR1103189","ERR1103190","ERR1103191","ERR1103192","ERR1103193","ERR1103194","ERR1103195","ERR1103196","ERR1103197","ERR1103198","ERR1103199","ERR1103200","ERR1103201","ERR1103202","ERR1103203","ERR1103204","ERR1103205","ERR1103206","ERR1103207","ERR1103208","ERR1103209","ERR1103210","ERR1103211","ERR1103212","ERR1103213","ERR1103214","ERR1103215","ERR1103216","ERR1103217","ERR1103218","ERR1103219","ERR1103220","ERR1103221","ERR1103222","ERR1103223","ERR1103224","ERR1103225","ERR1103226","ERR1103227","ERR1103228","ERR1103229","ERR1103230","ERR1103231","ERR1103232","ERR1103233","ERR1103234","ERR1103235","ERR1103236","ERR1103237","ERR1103238","ERR1103239","ERR1103240","ERR1103241","ERR1103242","ERR1103243","ERR1103244","ERR1103245","ERR1103246","ERR1103247","ERR1103248","ERR1103249","ERR1103250","ERR1103251","ERR1103252","ERR1103253","ERR1103254","ERR1103255","ERR1103256","ERR1103257","ERR1103258","ERR1103259","ERR1103260","ERR1103261","ERR1103262","ERR1103263","ERR1103264","ERR1103265","ERR1103266","ERR1103267","ERR1103268","ERR1103269","ERR1103270","ERR1103271","ERR1103272","ERR1103273","ERR1103274","ERR1103275","ERR1103276","ERR1103277","ERR1103278","ERR1103279","ERR1103280","ERR1103281","ERR1103282","ERR1103283","ERR1103284","ERR1103285","ERR1103286","ERR1103287","ERR1103288","ERR1103289","ERR1103290","ERR1103291","ERR1103292","ERR1103293","ERR1103294","ERR1103295","ERR1103296","ERR1103297","ERR1103298","ERR1103299","ERR1103300","ERR1103301","ERR1103302","ERR1103303","ERR1103304","ERR1103305","ERR1103306","ERR1103307","ERR1103308","ERR1103309","ERR1103310","ERR1103311","ERR1103312","ERR1103313","ERR1103314","ERR1103315","ERR1103316","ERR1103317","ERR1103318","ERR1103319","ERR1103320","ERR1103321","ERR1103322","ERR1103323","ERR1103324","ERR1103325","ERR1103326","ERR1103327","ERR1103328","ERR1103329","ERR1103330","ERR1103331","ERR1103332","ERR1103333","ERR1103334","ERR1103335","ERR1103336","ERR1103337","ERR1103338","ERR1103339","ERR1103340","ERR1103341","ERR1103342","ERR1103343","ERR1103344","ERR1103345","ERR1103346","ERR1103347","ERR1103348","ERR1103349","ERR1103350","ERR1103351","ERR1103352","ERR1103353","ERR1103354","ERR1103355","ERR1103356","ERR1103357","ERR1103358","ERR1103359","ERR1103360","ERR1103361","ERR1103362","ERR1103363","ERR1103364","ERR1103365","ERR1103366","ERR1103367","ERR1103368","ERR1103369","ERR1103370","ERR1103371","ERR1103372","ERR1103373","ERR1103374"
"760448",3,3,5,2,0,3,10,10,3,7,22,14,35,3,5,7,5,5,5,14,10,19,10,14,10,9,18,17,56,18,5,21,10,40,119,35,13,39,31,81,11,41,8,20,6,28,62,3,4,6,9,17,186,2,8,22,22,116,5,3,8,3,35,2,15,27,131,13,20,6,23,62,1,9,17,26,49,4,3,9,38,107,17,5,11,16,76,104,6,12,14,4,5,16,17,23,1,10,9,64,59,4,12,45,198,8,3,6,17,236,0,5,15,10,133,1,1,2,19,23,4,3,7,13,112,2,3,4,4,119,9,18,5,15,2,3,27,15,9,9,10,38,58,12,28,39,12,43,27,26,21,36,43,33,15,10,14,14,30,112,8,108,35,446,379,41,56,119,105,148,31,96,15,125,64,74,274,35,11,12,61,38,77,6,7,81,64,349,18,24,9,24,22,26,24,35,80,39,14,21,89,17,53,32,94,290,37,9,140,150,11,83,176,111,109,23,4,11,43,161,10,13,13,21,88,59,3,2,12,21,37,10,26,27,74,19,9,20,40,82,10,11,27,86,58,27,16,22,58,32,12,12,11,22,53,15,2,17,12,6,8,24,26,15,2,16,8,124,25,17,12,27,19,15,48,0,42,27,14,3,6,11,7,58,25,6,52,70,284,80,16,61,16,11,20,56,61,34,121,36,89,207,3,22,55,44,53,212,7,29,74,38,70,44,72,53,31,47,55,54,17,148,249,52,32,45,284,6,22,94,178,23,15,47,214,9,44,156,139,78,11,10,21,50,110,15,19,11,61,199,58,6,8,40,86,57,26,38,33,74,46,25,22,25,136,24,14,31,99,403,18,34,26,161,189,23,12,17,41,51,14,11,17,62,44
"570128",0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,2,0,1,2,0,0,1,3,0,0,1,1,0,0,2,2,0,1,0,1,2,1,0,0,1,1,3,1,0,0,0,3,0,1,2,3,0,0,0,2,2,0,0,0,0,3,0,0,0,1,3,0,1,0,2,2,3,0,0,3,0,0,2,0,0,0,1,0,1,0,1,0,3,8,1,0,2,0,6,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,2,1,1,0,0,0,1,0,1,0,0,1,1,2,1,0,1,0,10,4,0,1,1,2,4,0,4,0,8,2,2,6,0,0,0,1,1,1,0,1,0,3,3,0,2,0,2,1,0,0,1,1,1,0,1,1,1,1,0,1,4,0,1,5,2,1,0,1,1,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,2,0,1,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,1,2,2,0,4,2,3,0,0,1,0,2,1,0,2,2,17,3,1,2,2,0,0,1,3,4,0,0,3,9,0,0,2,1,3,5,0,2,1,3,2,0,2,1,0,0,2,3,0,11,7,0,1,2,8,0,4,4,10,1,0,0,7,0,4,6,6,2,2,0,1,0,3,0,1,0,4,4,1,0,1,1,3,0,1,4,1,7,0,2,2,0,4,1,0,3,4,11,0,0,1,9,6,0,0,2,2,2,0,0,0,4,4
"895733",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,22,0,0,1,0,2,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,3,1,1,1,0,2,0,0,0,1,3,0,0,2,1,0,0,0,0,1,3,0,0,0,0,5,0,0,0,2,0,1,0,5,0,1,0,1,4,0,0,0,0,0,0,8,0,1,0,2,2,1,2,1,1,1,0,2,0,4,3,0,2,3,0,0,3,0,0,0,2,0,5,3,2,3,0,0,14,1,3,2,3,1,1,0,1,0,0,0,0,0,5,0,1,1,3,1,3,4,11,6,0,0,3,26,1,2,6,14,30,0,0,0,0,10,2,0,4,3,2,29,0,0,3,1,8,0,1,2,6,2,1,1,15,11,3,5,3,26,7,4,3,3,5,24,0,1,0,3,4,1,1,4,1,0,2,4,9,1,3,0,2,19,0,0,0,7,9,0,0,0,5,0,5,0,3,7,0,9,15,12,10,13,256,20,1,1,1,1,2,6,16,2,8,0,1,20,6,11,1,5,4,58,6,1,13,6,31,0,16,10,11,16,11,1,17,148,7,7,0,28,54,6,3,55,33,8,1,12,186,5,6,110,53,82,1,8,3,12,30,1,1,4,8,34,22,2,0,9,105,41,2,0,4,14,1,4,6,5,18,17,6,10,68,139,29,32,8,45,12,15,8,0,22,83,2,7,17,21,84
"576629",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,3,3,2,1,2,0,3,2,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,10,0,0,1,1,5,0,0,1,0,1,0,2,1,6,0,0,1,0,0,0,0,0,1,7,0,0,0,0,1,2,0,1,1,4,3,0,0,0,0,0,1,0,0,0,0,0,4,3,0,0,3,7,1,0,0,0,11,0,0,1,1,6,0,0,0,0,0,0,0,0,0,8,0,0,0,1,3,0,1,0,1,0,0,0,0,0,1,0,2,0,1,1,1,1,0,1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,10,10,2,2,1,0,6,1,1,0,1,0,1,1,1,0,0,3,0,2,0,0,4,0,8,0,1,1,1,1,2,0,0,0,1,0,1,1,1,1,0,2,5,0,0,2,6,0,2,3,3,3,0,0,0,0,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,1,2,2,0,1,3,1,0,0,0,1,0,1,2,0,0,1,0,0,1,1,0,1,0,5,0,0,1,0,0,1,1,0,3,4,1,0,0,1,0,6,3,0,0,2,12,0,1,5,1,2,1,1,3,2,4,2,5,7,0,0,4,1,1,6,0,0,4,3,3,1,2,2,1,2,3,5,1,9,11,1,2,0,9,0,0,6,9,1,0,2,13,1,4,9,5,3,2,1,0,0,5,0,0,0,4,10,0,0,1,6,5,0,2,2,1,0,2,1,0,0,3,1,0,0,8,24,0,2,2,4,6,1,0,2,1,0,0,0,0,1,5
"81639",0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,2,0,0,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,0,0,19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,4,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,46,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,8,0,0,0,0,2,0,0,0,0,0,36,0,0,0,14,0,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,6,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
"4320373",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"258707",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,2,1,1,0,0,0,0,7,0,0,1,2,0,0,1,6,1,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,1,4,1,1,0,0,7,0,0,0,0,0,11,0,2,0,0,0,0,0,0,4,1,1,0,0,6,1,0,0,0,0,2,1,2,0,0,0,1,1,0,3,1,0,2,0,1,1,0,1,4,0,0,2,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,1,5,1,0,1,2,2,0,2,2,1,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,2,9,0,0,0,0,0,0,0,0,3,0,0,4,0,2,0,1,0,8,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,11,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,2,1,3,1,0,0,1,0,0,1,0,0,0,0,1,0,1,4,2,0,0,0,3,0,0,0,0,1
"574655",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,8,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,2,0,1,0,1,3,0,0,1,0,2,0,1,0,1,7,0,0,0,0,2,7,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,8,0,0,0,0,4,0,1,0,2,1,0,0,0,1,5,0,0,0,1,5,0,0,2,0,10,0,0,0,2,0,1,3,9,0,0,0,4,2,4,2,1,2,0,0,5,0,0,1,3,1,0,1,2,2,0,0,0,0,1,6,0,0,0,2,5,0,10,0,0,1,1,48,5,0,0,1,1,10,0,4,6,3,3,0,1,0,0,2,0,0,2,13,3,1,3,0,0,7,1,0,2,0,0,1,10,0,0,3,0,6,0,0,2,2,2,4,0,1,14,2,11,0,0,0,0,3,1,0,0,6,1,0,0,6,6,0,2,0,5,14,1,0,1,0,7,2,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,4,0,0,8,2,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,9,0,0,4,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,5,2,1,4,1,2,0,2,14,2,1,8,0,19,0,2,1,4,3,0,1,1,1,2,1,0,0,0,2,0,1,0,1,4,4,0,0,0,0,0,1,0,0,2,0,0,0,1,2,0,0,0,1,6,0,0,1,0,7
"380204",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"757938",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,5,3,0,0,1,1,3,1,1,0,0,0,1,3,0,0,0,0,0,15,0,0,1,3,2,1,0,0,1,2,0,0,2,12,2,0,1,1,4,0,0,1,2,4,0,0,0,4,3,2,0,1,1,5,5,0,0,2,0,0,0,0,1,0,0,0,4,3,1,0,2,13,0,0,0,1,10,0,0,1,0,5,0,1,0,1,1,0,0,0,1,9,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,1,0,0,0,3,1,1,0,1,0,2,2,0,2,1,18,7,1,3,3,2,9,1,7,1,4,2,4,2,1,1,0,6,1,4,1,0,1,0,13,0,0,0,1,1,0,0,0,0,5,0,0,1,1,1,0,1,9,0,1,3,2,1,1,4,2,3,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,4,0,1,0,1,0,9,1,0,0,0,1,2,2,0,3,3,1,2,1,2,0,2,3,0,3,1,14,2,1,5,0,0,0,5,3,1,3,2,8,13,0,1,3,0,7,16,1,1,4,0,3,1,5,3,4,2,5,2,2,8,12,0,2,6,10,0,1,2,9,1,1,5,12,1,3,8,5,3,2,0,1,1,4,1,0,1,3,12,3,1,1,3,4,3,1,1,3,5,1,1,0,1,6,2,0,2,7,25,0,1,3,14,5,6,0,3,2,3,0,1,0,2,5
