"","ERR1102990","ERR1102991","ERR1102992","ERR1102993","ERR1102994","ERR1102995","ERR1102996","ERR1102997","ERR1102998","ERR1102999","ERR1103000","ERR1103001","ERR1103002","ERR1103003","ERR1103004","ERR1103005","ERR1103006","ERR1103007","ERR1103008","ERR1103009","ERR1103010","ERR1103011","ERR1103012","ERR1103013","ERR1103014","ERR1103015","ERR1103016","ERR1103017","ERR1103018","ERR1103019","ERR1103020","ERR1103021","ERR1103022","ERR1103023","ERR1103024","ERR1103025","ERR1103026","ERR1103027","ERR1103028","ERR1103029","ERR1103030","ERR1103031","ERR1103032","ERR1103033","ERR1103034","ERR1103035","ERR1103036","ERR1103037","ERR1103038","ERR1103039","ERR1103040","ERR1103041","ERR1103042","ERR1103043","ERR1103044","ERR1103045","ERR1103046","ERR1103047","ERR1103048","ERR1103049","ERR1103050","ERR1103051","ERR1103052","ERR1103053","ERR1103054","ERR1103055","ERR1103056","ERR1103057","ERR1103058","ERR1103059","ERR1103060","ERR1103061","ERR1103062","ERR1103063","ERR1103064","ERR1103065","ERR1103066","ERR1103067","ERR1103068","ERR1103069","ERR1103070","ERR1103071","ERR1103072","ERR1103073","ERR1103074","ERR1103075","ERR1103076","ERR1103077","ERR1103078","ERR1103079","ERR1103080","ERR1103081","ERR1103082","ERR1103083","ERR1103084","ERR1103085","ERR1103086","ERR1103087","ERR1103088","ERR1103089","ERR1103090","ERR1103091","ERR1103092","ERR1103093","ERR1103094","ERR1103095","ERR1103096","ERR1103097","ERR1103098","ERR1103099","ERR1103100","ERR1103101","ERR1103102","ERR1103103","ERR1103104","ERR1103105","ERR1103106","ERR1103107","ERR1103108","ERR1103109","ERR1103110","ERR1103111","ERR1103112","ERR1103113","ERR1103114","ERR1103115","ERR1103116","ERR1103117","ERR1103118","ERR1103119","ERR1103120","ERR1103121","ERR1103122","ERR1103123","ERR1103124","ERR1103125","ERR1103126","ERR1103127","ERR1103128","ERR1103129","ERR1103130","ERR1103131","ERR1103132","ERR1103133","ERR1103134","ERR1103135","ERR1103136","ERR1103137","ERR1103138","ERR1103139","ERR1103140","ERR1103141","ERR1103142","ERR1103143","ERR1103144","ERR1103145","ERR1103146","ERR1103147","ERR1103148","ERR1103149","ERR1103150","ERR1103151","ERR1103152","ERR1103153","ERR1103154","ERR1103155","ERR1103156","ERR1103157","ERR1103158","ERR1103159","ERR1103160","ERR1103161","ERR1103162","ERR1103163","ERR1103164","ERR1103165","ERR1103166","ERR1103167","ERR1103168","ERR1103169","ERR1103170","ERR1103171","ERR1103172","ERR1103173","ERR1103174","ERR1103175","ERR1103176","ERR1103177","ERR1103178","ERR1103179","ERR1103180","ERR1103181","ERR1103182","ERR1103183","ERR1103184","ERR1103185","ERR1103186","ERR1103187","ERR1103188","ERR1103189","ERR1103190","ERR1103191","ERR1103192","ERR1103193","ERR1103194","ERR1103195","ERR1103196","ERR1103197","ERR1103198","ERR1103199","ERR1103200","ERR1103201","ERR1103202","ERR1103203","ERR1103204","ERR1103205","ERR1103206","ERR1103207","ERR1103208","ERR1103209","ERR1103210","ERR1103211","ERR1103212","ERR1103213","ERR1103214","ERR1103215","ERR1103216","ERR1103217","ERR1103218","ERR1103219","ERR1103220","ERR1103221","ERR1103222","ERR1103223","ERR1103224","ERR1103225","ERR1103226","ERR1103227","ERR1103228","ERR1103229","ERR1103230","ERR1103231","ERR1103232","ERR1103233","ERR1103234","ERR1103235","ERR1103236","ERR1103237","ERR1103238","ERR1103239","ERR1103240","ERR1103241","ERR1103242","ERR1103243","ERR1103244","ERR1103245","ERR1103246","ERR1103247","ERR1103248","ERR1103249","ERR1103250","ERR1103251","ERR1103252","ERR1103253","ERR1103254","ERR1103255","ERR1103256","ERR1103257","ERR1103258","ERR1103259","ERR1103260","ERR1103261","ERR1103262","ERR1103263","ERR1103264","ERR1103265","ERR1103266","ERR1103267","ERR1103268","ERR1103269","ERR1103270","ERR1103271","ERR1103272","ERR1103273","ERR1103274","ERR1103275","ERR1103276","ERR1103277","ERR1103278","ERR1103279","ERR1103280","ERR1103281","ERR1103282","ERR1103283","ERR1103284","ERR1103285","ERR1103286","ERR1103287","ERR1103288","ERR1103289","ERR1103290","ERR1103291","ERR1103292","ERR1103293","ERR1103294","ERR1103295","ERR1103296","ERR1103297","ERR1103298","ERR1103299","ERR1103300","ERR1103301","ERR1103302","ERR1103303","ERR1103304","ERR1103305","ERR1103306","ERR1103307","ERR1103308","ERR1103309","ERR1103310","ERR1103311","ERR1103312","ERR1103313","ERR1103314","ERR1103315","ERR1103316","ERR1103317","ERR1103318","ERR1103319","ERR1103320","ERR1103321","ERR1103322","ERR1103323","ERR1103324","ERR1103325","ERR1103326","ERR1103327","ERR1103328","ERR1103329","ERR1103330","ERR1103331","ERR1103332","ERR1103333","ERR1103334","ERR1103335","ERR1103336","ERR1103337","ERR1103338","ERR1103339","ERR1103340","ERR1103341","ERR1103342","ERR1103343","ERR1103344","ERR1103345","ERR1103346","ERR1103347","ERR1103348","ERR1103349","ERR1103350","ERR1103351","ERR1103352","ERR1103353","ERR1103354","ERR1103355","ERR1103356","ERR1103357","ERR1103358","ERR1103359","ERR1103360","ERR1103361","ERR1103362","ERR1103363","ERR1103364","ERR1103365","ERR1103366","ERR1103367","ERR1103368","ERR1103369","ERR1103370","ERR1103371","ERR1103372","ERR1103373","ERR1103374"
"4324289",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,1,0,0,1,0,1,1,0,4,8,11,4,0,0,1,0,0,0,0,0,0,0,0,0,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,6,12,4,2,0,10,13,3,1,0
"549048",1,0,1,1,0,3,0,1,3,0,0,0,2,32,55,31,8,1,135,114,70,53,17,3,166,217,156,31,2,288,227,254,62,12,3,300,237,322,103,1,162,45,295,257,262,50,6,153,224,233,360,111,12,212,228,271,48,14,192,283,235,24,24,290,196,90,6,136,229,59,19,0,88,53,11,4,7,117,93,47,8,3,21,22,5,2,2,1,33,44,84,57,31,7,1,5,28,126,45,3,1,154,32,24,0,154,213,130,56,5,128,66,38,5,7,16,2,1,6,11,12,6,3,6,5,7,6,1,0,4,7,5,3,6,1,7,5,3,8,3,2,5,6,3,15,56,80,80,131,87,99,101,54,49,142,142,28,115,2,122,99,193,55,13,4,180,217,170,147,2,129,78,83,87,149,111,4,156,102,123,168,140,2,96,144,147,107,21,95,115,181,52,23,138,125,76,7,117,133,133,15,102,110,19,1,4,93,94,9,2,13,46,12,9,4,24,3,43,17,4,36,33,45,7,1,7,7,18,14,1,0,44,37,20,0,77,77,92,13,1,14,3,4,6,0,6,9,5,5,2,3,7,3,1,5,5,2,3,1,0,1,5,5,2,3,1,1,4,34,60,6,13,3,106,175,14,80,15,6,61,105,61,16,0,110,180,84,27,7,1,111,179,122,51,3,174,23,57,108,30,44,3,43,97,101,257,116,18,111,105,259,102,14,90,189,245,100,54,217,153,59,4,74,135,68,8,1,139,43,54,4,159,189,115,6,11,45,9,6,5,20,13,22,21,2,16,24,8,3,3,2,26,50,20,2,2,68,36,14,3,139,122,65,35,7,92,84,82,26,2,9,6,1,1,0,3,7,4,1,4,4,5,1,2,11
"338740",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,2,0,1,1,0,4,1,0,0,0,2,1,0,1,0,0,0,1,8,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,5,7,1,0,1,1,1,0,0,5,5,0,0,1,1,1,0,0,1,7,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
"584744",1,0,0,0,3,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"831789",3,0,6,1,3,11,4,0,10,3,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,2,0,1,0,1,3,5,0,0,1,0,0,1,1,0,0,1,3,1,2,0,0,4,2,5,0,0,2,3,4,1,0,3,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,6,0,1,0,0,4,2,0,0,1,0,1,1,0,1,4,2,1,0,4,0,0,0,0,2,3,3,0,1,55,15,11,2,1,0,1,1,0,3,100,73,79,183,94,44,20,3,74,69,8,5,1,0,1,1,0,7,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,2,3,1,1,1,0,0,0,2,0,0,1,0,2,4,0,0,1,1,3,0,1,0,2,6,0,1,3,1,0,0,0,2,0,0,0,0,0,1,2,3,1,0,1,7,1,0,0,0,6,4,1,1,0,4,4,2,0,2,0,7,8,4,0,0,1,5,2,1,5,2,3,1,0,13,6,3,1,0,192,137,44,13,2,6,2,4,6,1,78,75,117,55,153,77,38,10,59,59,19,0,7,5,6,3,3,1,0,0,0,7,1,0,0,1,9,3,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,3,8,2,0,4,1,0,0,0,0,1,0,0,0,1,1,8,3,2,4,1,0,2,6,2,1,0,36,62,26,8,8,23,30,16,17,0,7,46,40,55,12,5,2,31,21,1,21,19,12,11,2,9,17,22,7,1,25,22,9,8,2,24,47,21,12,9,14,16,9,7,6
"535304",13,2,5,3,6,0,33,1,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,33,30,68,81,13,16,47,19,3,3,0,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,6,1,1,0,0,2,0,2,1,8,0,1,0,5,0,0,0,3,0,0,0,0,0,1,0,0,0,3,5,0,0,1,3,2,1,0,0,0,0,0,8,29,15,4,31,24,46,14,87,95,176,0,0,0,0,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,0,0,2,1,1,0,0,1,1,0,0,0,1,7,3,5,1,1,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,6,1,0,0,0,0,0,0,2,2,1
"593720",2,0,7,1,1,5,17,19,5,3,12,28,18,2,2,7,2,27,1,9,9,12,4,32,5,7,11,47,64,7,4,7,7,21,22,17,19,14,45,51,11,23,17,8,16,36,46,4,5,8,14,24,88,5,5,8,14,82,5,1,5,4,32,14,11,23,109,15,16,12,49,36,7,12,11,19,10,5,2,12,20,94,7,7,7,17,37,20,15,1,17,2,5,11,23,24,1,4,5,39,41,2,5,15,28,2,1,8,13,57,3,9,17,12,45,6,8,7,26,12,8,2,5,19,41,0,6,15,0,61,8,1,1,7,9,1,16,28,0,2,5,51,15,22,5,9,6,4,14,60,14,23,29,31,12,17,50,21,38,16,9,32,33,60,36,4,20,8,13,47,24,153,11,13,80,27,300,25,21,45,84,93,429,14,277,106,81,34,10,18,7,106,166,10,8,25,85,24,13,18,20,5,168,34,56,100,24,24,75,115,9,7,68,46,64,11,24,203,27,35,94,13,6,234,87,131,4,1,3,7,13,8,15,6,34,12,11,31,26,67,9,4,9,31,60,8,2,6,39,76,9,19,60,21,31,2,4,2,2,1,2,16,29,3,2,28,8,33,2,8,3,7,3,12,18,12,13,52,79,5,2,38,38,73,16,12,13,6,76,65,14,12,4,5,22,10,15,15,37,15,22,49,33,58,26,52,16,113,19,29,16,38,72,47,21,23,22,45,19,24,66,214,9,14,24,60,92,15,12,53,66,43,11,28,121,13,25,52,125,132,9,9,6,35,80,3,6,6,11,56,37,12,12,15,76,226,16,22,23,41,15,15,21,24,69,14,23,35,98,91,15,11,4,51,47,17,5,4,12,27,5,10,23,11,44
"712576",22,18,28,33,30,704,48,7,542,26,693,8,13,179,204,103,15,5,141,476,115,72,51,16,259,281,198,208,30,439,284,314,338,123,9,237,238,190,74,5,103,54,191,196,192,135,22,83,141,160,275,45,108,87,149,193,157,80,86,139,128,22,63,455,202,40,10,138,216,50,117,4,784,185,34,28,15,771,301,53,51,54,1015,209,43,17,12,13,1055,365,578,2167,326,94,15,21,1767,831,468,40,64,846,262,149,21,411,587,294,125,39,444,232,75,8,33,593,775,234,24,28,3235,1569,401,54,37,29,23,30,3,21,1378,867,1242,2221,1673,553,386,36,4447,3842,412,32,42,48,326,662,1723,2606,1949,2033,1108,839,599,558,2015,1985,660,915,32,967,807,1350,878,371,49,528,634,987,180,96,382,98,158,250,393,326,79,353,182,327,187,71,66,125,204,221,177,351,302,246,198,70,334,638,455,66,42,943,303,310,577,2983,4447,175,98,65,2438,2021,302,32,5481,1619,395,76,50,4360,471,1322,473,91,2622,1271,1376,430,71,91,3029,3318,1102,63,35,1979,2564,520,69,1508,1564,386,101,20,1794,770,361,126,23,10468,6482,1865,496,43,161,107,76,93,67,710,622,986,511,2162,740,375,32,1078,1122,600,10,36,646,671,51,122,40,1372,1133,154,208,112,56,425,683,192,196,13,189,463,196,193,70,25,147,255,173,34,17,203,6,86,110,33,62,19,102,342,261,322,71,183,138,264,205,69,136,60,228,209,123,302,397,366,62,19,424,232,141,95,21,2525,387,744,87,1998,1341,285,123,2161,1362,140,84,72,1821,955,654,348,90,802,995,420,289,57,101,4998,5477,1233,322,101,1398,2009,860,103,1519,1002,561,292,29,1297,982,441,145,34,979,1226,263,133,25,451,1505,697,202,61,381,433,192,122,49
"315191",2,3,0,1,0,0,7,2,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,2,0,3,1,0,3,0,2,2,2,0,0,0,1,0,2,3,0,0,0,0,0,1,0,2,1,0,3,0,0,0,1,6,3,1,0,0,1,0,0,0,0,0,0,0,0,4,1,2,0,0,0,2,2,6,1,1,9,8,4,0,4,3,3,1,2,4,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,10,1,0,0,2,1,5,9,7,15,28,0,0,27,25,0,2,1,0,0,1,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,2,2,0,0,1,0,2,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,2,2,4,0,0,0,0,0,0,0,0,0,6,0,0,0,11,8,1,1,6,11,8,3,7,0,3,0,0,10,27,0,0,0,0,0,0,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,2,2,0,0,0,5,12
"588608",8,14,3,2,15,27,44,24,40,21,43,29,5,3,6,10,0,1,0,1,2,2,2,0,3,0,5,7,0,0,0,0,1,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,4,2,2,1,0,1,0,0,1,2,2,0,1,2,1,4,0,0,0,12,3,0,0,0,0,6,2,12,10,16,27,16,15,4,17,23,2,1,4,6,10,11,0,2,3,4,3,1,0,2,2,0,1,1,4,9,0,7,1,2,3,0,0,1,0,1,0,18,20,29,43,18,3,34,48,25,28,12,78,17,4,4,0,3,3,0,0,2,2,8,1,3,9,0,9,0,0,2,5,1,0,0,0,0,6,2,0,0,4,0,0,1,3,0,0,0,0,4,4,0,0,0,1,0,1,0,2,1,2,0,1,1,2,0,1,1,4,0,1,2,0,0,0,1,0,0,0,4,3,0,0,0,4,1,9,0,1,19,7,27,66,28,2,1,2,12,20,2,6,9,9,3,2,1,8,4,1,0,0,1,13,10,9,0,4,8,0,0,0,0,2,0,0,11,1,0,17,3,15,14,1,4,2,19,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,0,3,1,4,0,2,5,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,5,0,0,2,0,0,0,0,0,0,0,0
