"","ERR1101243","ERR1101244","ERR1101245","ERR1101246","ERR1101247","ERR1101248","ERR1101249","ERR1101250","ERR1101251","ERR1101252","ERR1101253","ERR1101254","ERR1101255","ERR1101256","ERR1101257","ERR1101258","ERR1101259","ERR1101260","ERR1101261","ERR1101262","ERR1101263","ERR1101264","ERR1101265","ERR1101266","ERR1101267","ERR1101268","ERR1101269","ERR1101270","ERR1101271","ERR1101272","ERR1101273","ERR1101274","ERR1101275","ERR1101276","ERR1101277","ERR1101278","ERR1101279","ERR1101280","ERR1101281","ERR1101282","ERR1101283","ERR1101284","ERR1101285","ERR1101286","ERR1101287","ERR1101288","ERR1101289","ERR1101290","ERR1101291","ERR1101292","ERR1101293","ERR1104477","ERR1101294","ERR1101295","ERR1101296","ERR1101297","ERR1101298","ERR1101299","ERR1101300","ERR1101301","ERR1101302","ERR1101303","ERR1101304","ERR1101305","ERR1101306","ERR1101307","ERR1101308","ERR1101309","ERR1101310","ERR1101311","ERR1101312","ERR1101313","ERR1101314","ERR1101315","ERR1101316","ERR1101317","ERR1101318","ERR1101319","ERR1101320","ERR1101321","ERR1101322","ERR1101323","ERR1101324","ERR1101325","ERR1101326","ERR1101327","ERR1101328","ERR1101329","ERR1101330","ERR1101331","ERR1101332","ERR1101333","ERR1101334","ERR1101335","ERR1101336","ERR1101337","ERR1101338","ERR1101339","ERR1101340","ERR1101341","ERR1101342","ERR1101343","ERR1101344","ERR1101345","ERR1101346","ERR1101347","ERR1101348","ERR1101349","ERR1101350","ERR1101351","ERR1101352","ERR1101353","ERR1101354","ERR1101355","ERR1101356","ERR1101357","ERR1101358","ERR1101359","ERR1101360","ERR1101361","ERR1101362","ERR1101363","ERR1101364","ERR1101365","ERR1101366","ERR1101367","ERR1101368","ERR1101369","ERR1101370","ERR1101371","ERR1101372","ERR1101373","ERR1101374","ERR1101375","ERR1101376","ERR1101377","ERR1101378","ERR1101379","ERR1101380","ERR1101381","ERR1101382","ERR1101383","ERR1101384","ERR1101385","ERR1101386","ERR1101387","ERR1101388","ERR1101389","ERR1101390","ERR1101391","ERR1101392","ERR1101393","ERR1101394","ERR1101395","ERR1101396","ERR1101397","ERR1101398","ERR1101399","ERR1101400","ERR1101401","ERR1101402","ERR1101403","ERR1101404","ERR1101405","ERR1101406","ERR1101407","ERR1101408","ERR1101409","ERR1101410","ERR1101411","ERR1101412","ERR1101413","ERR1101414","ERR1101415","ERR1101416","ERR1101417","ERR1101418","ERR1101419","ERR1101420","ERR1101421","ERR1101422","ERR1101423","ERR1101424","ERR1101425","ERR1101426","ERR1101427","ERR1101428","ERR1101429","ERR1101430","ERR1101431","ERR1101432","ERR1101433","ERR1101434","ERR1101435","ERR1101436","ERR1101437","ERR1101438","ERR1101439","ERR1101440","ERR1101441","ERR1101442","ERR1101443","ERR1101444","ERR1101445","ERR1101446","ERR1101447","ERR1101448","ERR1101449","ERR1101450","ERR1101451","ERR1101452","ERR1101453","ERR1101454","ERR1101455","ERR1101456","ERR1101457","ERR1101458","ERR1101459","ERR1101460","ERR1101461","ERR1101462","ERR1101463","ERR1101464","ERR1101465","ERR1101466","ERR1101467","ERR1101468","ERR1101469","ERR1101470","ERR1101471","ERR1101472","ERR1101473","ERR1101474","ERR1101475","ERR1101476","ERR1101477","ERR1101478","ERR1101479","ERR1101480","ERR1101481","ERR1101482","ERR1101483","ERR1101484","ERR1101485","ERR1101486","ERR1101487","ERR1101488","ERR1101489","ERR1101490","ERR1101491","ERR1101492","ERR1101493","ERR1101494","ERR1101495","ERR1101496","ERR1101497","ERR1101498","ERR1101499","ERR1101500","ERR1101501","ERR1101502","ERR1101503","ERR1101504","ERR1101505","ERR1101506","ERR1101507","ERR1101508","ERR1104478","ERR1101509","ERR1101510","ERR1101511","ERR1101512","ERR1101513","ERR1101514","ERR1101515","ERR1101516","ERR1101517","ERR1101518","ERR1101519","ERR1101520","ERR1101521","ERR1101522","ERR1101523","ERR1101524","ERR1101525","ERR1101526","ERR1101527","ERR1101528","ERR1101529","ERR1101530","ERR1101531","ERR1101532","ERR1101533","ERR1101534","ERR1101535","ERR1101536","ERR1101537","ERR1101538","ERR1101539","ERR1101540","ERR1101541","ERR1101542","ERR1101543","ERR1101544","ERR1101545","ERR1101546","ERR1101547","ERR1101548","ERR1101549","ERR1101550","ERR1101551","ERR1101552","ERR1101553","ERR1101554","ERR1101555","ERR1101556","ERR1101557","ERR1101558","ERR1101559","ERR1101560","ERR1101561","ERR1101562","ERR1101563","ERR1101564","ERR1101565","ERR1101566","ERR1101567","ERR1101568","ERR1101569","ERR1101570","ERR1101571","ERR1101572","ERR1101573","ERR1101574","ERR1101575","ERR1101576","ERR1101577","ERR1101578","ERR1101579","ERR1101580","ERR1101581","ERR1101582","ERR1101583","ERR1101584","ERR1101585","ERR1101586","ERR1101587","ERR1101588","ERR1101589","ERR1101590","ERR1101591","ERR1101592","ERR1101593","ERR1101594","ERR1101595","ERR1101596","ERR1101597","ERR1101598","ERR1101599","ERR1101600","ERR1101601","ERR1101602","ERR1101603","ERR1101604","ERR1101605","ERR1101606","ERR1101607","ERR1101608","ERR1101609","ERR1101610","ERR1101611","ERR1101612","ERR1101613","ERR1101614","ERR1101615","ERR1101616","ERR1101617","ERR1101618","ERR1101619","ERR1101620","ERR1101621","ERR1101622","ERR1101623","ERR1101624","ERR1101625","ERR1101626","ERR1101627","ERR1101628"
"767142",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,3,1,0,1,0,0,0,1,0,3,0,1,0,0,0,0,2,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,1,0,1,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0
"201726",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,3,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"810353",142,164,357,45,89,6,42,475,76,154,15,16,177,77,593,2,778,105,162,329,572,218,366,158,545,188,1,15,2,103,13,199,6,6,117,7,6,12,43,196,6,1,5,11,0,0,0,37,49,64,344,344,1,0,18,14,10,10,21,155,292,43,3,26,38,51,43,49,92,154,4,2,20,4,14,16,0,80,1,19,8,59,26,1,233,20,301,64,199,13,7,9,26,38,36,38,243,70,507,147,119,118,603,6,84,1,3,8,21,22,55,22,48,240,914,48,33,29,91,61,0,24,30,30,73,37,1,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,11,0,0,0,0,1,0,0,0,0,0,0,0,0,11,2,1,0,0,0,0,0,38,0,0,31,7,0,0,0,2,7,19,7,27,1,8,15,6,1,7,1,1,191,1,4,1,121,190,95,115,173,246,0,0,2,0,0,1,0,367,7,8,286,1,0,0,274,0,0,0,0,9,8,2,0,1,6,30,1,1,0,0,0,0,78,0,0,9,89,3,0,1,4,0,83,0,16,7,1,0,0,1,1,0,1,0,1,16,0,1,0,0,1,9,0,3,23,1,5,0,8,8,0,4,0,2,2,12,10,0,0,0,1,5,2,30,469,2,0,0,0,2,0,0,1,1,0,5,0,0,0,0,4,55,0,14,0,0,0,0,0,0,3,0,0,28,0,0,1,0,2,4,0,0,5,95,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"347931",6,1,0,2,4,0,0,0,0,0,0,1,7,0,1,0,12,3,1,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,2,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,12,0,1,7,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,1,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,9,10,7,2,8,1,0,2,3,1,3,1,4,0,1,2,1,6,0,9,0,4,0,0,0,6,1,1,1,0,1,0,0,0,0,0,0,2,1,2,1,0,1,0,0,0,3,0,0,4,0,1,1,0,0,1,5,2,5,1,8,3,6,7,5,2,0,0,2,7,7,11,0,6,54,1,4,5,14,0,0,5,5,2,0,9,2,5,0,0,3,0,0,4,1,0,1,0,50,1,3,1,0,0,1,5,2,0,222,2,0,0,0,30,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,3,0,0,23,1,0,0,1,0,0
"4351168",6,0,0,0,0,5,0,0,0,1,124,0,0,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,190,0,0,0,0,25,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1118847",12,2,7,0,1,39,2,56,33,6,0,0,1,22,14,6,1,3,2,14,10,43,48,2,8,0,0,6,55,24,0,24,1,1,0,0,4,4,0,2,5,0,1,4,2,5,0,10,32,0,3,3,1,4,17,10,15,15,75,8,19,30,0,0,8,21,23,2,1,21,3,1,19,16,4,42,67,41,1,43,21,19,0,243,14,0,18,19,64,63,11,16,52,62,65,50,171,14,148,45,84,17,65,1,15,71,18,50,40,56,95,23,30,71,51,83,5,74,37,4,233,38,28,50,2,30,394,21,24,360,66,73,56,136,87,27,24,115,178,334,947,2,172,171,3,7,5393,376,42,3,108,1,3,7,3,12,0,1,5,274,68,18,518,24,8,17,64,66,230,296,98,8,313,0,1728,272,0,0,0,37,18,0,0,0,1,1,4,3,5,4,1,3,13,18,22,20,16,12,1,0,0,0,0,0,1,5,67,4,51,5,0,0,1,49,35,0,0,15,10,0,0,3,5,0,4,19,0,4,1,0,6,0,2,6,14,0,0,0,12,2,1,2,21,6,3,6,0,0,0,0,0,0,0,163,0,0,0,0,3,1,5,0,41,0,0,0,32,32,0,2,4,0,0,52,6,3,0,0,2,0,3,13,161,0,0,0,0,0,2,0,0,27,1,1,0,3,0,689,0,40,4,73,0,34,7,0,1,0,216,1,0,144,0,0,7,5,5,15,1,0,134,294,0,1,113,0,166,675,283,1,1,18,978,1,161,1,128,41,3,10,594,27,112,111,12,126,3,1,0,0,0,0,753,9,12,16,14,0,0,0,0,0,0,1,0,0,52,1,301,0,53,0,0,0,0,0,0,3,21,0,6,0,0,0,0,0,13,0
"616053",50,89,9,1,10,0,4,0,5,10,24,11,0,0,0,0,0,5,0,0,0,0,1,3,6,11,0,1,0,17,17,0,1,1,214,0,0,0,0,1,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,8,1,1,5,1,0,0,0,3,4,9,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,2,0,1,0,0,1,1,0,0,0,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,11,3,0,1,14,18,0,0,1,0,3,0,0,0,6,5,1,3,5,4,8,10,3,0,0,0,0,23,9,12,43,1,0,3,8,7,1,1,2,2,0,0,0,0,1,1,0,0,0,6,0,0,1,0,0,1,1,0,0,2,2,1,20,9,2,7,19,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"827773",213,470,410,400,779,0,313,17,487,70,403,51,67,20,25,3,0,365,90,177,23,28,152,48,599,89,1,0,0,340,367,27,446,141,378,232,193,61,7,200,390,243,97,428,1,314,629,543,106,157,56,56,144,745,2183,1685,1463,1535,277,49,450,144,152,346,163,50,83,612,18,230,278,178,571,16,40,32,17,0,0,6,1,46,1,0,119,237,1,52,19,78,33,14,32,50,25,10,6,4,48,0,22,118,131,8,42,0,221,62,9,127,57,53,40,12,1,18,10,23,14,1,0,0,12,9,39,8,0,3,33,0,76,0,0,3,0,0,0,0,14,0,0,0,184,4,5,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,17,2,5,14,0,0,0,257,367,132,243,47,341,175,520,64,52,75,30,25,38,62,69,71,83,42,49,26,34,42,2,1,1,0,0,4,491,308,160,1284,2,0,1,113,0,0,0,8,9,80,0,20,318,4,53,19,5,0,6,11,5,0,4,23,8,55,0,0,0,16,1,127,40,22,22,26,0,1,1,2,0,1,0,0,2,1,0,0,4,0,0,32,31,21,0,0,0,1,1,1,1,0,0,1,79,11,2,0,1,2,0,0,18,8,1,0,1,0,7,0,2,1,16,0,112,1,0,0,0,7,63,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,1,11,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"795504",2,39,3,8,162,23,13,23,58,39,3,116,70,3,35,10,2,55,19,14,15,8,2,4,49,94,45,1,8,5,5,19,5,2,0,7,6,11,9,166,4,2,24,2760,23,1,9,1537,13,324,33,33,838,133,1125,919,876,798,2046,1915,72,10,98,360,78,788,1084,22,167,98,71,20,2719,165,11,13,22,49,2,18,42,18,5,8,244,15,40,10,106,39,11,19,12,32,23,46,10,41,151,10,48,5,16,22,36,13,1,14,12,21,23,46,6,205,29,4,5,97,9,94,6,3,13,16,28,5,1,0,8,93,90,121,0,0,10,2,62,1,6,714,6,97,14,3,4,7,59,3,45,152,3,6,238,14,9,9,31,1,0,3,1,102,2,12,0,10,15,57,0,0,3,3,3,3,16209,1023,9,1014,16,831,53,25,2,6,12,10,8,8,23,8,30,29,26,39,2,5,59,54,4,7,73,60,386,850,71,12,4,22,25,20,462,71,4,22,11,77,21,22,159,144,57,17,60,13,304,87,1314,62,3,146,60,10,11,18,56,2568,496,166,119,12,37,81,51,29,30,201,392,337,129,8661,635,84,24,30,195,369,87,644,224,624,11,35,311,350,85,33,180,180,1165,243,186,2012,850,24,197,41,2136,1011,798,100,99,16,36,1551,117,334,822,749,0,475,800,86,5,386,22,9,31,80,255,48,14,15,48,390,143,52,883,107,177,885,747,121,361,537,818,4272,82,99,23,4671,32,7,238,15,10,10,809,83,38,138,256,74,29,878,9,696,15,2429,337,20,7,39,7,16,3,0,211,23,245,64,488,75,16,14,36,19,97,215,62,116,11,19,475,151,77,62,27,48,31,166,5,108,31,2549,874,13,956,5779,92,6547,401,236,497,19587,2033,365,6,394
"4327775",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
