"","StefanoR2","Wanlip4","Dalderse","Galashiels","Slough","BURMAD","StefanoR1","StefanoR3","Stirling","Wanlip1","CRMAD","Wanlip3","BROMAD","Reading","MapleLodge","EPMAD","BLMAD","Wanlip2","Hawick","Howdon","DAVMAD","BranSands"
"260489",79,148,269,52,136,350,200,93,65,87,93,171,198,0,318,2,0,152,228,0,1,0
"107074",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"103247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"206978",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"572275",1,4,1,14,1,1,6,0,1,2,36,2,2,0,6,273,65,0,1,7,15,8
"1110161",1,1,5,61,6,2,13,1,0,8,108,11,4,0,35,551,453,9,5,0,0,0
"254952",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"155726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"4343902",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"592689",2,0,0,0,0,0,1,1,0,0,0,1,0,562,0,1,1,0,0,0,0,5
"306173",0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"637584",0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"467541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"561472",0,0,0,0,0,0,0,0,0,2,4,2,0,0,10,187,5,1,0,0,0,0
"553937",0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,6,0,1,0,2,1
"149173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"4468716",1,1,3,0,0,1,1,1,0,0,0,1,0,0,7,0,0,4,6,0,0,0
"264516",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"794236",1,0,0,1,0,23,22,5,3,0,0,0,4,0,15,0,0,1,0,0,0,0
"617073",0,2,3,0,0,4,3,1,0,4,0,1,1,0,2,0,0,2,1,0,0,0
"102505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1
"535337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"709781",3,0,0,2,1,5,13,2,2,0,1,0,3,0,3,0,0,1,1,0,0,0
"4212307",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"826668",111,43,72,1068,143,97,320,97,33,104,2219,169,77,661,1067,12804,9308,120,354,3546,5964,4066
"1122013",0,2,2,1,1,7,6,1,0,1,4,3,1,0,3,16,10,10,7,4,8,3
"1129233",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,9,0,0,4,3,4
"733538",779,1726,3166,512,1113,4626,2473,1154,832,1101,1056,1806,2885,0,3012,8,9,2075,3300,6,1,0
"706555",6,3,3,1,1,6,7,4,20,4,0,1,2,1243,5,31,17,2,625,0,2,433
"107596",0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,6,6,0,0,2,5,4
"145147",0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,2,0,1,0,2,9
"3324203",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,14,0,0,10
"203472",0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,3,6,0,0,4,4,1
"605723",9,3,68,7,0,719,95,72,5,15,1,5,13,0,10,0,0,5,9,0,0,0
"566692",4,85,86,42,0,19,4,0,38,53,0,49,10,0,211,0,3,43,3,0,0,0
"1128285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
