"","StefanoR2","Wanlip4","Dalderse","Galashiels","Slough","BURMAD","StefanoR1","StefanoR3","Stirling","Wanlip1","CRMAD","Wanlip3","BROMAD","Reading","MapleLodge","EPMAD","BLMAD","Wanlip2","Hawick","Howdon","DAVMAD","BranSands"
"244336",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1050608",0,0,0,5,0,1,0,2,0,1,0,0,0,1,4,2,1,2,0,0,0,0
"11544",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1033426",1,13,0,0,0,2,0,0,2,13,0,15,0,1,0,17,0,34,1,0,0,0
"817013",1,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"970843",0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"576641",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"4335436",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"237898",0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"671258",0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0
"203611",0,35,1,0,0,0,2,2,0,23,2,5,2,1,3,9,1,5,13,0,0,0
"694558",0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"846283",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"554705",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4477127",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"4458503",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"589407",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1114747",67,0,4,0,0,0,35,40,5,8,1,3,0,0,10,0,1,4,0,0,0,0
"938794",6,1,5,0,0,0,1,5,2,2,6,1,0,0,1,0,0,2,1,0,0,0
"300811",3,7,3,7,0,5,0,3,24,8,11,4,4,6,6,14,3,6,22,0,0,1
"2651333",5,8,6,18,4,129,4,3,12,13,27,21,84,14,4,180,240,28,421,1,0,1
"143178",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"644798",0,0,5,0,0,0,1,2,2,1,5,0,0,0,0,0,0,0,1,0,0,0
"242145",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"4017244",0,2,0,0,289,1,0,0,6,7,0,4,0,0,1,0,0,0,6,0,0,0
"1090059",2,11,1,2,1,0,1,10,1,17,4,11,2,0,2,4,4,9,3,0,2,0
"656366",0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
"4310475",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"207866",0,68,1,0,0,0,0,0,2,41,1,4,1,0,0,3,0,7,1,0,0,0
"109193",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221379",0,0,1,0,1,4,1,0,2,0,2,1,0,2,0,5,1,3,3,0,0,0
"609349",0,20,0,5,0,0,0,0,0,8,1,24,0,0,1,0,0,28,0,0,0,0
"42664",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"558911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"310532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0
"4365344",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"856745",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"202331",0,0,0,0,0,12,0,0,3,1,1,2,5,1,0,6,5,1,28,1,0,0
"820738",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"923151",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2458172",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
"495067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"4312066",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1024520",227,24,53,9,8,15,160,224,30,112,151,38,46,44,308,19,2,31,31,2,0,0
"578701",11,1,3,3,95,0,5,5,1,8,0,11,8,9,9,863,69,15,28,0,0,0
"522984",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"810959",1010,15478,7740,376,1004,3730,528,718,7717,14447,3559,19871,596,6240,2111,2582,1084,22741,1456,21,31,18
"249999",1,5,3,1,0,1,1,0,6,3,9,2,3,1,0,4,2,0,1,0,0,0
"343273",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"736813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"4359316",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"539390",0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0
"1120348",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"12221",1,14,9,15,1,3,1,0,53,20,21,14,36,10,9,33,52,13,14,0,0,0
"622571",0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"534265",0,1,0,2,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
"826597",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"688259",0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0
"778142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"577289",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
"447658",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4310803",0,1,0,1,0,0,0,0,2,0,0,0,1,0,1,2,0,0,1,0,0,0
"1124877",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"439036",0,3,2,2,80,2,0,2,16,1,8,5,1,5,4,82,9,3,1,2,0,0
"103628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"253403",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"819037",1,2,4,1,0,2,0,0,7,8,3,1,0,0,0,0,0,0,2,0,0,0
"451696",6,2,1,1,3,4,2,8,3,2,2,1,4,6,10,6,4,3,1,0,0,0
"673019",0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
"322927",19,1,0,0,0,1,11,12,0,5,1,0,0,0,8,1,0,0,0,0,0,0
"715396",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2951283",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"1760354",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"383023",2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,0,1,0,0,0
"141105",1,0,0,0,0,0,1,2,2,4,0,0,0,0,0,1,0,0,0,0,0,0
"605681",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"38566",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"589792",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"295725",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"518065",0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,3,1,1,0,7,0,0
"341800",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"4340623",1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13074",0,2,4,0,1,1,0,2,5,1,1,5,1,4,0,6,3,0,3,0,0,0
"821947",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
"1121340",0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"254650",0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
"891054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"216002",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
