"","StefanoR2","Wanlip4","Dalderse","Galashiels","Slough","BURMAD","StefanoR1","StefanoR3","Stirling","Wanlip1","CRMAD","Wanlip3","BROMAD","Reading","MapleLodge","EPMAD","BLMAD","Wanlip2","Hawick","Howdon","DAVMAD","BranSands"
"10708",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4483172",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"509640",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"827968",12,1,10,5,118,2,8,6,13,0,12,1,34,0,12,0,0,0,11,0,0,0
"956988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"164536",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"3758893",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"4295795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"4392918",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4435494",0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1725261",0,1,5,5,0,4,1,0,0,6,0,4,0,0,3,0,1,1,0,0,0,0
"239330",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1143602",0,0,0,0,0,294,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0
"226377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"674961",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147414",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4405919",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41951",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"820412",1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
"4407231",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"571895",4,10,4,3,0,15,14,14,2,28,8,7,0,0,0,10,0,0,14,0,0,0
"105662",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"222489",0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1140234",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1102952",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"221136",0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"275236",1,0,0,0,3,1,0,0,2,0,3,0,2,0,1,0,0,0,2,0,0,0
"4301325",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4298707",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"527719",0,104,56,9,0,95,3,0,0,59,33,74,0,0,3,0,0,20,0,1,1,1
"826942",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"586655",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"255281",0,6,3,2,0,6,0,0,0,9,3,3,0,0,0,0,0,1,0,0,0,0
"4430284",0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,5,0,0,0
"4464559",0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"563456",1,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0
"534977",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2654188",0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149523",0,0,0,0,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"593403",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137893",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"590693",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"579757",16,6,20,78,0,45,6,5,20,5,5,4,1,0,1,0,0,0,0,0,0,0
"344965",0,1,2,2,0,1,0,1,0,3,0,0,0,0,0,1,0,0,2,0,0,0
"701911",0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1115527",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4319431",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"4421297",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
