"","StefanoR2","Wanlip4","Dalderse","Galashiels","Slough","BURMAD","StefanoR1","StefanoR3","Stirling","Wanlip1","CRMAD","Wanlip3","BROMAD","Reading","MapleLodge","EPMAD","BLMAD","Wanlip2","Hawick","Howdon","DAVMAD","BranSands"
"145205",3,1,10,28,191,1,14,2,6,3,3,0,0,0,0,0,0,0,0,0,0,0
"114072",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2224797",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"590450",4,1,6,16,0,2,0,1,7,1,1,0,15,5,3,9,25,0,0,0,0,0
"542857",1,0,0,0,0,0,34,0,0,25,0,11,1,188,7,26,27,0,1,0,1,0
"505587",7,4,2,0,0,3,1,4,0,3,2,0,0,2,6,0,0,10,0,0,0,0
"194104",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189110",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4358870",141,2,10,2,0,3,48,66,5,9,18,8,0,0,59,0,0,6,0,0,1,0
"176470",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"583853",2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"149149",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"153803",0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,4,0,0,4,0,0,0
"128127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,3
"663103",18,3,9,10,0,1,16,46,10,19,5,0,0,0,30,44,0,0,189,0,0,0
"329688",0,0,1,0,0,3,0,1,0,1,1,0,0,1,2,1,1,0,0,0,0,0
"1142029",1,1,0,0,1,2,2,0,0,4,1,3,1,2,3,11,1,1,1,0,0,0
"364179",0,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
"363389",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"543471",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1567686",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1127419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,137,166
"248902",1,0,0,1,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0
"303239",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"525517",0,0,3,1,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0
"503236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
