"","StefanoR2","Wanlip4","Dalderse","Galashiels","Slough","BURMAD","StefanoR1","StefanoR3","Stirling","Wanlip1","CRMAD","Wanlip3","BROMAD","Reading","MapleLodge","EPMAD","BLMAD","Wanlip2","Hawick","Howdon","DAVMAD","BranSands"
"553929",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"103975",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,557,0,0,0,0,0
"162930",1,38,38,32,2,14,6,1,32,84,4,28,12,0,2,1,17,36,0,0,0,0
"433016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"4470317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0
"236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"3219150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2508129",3,0,3,7,18,1,1,2,38,0,2,1,0,0,4,1,4,0,96,0,0,1
"843826",0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0
"1126676",0,0,3,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,25,0,0,0
"4027691",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"557417",0,2,0,53,0,65,0,0,0,68,26,1,3,13,78,25,38,2,12,39,3,0
"249915",1,2,109,0,0,111,0,1,3,2,0,2,21,0,0,0,0,0,0,7,0,3
"4392639",13,27,7,0,0,0,36,13,49,20,0,14,1,1,2,1,8,24,0,0,0,1
"580580",0,7,6,0,0,0,0,0,0,23,2,8,0,1,0,10,13,8,0,64,1,0
"84255",1,0,0,3,12,1,3,2,11,0,0,1,0,0,4,1,0,0,22,0,0,0
"4409069",0,3,0,0,21,0,0,0,0,11,1,2,2,62,14,4,1,12,0,441,1,4
"551498",52,106,208,118,1,912,209,129,25,108,105,73,108,410,387,1067,403,151,238,8337,8551,14225
"4438983",0,0,2,0,0,3,0,3,0,1,0,0,0,0,2,1,0,1,4,0,0,0
"126",0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"369183",0,3,0,0,0,0,0,0,0,0,0,0,0,30,0,88,11,0,0,0,0,0
"547463",1,0,1,5,0,2,13,4,2,0,0,0,0,3,12,1,69,0,58,0,0,0
"647418",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"77966",15,2,20,14,117,15,23,14,158,1,7,1,1,4,13,9,6,0,224,0,0,0
"145915",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,6,0
"842598",0,0,0,2,1,9,0,0,26,0,0,0,7,0,8,2,18,0,39,0,0,0
"105600",5,3,60,19,1,15,45,28,252,7,1,1,9,1,25,16,19,4,517,5,0,1
"283331",0,0,2,0,0,0,1,0,0,4,0,2,0,5,0,0,1,0,0,64,77,8
"840131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"139743",46,0,4,0,0,1,20,18,5,0,0,0,0,0,0,5,21,0,0,0,0,0
"4381696",864,270,1541,1627,323,336,1588,1036,147,382,24,245,5,2,968,160,98,516,4842,146,4,0
"565033",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"1144188",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"847094",64,368,170,50,284,14,101,121,50,173,60,342,1575,45,670,123,445,498,13,1,0,0
"343",1,4,11,1,0,5,12,2,1,9,2,4,0,2,7,0,1,11,15,1,0,0
"849440",75,93,144,20,105,248,60,46,57,84,53,78,61,5,231,71,43,169,583,0,0,0
"214422",5,1,5,1,28,15,22,17,13,0,2,0,0,3,3,1,2,0,22,0,0,0
"617196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"647334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"4334754",1,1,0,1,19,0,6,5,7,1,0,0,0,0,1,0,0,0,180,0,0,0
"677966",143,11,10,2,0,48,505,120,0,1,1,3,28,20,5,3,5,0,952,0,1,0
"153168",0,0,0,1,0,2,0,0,7,0,0,0,0,0,2,0,5,0,16,0,0,0
"86",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"849517",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1142515",8,39,60,17,5,44,37,13,12,7,0,26,4,0,6,0,0,77,27,0,0,0
"101553",6,2,16,13,61,6,7,4,157,4,4,1,3,0,22,6,13,0,289,0,0,0
