"","StefanoR2","Wanlip4","Dalderse","Galashiels","Slough","BURMAD","StefanoR1","StefanoR3","Stirling","Wanlip1","CRMAD","Wanlip3","BROMAD","Reading","MapleLodge","EPMAD","BLMAD","Wanlip2","Hawick","Howdon","DAVMAD","BranSands"
"530377",0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
"4339728",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"4422142",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"633838",1,37,19,2,0,0,1,0,1,39,15,23,0,1,0,0,0,60,0,0,0,0
"106144",0,0,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"144759",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143252",0,3,1,0,0,0,0,0,0,3,0,4,0,0,0,0,0,2,0,0,0,0
"746212",0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0
"796555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"631674",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6955",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"351875",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"888396",72,375,22,0,15,111,85,87,56,451,308,435,11,44,141,13,12,334,19,1,0,1
"546165",0,3,1,6,0,2,2,1,7,7,7,4,1,0,0,3,0,2,0,0,1,0
"838837",2,30,1,1,0,46,7,2,3,41,15,19,0,0,2,1,4,16,0,0,0,0
"1708706",0,0,6,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
"4371866",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"584580",8,5,7,10,0,0,2,6,9,3,82,2,1,1,10,0,0,0,14,0,0,0
