"","StefanoR2","Wanlip4","Dalderse","Galashiels","Slough","BURMAD","StefanoR1","StefanoR3","Stirling","Wanlip1","CRMAD","Wanlip3","BROMAD","Reading","MapleLodge","EPMAD","BLMAD","Wanlip2","Hawick","Howdon","DAVMAD","BranSands"
"638679",1,26,1508,5,2,1,0,0,60,45,404,35,70,4,0,45,52,30,43,0,1,0
"968845",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"754628",0,2,4,1,0,1,0,0,4,1,0,0,0,1,0,0,3,0,0,0,0,0
"840604",3,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,8,0,0,0
"672587",18,43,5,3,0,0,5,4,12,26,3,43,15,20,92,22,18,49,19,0,0,0
"3219860",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
"250112",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1060565",0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,2,0,0,0,0,0
"4418684",0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"135917",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"535429",0,1,40,1,0,2,0,0,10,4,8,0,3,0,0,4,4,1,0,0,0,0
"591699",0,0,8,3,0,2,0,1,4,0,1,0,5,1,2,0,2,0,21,0,0,0
"1008869",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"613270",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1109067",0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,3,0,4,0,0,0
"676387",0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
"1120835",0,4,2,1,0,0,0,0,2,2,2,1,0,0,0,0,0,2,2,0,0,0
"68458",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1080641",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"574655",0,0,3,1,0,3,0,2,9,0,0,0,0,0,0,1,2,0,0,0,0,0
"701385",0,15,87,1,1,5,2,1,4,32,5,15,10,1,2,11,5,20,10,1,1,0
"694856",65,9,44,9,0,6,43,62,36,60,68,19,185,56,85,76,82,9,165,0,0,1
"4353038",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3703471",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"725444",0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
"1121839",3,2,55,10,0,4,3,2,20,8,17,3,33,10,2,14,27,0,0,0,0,0
"767403",1,0,0,2,0,0,1,2,0,0,3,1,0,9,4,1,0,0,0,0,0,0
"658233",0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,1,0,0,437,0,0,0
