"","StefanoR2","Wanlip4","Dalderse","Galashiels","Slough","BURMAD","StefanoR1","StefanoR3","Stirling","Wanlip1","CRMAD","Wanlip3","BROMAD","Reading","MapleLodge","EPMAD","BLMAD","Wanlip2","Hawick","Howdon","DAVMAD","BranSands"
"740871",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0
"4245392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1129323",11,0,0,0,0,0,4,5,0,2,0,0,0,0,15,0,0,0,0,0,0,0
"589900",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"741571",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"723774",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"415661",1,0,1,2,0,0,0,0,1,3,0,0,4,0,3,0,0,0,5,0,0,0
"331752",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5,0,0,0
"172587",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"942852",17,87,39,24,0,1,19,24,212,68,122,64,5,8,21,1,3,134,59,0,0,0
"588165",2,2,0,0,1,3,3,0,1,2,1,2,2,6,0,5,3,0,1,0,0,0
"547313",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"322801",0,2,0,0,0,0,0,1,0,1,2,0,0,1,0,4,0,0,0,0,0,0
"582083",7,39,5,1,8,323,3,2,6,30,28,3,10,8,6,68,25,8,14,0,0,5
"854272",90,536,165,12,192,10,39,43,56,267,640,352,90,63,59,430,51,461,89,2,0,4
"155936",0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0
"579765",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"529216",2,2,0,1,0,2,0,1,0,2,9,2,1,2,6,4,11,12,0,0,0,0
"195654",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"668303",0,5,33,0,0,5,0,0,0,1,0,0,12,0,1,0,0,7,0,0,0,0
"806547",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0
"1086621",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"806566",109,426,188,27,74,37,63,115,361,328,1206,500,540,115,439,220,162,600,214,1,3,0
"4400334",179,54,630,34,167,2,43,79,41,105,152,54,13,16,84,9,14,125,31,0,2,0
"5740",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"823023",0,1,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,1,0,0,0,0
"80137",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"1138056",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"633103",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
"532336",24,23,16,1,182,13,18,13,14,43,40,68,31,38,128,84,14,22,50,0,0,0
"1123054",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"814277",61,304,108,11,136,2649,48,51,44,223,1508,428,106,79,493,761,993,574,47,1,1,12
"520139",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4395697",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"805044",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"535678",0,1,1,0,0,1,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0
"519944",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0
"1797847",2,4,1,0,4,3,1,1,4,6,9,3,4,2,14,6,2,11,2,0,0,0
"370368",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"778701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"165706",1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"850971",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"812921",16,135,59,14,39,26,15,19,43,79,352,105,22,22,50,169,49,107,16,0,1,1
"241541",1,4,7,0,0,18,0,1,4,4,5,4,4,0,3,5,8,0,0,0,0,0
"802064",0,3,3,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,1,0,0,0
"515169",0,0,0,0,0,1,0,0,1,0,1,2,0,0,1,0,1,0,1,0,0,0
"527854",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"164471",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"587098",0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0
"107767",0,0,2,0,0,0,0,0,0,0,1,1,1,0,1,2,2,0,0,0,0,0
"5778",0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
"533606",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0
"836061",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"27188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"536398",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
