"","StefanoR2","Wanlip4","Dalderse","Galashiels","Slough","BURMAD","StefanoR1","StefanoR3","Stirling","Wanlip1","CRMAD","Wanlip3","BROMAD","Reading","MapleLodge","EPMAD","BLMAD","Wanlip2","Hawick","Howdon","DAVMAD","BranSands"
"511344",1,3,3,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0
"546305",2,2,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,3,10,1,0,0
"227239",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4436396",0,0,0,0,0,0,0,0,53,0,0,0,1,0,0,0,0,0,0,0,0,0
"1127773",0,0,1,0,0,0,0,0,0,0,35,0,0,0,0,10,0,0,0,0,0,0
"709657",54,392,34,8,231,41,14,38,75,236,2,368,39,64,300,2,29,520,278,0,0,0
"248909",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"649518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"214791",1,1,0,0,0,1,0,1,0,0,2,1,0,0,3,1,3,0,4,0,0,0
"98457",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"527762",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"996068",0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,13,0,0,0
"819663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"687574",0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"576419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1024056",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4364412",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"564004",0,2,1,0,1,0,0,0,1,6,0,3,0,0,3,0,0,1,1,0,0,0
"1118847",0,0,0,0,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"110514",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3654574",3,5,5,3,0,1,5,1,2,2,8,3,6,4,8,10,13,6,1,0,0,0
"4295399",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5803",0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,2,0,1,0,0,0,0
"4326152",0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,2,0,0,0
"82365",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
