"","StefanoR2","Wanlip4","Dalderse","Galashiels","Slough","BURMAD","StefanoR1","StefanoR3","Stirling","Wanlip1","CRMAD","Wanlip3","BROMAD","Reading","MapleLodge","EPMAD","BLMAD","Wanlip2","Hawick","Howdon","DAVMAD","BranSands"
"331474",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"565016",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"605803",2,18,49,0,0,0,1,2,42,5,36,7,1,1,19,6,0,41,0,0,0,0
"568283",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"814853",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"138381",0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,20,0,0,0
"102284",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"561433",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0
"250229",0,0,2,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0
"4434444",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"202440",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"850808",0,0,0,0,0,5,2,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0
"567840",0,0,0,2,0,2,0,0,3,0,0,0,0,0,1,7,2,0,0,0,0,0
"312648",0,0,2,0,0,1,1,0,34,4,67,2,0,0,5,4,2,0,0,1,0,0
"574566",0,3,4,0,0,0,0,0,8,2,2,1,0,0,1,1,0,4,0,0,0,0
"314848",0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
"3436277",0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
"62406",0,0,1,0,0,1,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"542690",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"683573",0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"3264601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"831272",0,0,12,0,0,0,2,1,4,2,2,1,1,0,6,0,0,0,0,0,1,0
"622987",1,2,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,5,0,0,0
