"","ERR995420","ERR995433","ERR995414","ERR995434","ERR995421","ERR995435","ERR995415","ERR995436","ERR995416","ERR995437","ERR995410","ERR995426","ERR995417","ERR995427","ERR995411","ERR995428","ERR995418","ERR995429","ERR995412","ERR995430","ERR995419","ERR995431","ERR995413","ERR995432"
"544745",1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1,0,2,0,0,0,0,0
"1080410",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"869040",0,0,0,0,0,0,0,0,0,0,14,0,15,0,35,0,25,0,7,0,7,0,55,0
"321018",0,0,0,0,0,0,0,0,0,0,24,0,25,0,9,0,9,0,27,0,44,0,41,0
"556256",0,0,0,0,0,0,0,0,0,0,14,0,16,0,7,0,7,0,15,0,15,0,37,0
"737234",0,0,0,0,0,0,0,0,0,0,16,0,21,0,46,0,21,0,8,0,8,0,47,0
"619389",0,0,0,0,0,0,0,0,0,0,10,0,21,0,20,0,22,0,20,0,30,0,82,0
"1050",0,0,0,0,0,0,0,0,0,0,86,0,56,0,144,0,83,0,57,0,39,0,182,0
"4369009",0,0,0,0,0,0,0,0,0,0,8,0,12,0,17,0,28,0,7,0,5,0,18,0
"659087",0,0,0,0,0,0,0,0,0,0,5,0,3,0,7,0,10,0,1,0,1,0,2,0
"324008",0,0,0,0,0,0,0,0,0,0,4,0,2,0,15,0,16,0,5,0,7,0,29,0
"461312",0,0,0,0,0,0,0,0,0,0,4,0,3,0,8,0,5,0,0,0,2,0,9,0
"4431375",0,0,0,0,0,0,0,0,0,0,4,0,1,0,6,0,1,0,1,0,1,0,13,0
"653807",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,4,0
"4425583",0,0,0,0,0,0,0,0,0,0,11,0,11,0,39,0,24,0,6,0,5,0,16,0
"152483",0,0,0,0,0,0,0,0,0,0,22,0,31,0,40,0,81,0,13,0,8,0,12,0
"568829",0,0,0,0,0,0,0,0,0,0,1,0,6,0,8,0,6,0,3,0,2,0,3,0
"1005844",0,0,0,0,0,0,0,0,0,0,14,0,8,0,14,0,7,0,2,0,2,0,53,0
"560175",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0
"315545",0,0,0,0,0,0,0,0,0,0,48,0,34,0,91,0,64,0,23,0,7,0,159,0
"4417811",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"553746",0,0,0,0,0,0,0,0,0,0,22,0,12,0,12,0,13,0,15,0,16,0,13,0
"537188",0,0,0,0,0,0,0,0,0,0,47,0,46,0,88,0,45,0,43,0,28,0,277,0
"155526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
"783727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0
"687913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"79249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"630928",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"904563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
