"","ERR995420","ERR995433","ERR995414","ERR995434","ERR995421","ERR995435","ERR995415","ERR995436","ERR995416","ERR995437","ERR995410","ERR995426","ERR995417","ERR995427","ERR995411","ERR995428","ERR995418","ERR995429","ERR995412","ERR995430","ERR995419","ERR995431","ERR995413","ERR995432"
"3219860",0,19,0,7,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4449384",0,52,0,40,0,14,0,33,0,28,0,0,0,0,0,0,0,0,0,5,0,1,0,0
"1108358",0,23,0,20,0,6,0,27,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"257495",0,36,0,9,0,4,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"335355",0,12,0,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1008869",0,14,0,3,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141229",0,2,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"285871",0,4,0,16,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"840041",0,4,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"516890",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224998",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"283611",0,6,0,4,0,7,0,9,0,6,0,11,0,6,0,16,0,17,0,9,0,2,0,6
"1120868",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"525302",0,10,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"525836",0,43,0,16,0,5,0,24,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"280781",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"635489",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"663022",0,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"619348",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1106381",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"283271",0,16,0,24,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"584193",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4302427",0,13,0,18,0,5,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"748406",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1107734",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"572140",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"572586",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"535135",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,0,0
"834243",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"4306936",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"284577",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"552524",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
