"","ERR995420","ERR995433","ERR995414","ERR995434","ERR995421","ERR995435","ERR995415","ERR995436","ERR995416","ERR995437","ERR995410","ERR995426","ERR995417","ERR995427","ERR995411","ERR995428","ERR995418","ERR995429","ERR995412","ERR995430","ERR995419","ERR995431","ERR995413","ERR995432"
"304240",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"832426",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,8,0,0,0,1,0,3
"1059765",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"793842",0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,2,0,11,0,8,0,6
"694887",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,6,0,5,0,6,0,4
"98326",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"552911",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,6,0,0
"827269",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
"244523",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0
"571236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"260159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0
"814402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"299227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"138264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
