"","ERR995420","ERR995433","ERR995414","ERR995434","ERR995421","ERR995435","ERR995415","ERR995436","ERR995416","ERR995437","ERR995410","ERR995426","ERR995417","ERR995427","ERR995411","ERR995428","ERR995418","ERR995429","ERR995412","ERR995430","ERR995419","ERR995431","ERR995413","ERR995432"
"341837",0,7,0,5,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"548147",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241556",0,1,0,0,0,0,0,0,0,1,0,10,0,2,0,4,0,4,0,0,0,0,0,0
"217304",0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114275",0,3,0,2,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"281206",0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,8,0,6,0,0,0,0,0,1
"4480288",0,1,0,2,0,0,0,0,0,0,0,4,0,3,0,19,0,3,0,3,0,4,0,5
"4342344",0,85,0,41,0,18,0,5,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"805639",0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0
"584777",0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"594353",0,221,0,254,0,38,0,93,0,38,0,0,0,0,0,0,0,0,0,2,0,3,0,0
"805804",0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1019161",0,6,0,2,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4389206",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1081739",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"575190",0,1,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"764685",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"565944",0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"583858",0,10,0,3,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2521309",0,7,0,14,0,13,0,9,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"835339",0,61,0,49,0,20,0,48,0,26,0,0,0,0,0,0,0,0,0,7,0,3,0,0
"730193",0,29,0,18,0,8,0,4,0,9,0,8,0,1,0,2,0,2,0,0,0,18,0,7
"1112115",0,2,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"591029",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
