"","ML7","Bergen","LG"
"4110006",33,7,7
"347428",40,12,32
"966903",0,0,2
"1107721",4,0,0
"1004666",0,2,0
"203611",1,1,0
"855333",0,3,0
"4402862",2,1,0
"885012",0,0,4
"1148343",2,2,1
"939545",0,3,0
"4337567",15,18,4
"237912",3,6,1
"779627",0,25,0
"214695",0,14,1
"210201",2,0,35
"582921",13,0,6
"809303",0,1,1
"534265",5,0,0
"815498",2,12,21
"4375039",2,0,1
"205027",0,5,0
"570086",0,1,1
"New.ReferenceOTU74",199,51,33
"New.ReferenceOTU77",43,324,2
"New.ReferenceOTU233",6,0,84
"New.ReferenceOTU239",56,585,18
"New.ReferenceOTU133",2098,2060,323
"New.ReferenceOTU96",342,192,1757
"New.ReferenceOTU137",587,308,75
"New.ReferenceOTU88",87,40,38
"New.ReferenceOTU38",1369,1752,46
"New.ReferenceOTU210",173,127,46
"New.ReferenceOTU245",212,511,27
"New.ReferenceOTU152",632,64,595
"New.ReferenceOTU56",102,217,8
"New.ReferenceOTU170",259,973,53
"New.ReferenceOTU196",5,10,182
"New.CleanUp.ReferenceOTU28",0,5,0
"New.CleanUp.ReferenceOTU61",8,24,0
"New.CleanUp.ReferenceOTU155",55,2,0
"New.CleanUp.ReferenceOTU206",28,1,1
"New.CleanUp.ReferenceOTU269",0,2,0
"New.CleanUp.ReferenceOTU305",12,20,8
"New.CleanUp.ReferenceOTU312",13,45,1
"New.CleanUp.ReferenceOTU480",19,44,13
"New.CleanUp.ReferenceOTU482",3,0,0
"New.CleanUp.ReferenceOTU556",0,2,0
"New.CleanUp.ReferenceOTU570",1,4,17
"New.CleanUp.ReferenceOTU599",67,3,31
"New.CleanUp.ReferenceOTU666",2,0,0
"New.CleanUp.ReferenceOTU692",15,1,2
"New.CleanUp.ReferenceOTU748",4,0,0
"New.CleanUp.ReferenceOTU749",7,2,7
"New.CleanUp.ReferenceOTU797",0,13,0
"New.CleanUp.ReferenceOTU859",3,1,4
"New.CleanUp.ReferenceOTU874",6,11,5
"New.CleanUp.ReferenceOTU912",13,0,0
"New.CleanUp.ReferenceOTU926",0,4,0
"New.CleanUp.ReferenceOTU975",9,88,1
"New.CleanUp.ReferenceOTU1078",0,2,0
"New.CleanUp.ReferenceOTU1102",8,2,1
"New.CleanUp.ReferenceOTU1106",0,0,2
"New.CleanUp.ReferenceOTU1110",2,162,2
"New.CleanUp.ReferenceOTU1120",3,5,4
"New.CleanUp.ReferenceOTU1369",1,11,1
"New.CleanUp.ReferenceOTU1443",59,16,263
"New.CleanUp.ReferenceOTU1473",0,10,0
"New.CleanUp.ReferenceOTU1475",1,1,0
"New.CleanUp.ReferenceOTU1547",10,2,7
"New.CleanUp.ReferenceOTU1558",1,0,25
"New.CleanUp.ReferenceOTU1569",10,14,15
"New.CleanUp.ReferenceOTU1649",15,0,0
"New.CleanUp.ReferenceOTU1717",0,4,0
"New.CleanUp.ReferenceOTU1782",2,10,11
"New.CleanUp.ReferenceOTU1864",33,10,6
"New.CleanUp.ReferenceOTU1913",326,769,86
"New.CleanUp.ReferenceOTU2033",6,46,10
"New.CleanUp.ReferenceOTU2127",7,18,12
"New.CleanUp.ReferenceOTU2209",2,0,0
"New.CleanUp.ReferenceOTU2283",0,0,8
"New.CleanUp.ReferenceOTU2329",49,281,10
"New.CleanUp.ReferenceOTU2392",0,1,1
"New.CleanUp.ReferenceOTU2395",2,1,0
"New.CleanUp.ReferenceOTU2412",0,2,0
"New.CleanUp.ReferenceOTU2462",0,0,3
"New.CleanUp.ReferenceOTU2468",0,2,0
"New.CleanUp.ReferenceOTU2469",0,4,2
"New.CleanUp.ReferenceOTU2471",5,11,0
"New.CleanUp.ReferenceOTU2573",8,0,0
"New.CleanUp.ReferenceOTU2579",1,8,0
"New.CleanUp.ReferenceOTU2609",22,0,12
"New.CleanUp.ReferenceOTU2748",0,2,0
"New.CleanUp.ReferenceOTU2753",34,230,94
"New.CleanUp.ReferenceOTU2862",0,3,0
"New.CleanUp.ReferenceOTU2893",0,126,1
"New.CleanUp.ReferenceOTU2957",0,0,3
"New.CleanUp.ReferenceOTU2958",27,0,0
"New.CleanUp.ReferenceOTU3060",18,36,1
"New.CleanUp.ReferenceOTU3080",12,6,0
"New.CleanUp.ReferenceOTU3103",0,9,1
"New.CleanUp.ReferenceOTU3140",0,0,3
"New.CleanUp.ReferenceOTU3143",0,2,0
"New.CleanUp.ReferenceOTU3160",68,5,5
"New.CleanUp.ReferenceOTU3161",0,0,2
"New.CleanUp.ReferenceOTU3219",2,0,0
"New.CleanUp.ReferenceOTU3275",0,5,0
"New.CleanUp.ReferenceOTU3378",17,16,3
"New.CleanUp.ReferenceOTU3437",25,3,8
"New.CleanUp.ReferenceOTU3540",0,4,0
"New.CleanUp.ReferenceOTU3645",0,2,0
"New.CleanUp.ReferenceOTU3716",0,3,0
"New.CleanUp.ReferenceOTU3773",6,49,1
"New.CleanUp.ReferenceOTU3789",8,13,2
"New.CleanUp.ReferenceOTU3815",6,8,88
"New.CleanUp.ReferenceOTU3864",0,0,2
"New.CleanUp.ReferenceOTU3954",2,0,0
"New.CleanUp.ReferenceOTU3971",0,21,0
"New.CleanUp.ReferenceOTU4035",0,3,0
"New.CleanUp.ReferenceOTU4124",0,15,2
"New.CleanUp.ReferenceOTU4144",3,43,2
"New.CleanUp.ReferenceOTU4170",0,0,5
"New.CleanUp.ReferenceOTU4190",0,40,0
"New.CleanUp.ReferenceOTU4213",18,5,22
"New.CleanUp.ReferenceOTU4235",0,0,6
"New.CleanUp.ReferenceOTU4247",0,5,0
"New.CleanUp.ReferenceOTU4570",3,3,21
"New.CleanUp.ReferenceOTU4638",2,0,0
"New.CleanUp.ReferenceOTU4669",0,2,0
"New.CleanUp.ReferenceOTU4690",0,26,0
"New.CleanUp.ReferenceOTU4813",21,4,2
"New.CleanUp.ReferenceOTU4819",3,21,7
"New.CleanUp.ReferenceOTU4841",0,3,0
"New.CleanUp.ReferenceOTU4908",23,21,8
"New.CleanUp.ReferenceOTU4970",25,47,3
"New.CleanUp.ReferenceOTU4993",24,10,6
"New.CleanUp.ReferenceOTU4996",18,17,1
"New.CleanUp.ReferenceOTU5013",13,19,14
"New.CleanUp.ReferenceOTU5049",22,9,3
"New.CleanUp.ReferenceOTU5173",2,54,0
"New.CleanUp.ReferenceOTU5253",6,7,1
"New.CleanUp.ReferenceOTU5299",0,20,0
"New.CleanUp.ReferenceOTU5317",1,38,2
"New.CleanUp.ReferenceOTU5362",8,2,0
"New.CleanUp.ReferenceOTU5495",0,0,2
"New.CleanUp.ReferenceOTU5502",1,27,0
"New.CleanUp.ReferenceOTU5503",0,4,0
"New.CleanUp.ReferenceOTU5511",0,7,0
"New.CleanUp.ReferenceOTU5582",0,18,0
"New.CleanUp.ReferenceOTU5587",3,0,1
"New.CleanUp.ReferenceOTU5638",3,0,0
"New.CleanUp.ReferenceOTU5745",0,7,0
"New.CleanUp.ReferenceOTU5765",2,120,2
"New.CleanUp.ReferenceOTU5795",10,5,1
"New.CleanUp.ReferenceOTU5797",0,2,29
"New.CleanUp.ReferenceOTU5806",2,0,0
"New.CleanUp.ReferenceOTU5828",20,39,2
"New.CleanUp.ReferenceOTU6111",30,19,9
"New.CleanUp.ReferenceOTU6126",0,5,0
"New.CleanUp.ReferenceOTU6162",51,2,2
"New.CleanUp.ReferenceOTU6307",5,0,0
"New.CleanUp.ReferenceOTU6415",2,0,0
"New.CleanUp.ReferenceOTU6483",20,2,5
"New.CleanUp.ReferenceOTU6535",73,7,19
"New.CleanUp.ReferenceOTU6555",1,7,0
"New.CleanUp.ReferenceOTU6695",9,0,3
"New.CleanUp.ReferenceOTU6711",63,55,18
"New.CleanUp.ReferenceOTU6741",0,8,0
"New.CleanUp.ReferenceOTU6807",23,23,15
"New.CleanUp.ReferenceOTU6844",0,2,0
"New.CleanUp.ReferenceOTU6942",59,2,15
"New.CleanUp.ReferenceOTU6979",14,11,2
"New.CleanUp.ReferenceOTU7123",38,69,6
"New.CleanUp.ReferenceOTU7158",0,15,1
"New.CleanUp.ReferenceOTU7184",6,1,2
"New.CleanUp.ReferenceOTU7193",2,8,0
"New.CleanUp.ReferenceOTU7223",7,8,7
"New.CleanUp.ReferenceOTU7283",1,10,1
"New.CleanUp.ReferenceOTU7300",0,2,0
"New.CleanUp.ReferenceOTU7308",7,0,6
"New.CleanUp.ReferenceOTU7356",0,2,0
"New.CleanUp.ReferenceOTU7364",0,39,0
"New.CleanUp.ReferenceOTU7639",1,1,0
"New.CleanUp.ReferenceOTU7651",7,1,10
"New.CleanUp.ReferenceOTU7779",6,14,0
"New.CleanUp.ReferenceOTU7790",2,6,0
"New.CleanUp.ReferenceOTU7823",0,25,0
"New.CleanUp.ReferenceOTU7827",0,1,5
"New.CleanUp.ReferenceOTU7879",26,5,25
"New.CleanUp.ReferenceOTU8066",2,0,0
"New.CleanUp.ReferenceOTU8070",0,2,0
"New.CleanUp.ReferenceOTU8072",1,42,7
"New.CleanUp.ReferenceOTU8284",17,22,8
"New.CleanUp.ReferenceOTU8315",5,1,3
"New.CleanUp.ReferenceOTU8381",0,2,0
"New.CleanUp.ReferenceOTU8412",0,26,1
"New.CleanUp.ReferenceOTU8661",0,2,0
"New.CleanUp.ReferenceOTU8686",3,0,0
"New.CleanUp.ReferenceOTU8712",15,7,3
"New.CleanUp.ReferenceOTU8855",0,0,2
"New.CleanUp.ReferenceOTU8891",52,14,6
"New.CleanUp.ReferenceOTU8937",7,4,0
"New.CleanUp.ReferenceOTU9174",5,5,0
"New.CleanUp.ReferenceOTU9269",2,12,1
"New.CleanUp.ReferenceOTU9277",23,0,1
"New.CleanUp.ReferenceOTU9317",0,3,0
"New.CleanUp.ReferenceOTU9436",5,4,1
"New.CleanUp.ReferenceOTU9452",0,2,0
"New.CleanUp.ReferenceOTU9454",3,11,0
"New.CleanUp.ReferenceOTU9474",0,0,2
"New.CleanUp.ReferenceOTU9525",0,1,1
"New.CleanUp.ReferenceOTU9559",9,3,0
"New.CleanUp.ReferenceOTU9627",30,108,8
"New.CleanUp.ReferenceOTU9755",34,4,2
"New.CleanUp.ReferenceOTU9799",5,0,0
"New.CleanUp.ReferenceOTU9966",31,0,1
"New.CleanUp.ReferenceOTU9995",1,15,0
"New.CleanUp.ReferenceOTU10054",3,1,0
"New.CleanUp.ReferenceOTU10231",0,2,0
"New.CleanUp.ReferenceOTU10280",0,2,0
"New.CleanUp.ReferenceOTU10283",19,127,3
"New.CleanUp.ReferenceOTU10290",0,6,0
"New.CleanUp.ReferenceOTU10295",0,8,0
"New.CleanUp.ReferenceOTU10363",1,14,0
"New.CleanUp.ReferenceOTU10386",30,3,0
"New.CleanUp.ReferenceOTU10399",31,83,15
"New.CleanUp.ReferenceOTU10442",0,2,0
"New.CleanUp.ReferenceOTU10474",2,33,0
"New.CleanUp.ReferenceOTU10515",3,3,1
"New.CleanUp.ReferenceOTU10526",4,8,0
"New.CleanUp.ReferenceOTU10539",333,49,4
"New.CleanUp.ReferenceOTU10589",0,2,0
"New.CleanUp.ReferenceOTU10617",36,3,9
"New.CleanUp.ReferenceOTU10618",4,22,0
"New.CleanUp.ReferenceOTU10734",2,9,2
"New.CleanUp.ReferenceOTU10817",43,7,252
"New.CleanUp.ReferenceOTU10869",10,19,6
"New.CleanUp.ReferenceOTU10876",2,0,0
"New.CleanUp.ReferenceOTU10913",3,438,1
"New.CleanUp.ReferenceOTU11017",3,1,50
"New.CleanUp.ReferenceOTU11034",2,0,0
"New.CleanUp.ReferenceOTU11065",0,2,0
"New.CleanUp.ReferenceOTU11101",0,2,0
"New.CleanUp.ReferenceOTU11143",2,0,0
"New.CleanUp.ReferenceOTU11213",0,13,1
"New.CleanUp.ReferenceOTU11267",6,0,1
"New.CleanUp.ReferenceOTU11269",0,11,0
"New.CleanUp.ReferenceOTU11331",6,1,0
"New.CleanUp.ReferenceOTU11336",1,13,0
"New.CleanUp.ReferenceOTU11338",0,0,7
"New.CleanUp.ReferenceOTU11407",0,1,4
"New.CleanUp.ReferenceOTU11421",0,52,3
"New.CleanUp.ReferenceOTU11429",3,0,0
"New.CleanUp.ReferenceOTU11443",0,3,12
"New.CleanUp.ReferenceOTU11490",1,7,0
"New.CleanUp.ReferenceOTU11546",42,2,2
"New.CleanUp.ReferenceOTU11625",0,6,0
"New.CleanUp.ReferenceOTU11698",0,3,0
"New.CleanUp.ReferenceOTU11731",32,42,4
"New.CleanUp.ReferenceOTU11754",7,12,9
"New.CleanUp.ReferenceOTU11893",0,4,0
"New.CleanUp.ReferenceOTU11895",0,5,0
"New.CleanUp.ReferenceOTU11910",3,3,16
"New.CleanUp.ReferenceOTU11941",0,1,1
"New.CleanUp.ReferenceOTU11958",0,8,0
"New.CleanUp.ReferenceOTU12011",20,15,1
"New.CleanUp.ReferenceOTU12070",0,5,0
"New.CleanUp.ReferenceOTU12079",1,1,0
"New.CleanUp.ReferenceOTU12368",0,0,3
"New.CleanUp.ReferenceOTU12393",0,20,0
"New.CleanUp.ReferenceOTU12600",0,23,0
"New.CleanUp.ReferenceOTU12608",33,19,320
"New.CleanUp.ReferenceOTU12659",3,43,1
"New.CleanUp.ReferenceOTU12870",8,0,0
"New.CleanUp.ReferenceOTU12988",8,9,9
"New.CleanUp.ReferenceOTU13031",30,11,3
"New.CleanUp.ReferenceOTU13068",0,0,2
"New.CleanUp.ReferenceOTU13074",47,12,58
"New.CleanUp.ReferenceOTU13153",28,6,4
"New.CleanUp.ReferenceOTU13162",4,0,0
"New.CleanUp.ReferenceOTU13209",0,2,0
"New.CleanUp.ReferenceOTU13251",210,63,20
"New.CleanUp.ReferenceOTU13413",5,0,0
"New.CleanUp.ReferenceOTU13451",1,6,0
"New.CleanUp.ReferenceOTU13575",12,6,0
"New.CleanUp.ReferenceOTU13608",0,0,2
"New.CleanUp.ReferenceOTU13695",0,15,0
"New.CleanUp.ReferenceOTU13719",0,0,2
"New.CleanUp.ReferenceOTU13742",0,4,0
"New.CleanUp.ReferenceOTU13816",4,0,0
"New.CleanUp.ReferenceOTU13820",0,9,0
"New.CleanUp.ReferenceOTU13898",8,34,45
"New.CleanUp.ReferenceOTU13929",4,30,0
"New.CleanUp.ReferenceOTU14032",3,0,0
"New.CleanUp.ReferenceOTU14088",1,1,0
"New.CleanUp.ReferenceOTU14136",12,10,0
"New.CleanUp.ReferenceOTU14245",0,4,0
"New.CleanUp.ReferenceOTU14294",2,0,0
"New.CleanUp.ReferenceOTU14452",136,8,1
"New.CleanUp.ReferenceOTU14458",33,48,23
"New.CleanUp.ReferenceOTU14477",0,0,5
"New.CleanUp.ReferenceOTU14516",17,9,0
"New.CleanUp.ReferenceOTU14616",0,9,0
"New.CleanUp.ReferenceOTU14739",0,6,0
"New.CleanUp.ReferenceOTU14785",0,2,0
"New.CleanUp.ReferenceOTU14810",5,0,2
"New.CleanUp.ReferenceOTU14819",0,2,0
"New.CleanUp.ReferenceOTU14848",2,0,0
"New.CleanUp.ReferenceOTU14936",0,2,0
"New.CleanUp.ReferenceOTU15061",13,85,46
"New.CleanUp.ReferenceOTU15116",6,97,3
"New.CleanUp.ReferenceOTU15144",0,43,0
"New.CleanUp.ReferenceOTU15186",10,16,0
"New.CleanUp.ReferenceOTU15242",7,3,9
"New.CleanUp.ReferenceOTU15258",4,13,0
"New.CleanUp.ReferenceOTU15276",17,10,0
"New.CleanUp.ReferenceOTU15286",0,29,0
"New.CleanUp.ReferenceOTU15337",0,1,1
"New.CleanUp.ReferenceOTU15350",23,23,8
"New.CleanUp.ReferenceOTU15550",103,15,73
"New.CleanUp.ReferenceOTU15599",11,2,0
"New.CleanUp.ReferenceOTU15605",0,8,1
"New.CleanUp.ReferenceOTU15664",2,0,0
"New.CleanUp.ReferenceOTU15722",3,8,0
"New.CleanUp.ReferenceOTU15804",0,0,7
"New.CleanUp.ReferenceOTU15827",8,0,2
"New.CleanUp.ReferenceOTU15837",179,9,20
"New.CleanUp.ReferenceOTU15839",0,2,0
"New.CleanUp.ReferenceOTU15871",52,12,2
"New.CleanUp.ReferenceOTU16002",4,0,0
