"","ML7","Bergen","LG"
"2863190",0,2,0
"955932",0,2,0
"1120598",0,3,0
"4477372",0,55,0
"2075740",0,59,0
"4434706",0,3,0
"4229176",0,20,0
"151594",0,5,0
"4405328",0,2,0
"348824",0,2,0
"707653",0,3,0
"4390466",0,11,0
"592129",39,19,6
"102321",0,2,0
"252906",0,2,0
"642614",0,8,0
"4483633",0,2,0
"826749",0,10,0
"4321932",1,57,0
"134357",0,19,0
"4335561",0,2,0
"4429895",0,2,0
"New.ReferenceOTU79",0,15,0
"New.ReferenceOTU192",0,2,0
"New.ReferenceOTU12",4,1554,0
"New.ReferenceOTU85",0,63,0
"New.ReferenceOTU228",0,26,0
"New.ReferenceOTU121",320,326,366
"New.ReferenceOTU250",0,39,0
"New.ReferenceOTU157",0,442,2
"New.ReferenceOTU153",0,117,0
"New.ReferenceOTU169",3,273,0
"New.ReferenceOTU144",4,347,0
"New.CleanUp.ReferenceOTU148",7,294,0
"New.CleanUp.ReferenceOTU156",0,2,0
"New.CleanUp.ReferenceOTU197",0,90,0
"New.CleanUp.ReferenceOTU249",0,2,0
"New.CleanUp.ReferenceOTU308",0,286,3
"New.CleanUp.ReferenceOTU376",0,2,0
"New.CleanUp.ReferenceOTU381",0,267,0
"New.CleanUp.ReferenceOTU477",0,3,0
"New.CleanUp.ReferenceOTU612",0,65,0
"New.CleanUp.ReferenceOTU656",0,3,0
"New.CleanUp.ReferenceOTU718",0,10,0
"New.CleanUp.ReferenceOTU899",0,24,0
"New.CleanUp.ReferenceOTU917",0,9,0
"New.CleanUp.ReferenceOTU953",0,2,0
"New.CleanUp.ReferenceOTU1021",0,2,0
"New.CleanUp.ReferenceOTU1148",0,2,0
"New.CleanUp.ReferenceOTU1351",0,42,0
"New.CleanUp.ReferenceOTU1432",0,65,0
"New.CleanUp.ReferenceOTU1538",0,35,1
"New.CleanUp.ReferenceOTU1593",0,9,0
"New.CleanUp.ReferenceOTU1671",0,4,0
"New.CleanUp.ReferenceOTU1710",0,4,0
"New.CleanUp.ReferenceOTU1802",0,7,0
"New.CleanUp.ReferenceOTU1854",0,24,0
"New.CleanUp.ReferenceOTU2021",0,22,0
"New.CleanUp.ReferenceOTU2156",0,16,0
"New.CleanUp.ReferenceOTU2277",0,9,0
"New.CleanUp.ReferenceOTU2331",0,5,0
"New.CleanUp.ReferenceOTU2435",0,1,1
"New.CleanUp.ReferenceOTU2487",0,37,0
"New.CleanUp.ReferenceOTU2590",10,11,0
"New.CleanUp.ReferenceOTU2777",0,5,0
"New.CleanUp.ReferenceOTU2810",0,5,0
"New.CleanUp.ReferenceOTU2832",0,10,0
"New.CleanUp.ReferenceOTU2981",0,3,0
"New.CleanUp.ReferenceOTU3094",0,3,0
"New.CleanUp.ReferenceOTU3138",0,31,0
"New.CleanUp.ReferenceOTU3144",0,3,0
"New.CleanUp.ReferenceOTU3185",55,63,2
"New.CleanUp.ReferenceOTU3234",0,2,0
"New.CleanUp.ReferenceOTU3315",0,7,0
"New.CleanUp.ReferenceOTU3413",0,9,0
"New.CleanUp.ReferenceOTU3434",0,4,0
"New.CleanUp.ReferenceOTU3472",0,2,0
"New.CleanUp.ReferenceOTU3518",0,19,0
"New.CleanUp.ReferenceOTU3533",2,0,1
"New.CleanUp.ReferenceOTU3722",0,2,0
"New.CleanUp.ReferenceOTU3751",4,1,0
"New.CleanUp.ReferenceOTU3767",0,2,0
"New.CleanUp.ReferenceOTU3833",0,3,0
"New.CleanUp.ReferenceOTU3910",0,2,0
"New.CleanUp.ReferenceOTU3963",0,8,0
"New.CleanUp.ReferenceOTU4013",0,132,0
"New.CleanUp.ReferenceOTU4020",0,3,0
"New.CleanUp.ReferenceOTU4126",0,24,0
"New.CleanUp.ReferenceOTU4163",0,20,0
"New.CleanUp.ReferenceOTU4347",0,2,0
"New.CleanUp.ReferenceOTU4350",0,2,0
"New.CleanUp.ReferenceOTU4429",0,3,0
"New.CleanUp.ReferenceOTU4483",0,6,0
"New.CleanUp.ReferenceOTU4609",0,33,0
"New.CleanUp.ReferenceOTU4610",0,6,0
"New.CleanUp.ReferenceOTU4673",0,10,0
"New.CleanUp.ReferenceOTU4743",0,9,0
"New.CleanUp.ReferenceOTU4812",0,9,0
"New.CleanUp.ReferenceOTU4840",0,15,0
"New.CleanUp.ReferenceOTU4879",0,21,0
"New.CleanUp.ReferenceOTU4884",0,10,0
"New.CleanUp.ReferenceOTU4899",0,3,0
"New.CleanUp.ReferenceOTU5107",0,2,0
"New.CleanUp.ReferenceOTU5187",0,64,0
"New.CleanUp.ReferenceOTU5206",0,3,0
"New.CleanUp.ReferenceOTU5290",0,198,0
"New.CleanUp.ReferenceOTU5327",0,3,0
"New.CleanUp.ReferenceOTU5355",19,50,7
"New.CleanUp.ReferenceOTU5444",0,21,0
"New.CleanUp.ReferenceOTU5461",0,67,0
"New.CleanUp.ReferenceOTU5477",0,2,0
"New.CleanUp.ReferenceOTU5478",0,6,0
"New.CleanUp.ReferenceOTU5691",0,2,0
"New.CleanUp.ReferenceOTU5858",0,16,0
"New.CleanUp.ReferenceOTU5897",0,2,0
"New.CleanUp.ReferenceOTU5906",0,24,0
"New.CleanUp.ReferenceOTU6017",3,143,8
"New.CleanUp.ReferenceOTU6207",0,3,0
"New.CleanUp.ReferenceOTU6266",0,27,0
"New.CleanUp.ReferenceOTU6338",0,50,0
"New.CleanUp.ReferenceOTU6385",0,8,0
"New.CleanUp.ReferenceOTU6423",0,2,0
"New.CleanUp.ReferenceOTU6471",0,4,0
"New.CleanUp.ReferenceOTU6479",0,3,0
"New.CleanUp.ReferenceOTU6582",0,2,0
"New.CleanUp.ReferenceOTU6605",0,28,0
"New.CleanUp.ReferenceOTU6644",0,57,0
"New.CleanUp.ReferenceOTU6735",10,241,0
"New.CleanUp.ReferenceOTU6754",0,23,0
"New.CleanUp.ReferenceOTU6828",0,2,0
"New.CleanUp.ReferenceOTU7010",0,7,0
"New.CleanUp.ReferenceOTU7150",0,4,0
"New.CleanUp.ReferenceOTU7328",0,4,0
"New.CleanUp.ReferenceOTU7414",0,2,0
"New.CleanUp.ReferenceOTU7421",0,23,0
"New.CleanUp.ReferenceOTU7531",0,7,0
"New.CleanUp.ReferenceOTU7653",0,54,0
"New.CleanUp.ReferenceOTU7672",0,4,0
"New.CleanUp.ReferenceOTU7686",0,47,0
"New.CleanUp.ReferenceOTU7724",0,4,0
"New.CleanUp.ReferenceOTU7738",0,69,0
"New.CleanUp.ReferenceOTU7760",0,2,0
"New.CleanUp.ReferenceOTU7950",0,2,0
"New.CleanUp.ReferenceOTU7961",0,24,0
"New.CleanUp.ReferenceOTU7988",0,23,0
"New.CleanUp.ReferenceOTU8037",0,4,0
"New.CleanUp.ReferenceOTU8070",0,2,0
"New.CleanUp.ReferenceOTU8276",0,26,0
"New.CleanUp.ReferenceOTU8278",0,3,0
"New.CleanUp.ReferenceOTU8279",0,5,0
"New.CleanUp.ReferenceOTU8336",0,4,0
"New.CleanUp.ReferenceOTU8422",0,4,0
"New.CleanUp.ReferenceOTU8518",0,9,0
"New.CleanUp.ReferenceOTU8697",0,51,1
"New.CleanUp.ReferenceOTU8747",0,11,0
"New.CleanUp.ReferenceOTU8831",0,2,0
"New.CleanUp.ReferenceOTU8946",0,11,0
"New.CleanUp.ReferenceOTU8967",0,4,0
"New.CleanUp.ReferenceOTU9000",0,2,0
"New.CleanUp.ReferenceOTU9041",0,10,0
"New.CleanUp.ReferenceOTU9165",0,3,0
"New.CleanUp.ReferenceOTU9406",0,5,0
"New.CleanUp.ReferenceOTU9425",0,2,0
"New.CleanUp.ReferenceOTU9561",0,3,0
"New.CleanUp.ReferenceOTU9611",0,7,0
"New.CleanUp.ReferenceOTU9695",0,74,1
"New.CleanUp.ReferenceOTU9769",0,28,0
"New.CleanUp.ReferenceOTU9848",0,2,0
"New.CleanUp.ReferenceOTU9863",1,26,1
"New.CleanUp.ReferenceOTU9962",0,19,0
"New.CleanUp.ReferenceOTU10030",0,16,0
"New.CleanUp.ReferenceOTU10301",0,43,0
"New.CleanUp.ReferenceOTU10308",0,4,0
"New.CleanUp.ReferenceOTU10413",0,22,0
"New.CleanUp.ReferenceOTU10477",0,6,0
"New.CleanUp.ReferenceOTU10481",0,2,0
"New.CleanUp.ReferenceOTU10483",0,2,0
"New.CleanUp.ReferenceOTU10493",0,13,1
"New.CleanUp.ReferenceOTU10521",0,5,0
"New.CleanUp.ReferenceOTU10941",0,39,0
"New.CleanUp.ReferenceOTU11090",0,2,0
"New.CleanUp.ReferenceOTU11111",0,40,0
"New.CleanUp.ReferenceOTU11195",0,2,0
"New.CleanUp.ReferenceOTU11203",0,79,0
"New.CleanUp.ReferenceOTU11231",0,3,0
"New.CleanUp.ReferenceOTU11269",0,11,0
"New.CleanUp.ReferenceOTU11320",0,2,0
"New.CleanUp.ReferenceOTU11349",0,3,0
"New.CleanUp.ReferenceOTU11376",0,2,0
"New.CleanUp.ReferenceOTU11658",1,44,0
"New.CleanUp.ReferenceOTU11965",0,3,0
"New.CleanUp.ReferenceOTU12077",0,11,0
"New.CleanUp.ReferenceOTU12274",0,19,0
"New.CleanUp.ReferenceOTU12281",0,2,0
"New.CleanUp.ReferenceOTU12303",0,2,0
"New.CleanUp.ReferenceOTU12315",0,45,0
"New.CleanUp.ReferenceOTU12404",0,120,0
"New.CleanUp.ReferenceOTU12440",0,3,0
"New.CleanUp.ReferenceOTU12579",0,4,0
"New.CleanUp.ReferenceOTU12737",0,3,0
"New.CleanUp.ReferenceOTU12951",0,80,0
"New.CleanUp.ReferenceOTU12975",0,10,0
"New.CleanUp.ReferenceOTU12994",0,2,0
"New.CleanUp.ReferenceOTU13067",0,3,0
"New.CleanUp.ReferenceOTU13117",2,4,4
"New.CleanUp.ReferenceOTU13207",0,8,0
"New.CleanUp.ReferenceOTU13306",0,2,0
"New.CleanUp.ReferenceOTU13347",0,29,0
"New.CleanUp.ReferenceOTU13379",0,57,0
"New.CleanUp.ReferenceOTU13396",0,3,0
"New.CleanUp.ReferenceOTU13577",23,69,0
"New.CleanUp.ReferenceOTU13651",0,2,0
"New.CleanUp.ReferenceOTU13695",0,15,0
"New.CleanUp.ReferenceOTU13724",0,2,0
"New.CleanUp.ReferenceOTU13811",0,3,0
"New.CleanUp.ReferenceOTU13884",0,4,0
"New.CleanUp.ReferenceOTU13943",0,39,0
"New.CleanUp.ReferenceOTU13947",0,16,0
"New.CleanUp.ReferenceOTU14050",0,9,0
"New.CleanUp.ReferenceOTU14288",0,91,0
"New.CleanUp.ReferenceOTU14359",0,18,0
"New.CleanUp.ReferenceOTU14410",0,5,0
"New.CleanUp.ReferenceOTU14521",0,24,0
"New.CleanUp.ReferenceOTU14580",0,2,0
"New.CleanUp.ReferenceOTU14702",0,147,0
"New.CleanUp.ReferenceOTU14703",0,11,0
"New.CleanUp.ReferenceOTU14849",0,1,11
"New.CleanUp.ReferenceOTU14859",0,33,0
"New.CleanUp.ReferenceOTU14926",0,12,0
"New.CleanUp.ReferenceOTU14973",0,421,0
"New.CleanUp.ReferenceOTU14995",0,33,0
"New.CleanUp.ReferenceOTU15052",0,2,0
"New.CleanUp.ReferenceOTU15117",0,2,0
"New.CleanUp.ReferenceOTU15130",0,22,0
"New.CleanUp.ReferenceOTU15256",0,3,0
"New.CleanUp.ReferenceOTU15337",0,1,1
"New.CleanUp.ReferenceOTU15395",0,3,0
"New.CleanUp.ReferenceOTU15567",0,2,0
"New.CleanUp.ReferenceOTU15576",0,2,0
"New.CleanUp.ReferenceOTU15656",0,32,0
"New.CleanUp.ReferenceOTU15927",0,4,0
