"","ML7","Bergen","LG"
"1106889",3,0,0
"4314932",41,21,0
"New.ReferenceOTU129",1385,2439,201
"New.ReferenceOTU124",30,227,0
"New.ReferenceOTU33",67,37,0
"New.ReferenceOTU168",1563,128,0
"New.CleanUp.ReferenceOTU551",1,17,0
"New.CleanUp.ReferenceOTU2053",0,8,0
"New.CleanUp.ReferenceOTU3086",0,2,0
"New.CleanUp.ReferenceOTU3756",0,11,0
"New.CleanUp.ReferenceOTU3814",15,310,0
"New.CleanUp.ReferenceOTU3869",24,0,0
"New.CleanUp.ReferenceOTU4055",528,869,0
"New.CleanUp.ReferenceOTU4375",0,2,0
"New.CleanUp.ReferenceOTU5039",1,110,0
"New.CleanUp.ReferenceOTU5144",0,33,0
"New.CleanUp.ReferenceOTU5169",266,0,0
"New.CleanUp.ReferenceOTU5609",0,32,0
"New.CleanUp.ReferenceOTU5987",0,122,0
"New.CleanUp.ReferenceOTU6201",0,2,0
"New.CleanUp.ReferenceOTU8112",9,0,0
"New.CleanUp.ReferenceOTU9002",89,220,0
"New.CleanUp.ReferenceOTU9628",0,6,0
"New.CleanUp.ReferenceOTU9638",60,29,0
"New.CleanUp.ReferenceOTU9932",18,1,0
"New.CleanUp.ReferenceOTU12133",0,11,0
"New.CleanUp.ReferenceOTU12154",0,30,0
"New.CleanUp.ReferenceOTU13829",0,3,0
"New.CleanUp.ReferenceOTU14164",45,2,0
"New.CleanUp.ReferenceOTU14587",0,2,0
"New.CleanUp.ReferenceOTU15696",80,34,1
"New.CleanUp.ReferenceOTU15995",0,5,0
