"","ML7","Bergen","LG"
"582173",0,3,0
"4344940",59,25,7
"587227",0,0,2
"590727",79,66,1
"151126",0,1,1
"153722",6,0,1
"New.ReferenceOTU66",71,204,11
"New.ReferenceOTU203",0,34,7
"New.ReferenceOTU60",8,312,1
"New.ReferenceOTU238",212,478,3
"New.ReferenceOTU261",115,75,19
"New.ReferenceOTU94",69,39,6
"New.ReferenceOTU99",446,28,0
"New.ReferenceOTU80",657,1115,49
"New.ReferenceOTU6",1104,3801,15
"New.ReferenceOTU150",730,2416,21
"New.ReferenceOTU26",8,19,0
"New.ReferenceOTU175",93,416,18
"New.CleanUp.ReferenceOTU10",0,9,0
"New.CleanUp.ReferenceOTU29",0,2,0
"New.CleanUp.ReferenceOTU62",3,0,0
"New.CleanUp.ReferenceOTU173",7,0,2
"New.CleanUp.ReferenceOTU178",18,9,0
"New.CleanUp.ReferenceOTU266",6,2,0
"New.CleanUp.ReferenceOTU287",0,9,0
"New.CleanUp.ReferenceOTU356",10,33,0
"New.CleanUp.ReferenceOTU633",0,2,0
"New.CleanUp.ReferenceOTU643",4,0,0
"New.CleanUp.ReferenceOTU901",0,2,0
"New.CleanUp.ReferenceOTU1034",0,0,14
"New.CleanUp.ReferenceOTU1197",1,26,0
"New.CleanUp.ReferenceOTU1222",3,1,2
"New.CleanUp.ReferenceOTU1275",0,36,0
"New.CleanUp.ReferenceOTU1557",5,0,0
"New.CleanUp.ReferenceOTU1603",18,0,5
"New.CleanUp.ReferenceOTU1622",0,0,2
"New.CleanUp.ReferenceOTU1682",0,3,0
"New.CleanUp.ReferenceOTU1719",22,41,5
"New.CleanUp.ReferenceOTU2405",7,0,0
"New.CleanUp.ReferenceOTU2516",1,131,0
"New.CleanUp.ReferenceOTU2952",1,10,3
"New.CleanUp.ReferenceOTU3405",7,0,0
"New.CleanUp.ReferenceOTU3431",15,77,4
"New.CleanUp.ReferenceOTU3461",1,0,17
"New.CleanUp.ReferenceOTU3492",36,0,3
"New.CleanUp.ReferenceOTU3820",0,2,0
"New.CleanUp.ReferenceOTU3997",2,0,0
"New.CleanUp.ReferenceOTU4138",18,6,0
"New.CleanUp.ReferenceOTU4368",23,0,0
"New.CleanUp.ReferenceOTU4446",6,2,0
"New.CleanUp.ReferenceOTU4490",0,13,0
"New.CleanUp.ReferenceOTU4794",35,0,0
"New.CleanUp.ReferenceOTU4799",34,1,0
"New.CleanUp.ReferenceOTU5111",13,20,11
"New.CleanUp.ReferenceOTU5112",0,3,0
"New.CleanUp.ReferenceOTU5160",3,8,0
"New.CleanUp.ReferenceOTU5379",0,0,2
"New.CleanUp.ReferenceOTU5479",2,0,1
"New.CleanUp.ReferenceOTU5647",10,5,23
"New.CleanUp.ReferenceOTU5768",181,8,1
"New.CleanUp.ReferenceOTU5817",436,128,20
"New.CleanUp.ReferenceOTU5837",14,128,4
"New.CleanUp.ReferenceOTU5889",0,0,2
"New.CleanUp.ReferenceOTU6035",0,23,0
"New.CleanUp.ReferenceOTU6258",26,1,0
"New.CleanUp.ReferenceOTU6333",3,6,25
"New.CleanUp.ReferenceOTU6499",3,0,0
"New.CleanUp.ReferenceOTU6531",0,0,2
"New.CleanUp.ReferenceOTU6563",2,0,0
"New.CleanUp.ReferenceOTU6611",6,0,0
"New.CleanUp.ReferenceOTU6637",0,21,0
"New.CleanUp.ReferenceOTU6826",27,291,5
"New.CleanUp.ReferenceOTU6964",0,14,0
"New.CleanUp.ReferenceOTU7023",24,6,0
"New.CleanUp.ReferenceOTU7135",0,2,0
"New.CleanUp.ReferenceOTU7259",0,9,0
"New.CleanUp.ReferenceOTU7297",12,1,0
"New.CleanUp.ReferenceOTU7416",0,2,0
"New.CleanUp.ReferenceOTU7418",16,0,0
"New.CleanUp.ReferenceOTU7609",12,17,1
