"","ML7","Bergen","LG"
"550517",1,1,0
"622364",6,20,0
"822745",0,2,0
"4321932",1,57,0
"1110514",0,13,0
"1112740",2,62,0
"234790",0,2,0
"New.ReferenceOTU1",21,121,0
"New.ReferenceOTU85",0,63,0
"New.ReferenceOTU222",529,389,17
"New.ReferenceOTU220",307,2297,32
"New.ReferenceOTU83",132,334,7
"New.CleanUp.ReferenceOTU233",1,3,0
"New.CleanUp.ReferenceOTU469",0,37,0
"New.CleanUp.ReferenceOTU546",12,41,1
"New.CleanUp.ReferenceOTU548",69,6,1
"New.CleanUp.ReferenceOTU565",0,6,0
"New.CleanUp.ReferenceOTU828",0,17,0
"New.CleanUp.ReferenceOTU836",0,2,0
"New.CleanUp.ReferenceOTU967",0,45,0
"New.CleanUp.ReferenceOTU1180",7,38,7
"New.CleanUp.ReferenceOTU1795",56,34,1
"New.CleanUp.ReferenceOTU2435",0,1,1
"New.CleanUp.ReferenceOTU2487",0,37,0
"New.CleanUp.ReferenceOTU2650",0,2,0
"New.CleanUp.ReferenceOTU3134",0,4,0
"New.CleanUp.ReferenceOTU3404",0,286,0
"New.CleanUp.ReferenceOTU3774",0,43,0
"New.CleanUp.ReferenceOTU3918",0,5,0
"New.CleanUp.ReferenceOTU4239",0,117,0
"New.CleanUp.ReferenceOTU4468",0,22,0
"New.CleanUp.ReferenceOTU4709",102,21,2
"New.CleanUp.ReferenceOTU5217",17,5,0
"New.CleanUp.ReferenceOTU5322",0,22,0
"New.CleanUp.ReferenceOTU5932",0,2,0
"New.CleanUp.ReferenceOTU6017",3,143,8
"New.CleanUp.ReferenceOTU6334",70,44,0
"New.CleanUp.ReferenceOTU6881",0,75,0
"New.CleanUp.ReferenceOTU6920",10,21,1
"New.CleanUp.ReferenceOTU7232",0,12,0
"New.CleanUp.ReferenceOTU7578",20,3,0
"New.CleanUp.ReferenceOTU7922",0,181,0
"New.CleanUp.ReferenceOTU8305",12,14,0
"New.CleanUp.ReferenceOTU8361",4,17,0
"New.CleanUp.ReferenceOTU8455",0,28,0
"New.CleanUp.ReferenceOTU8526",18,21,0
"New.CleanUp.ReferenceOTU8722",0,327,0
"New.CleanUp.ReferenceOTU9316",0,40,0
"New.CleanUp.ReferenceOTU9528",18,107,0
"New.CleanUp.ReferenceOTU9847",0,13,0
"New.CleanUp.ReferenceOTU9993",0,4,0
"New.CleanUp.ReferenceOTU10315",23,3,0
"New.CleanUp.ReferenceOTU10327",97,5,0
"New.CleanUp.ReferenceOTU10355",0,66,0
"New.CleanUp.ReferenceOTU10542",14,13,0
"New.CleanUp.ReferenceOTU10972",7,83,0
"New.CleanUp.ReferenceOTU11393",82,26,0
"New.CleanUp.ReferenceOTU11526",131,24,0
"New.CleanUp.ReferenceOTU11715",0,56,0
"New.CleanUp.ReferenceOTU11810",0,5,0
"New.CleanUp.ReferenceOTU11866",12,4,0
"New.CleanUp.ReferenceOTU12005",0,28,0
"New.CleanUp.ReferenceOTU12153",1,56,0
"New.CleanUp.ReferenceOTU12282",13,34,0
"New.CleanUp.ReferenceOTU12547",377,253,1
"New.CleanUp.ReferenceOTU13379",0,57,0
"New.CleanUp.ReferenceOTU13396",0,3,0
"New.CleanUp.ReferenceOTU13758",0,11,0
"New.CleanUp.ReferenceOTU13878",34,33,0
"New.CleanUp.ReferenceOTU14288",0,91,0
"New.CleanUp.ReferenceOTU14426",16,102,0
"New.CleanUp.ReferenceOTU14427",0,2,0
"New.CleanUp.ReferenceOTU14515",35,0,2
"New.CleanUp.ReferenceOTU14705",2,17,0
"New.CleanUp.ReferenceOTU14795",3,20,0
"New.CleanUp.ReferenceOTU15219",7,2,0
"New.CleanUp.ReferenceOTU15264",0,2,0
"New.CleanUp.ReferenceOTU15426",5,0,0
"New.CleanUp.ReferenceOTU15756",0,5,0
