"","ERR482217","ERR482218","ERR482219","ERR482220","ERR482221","ERR482222","ERR482223","ERR482224","ERR482225","ERR482226","ERR482227","ERR482228","ERR482229","ERR482230","ERR482231","ERR482232","ERR482233","ERR482234","ERR482235","ERR482236","ERR482237","ERR482238","ERR482239","ERR482240","ERR482241","ERR482242","ERR482243","ERR482244","ERR482245","ERR482246","ERR482247","ERR482248","ERR482249","ERR482250","ERR482251","ERR482252","ERR482253","ERR482254","ERR482255","ERR482256","ERR482257","ERR482258","ERR482259","ERR482260","ERR482261","ERR482365","ERR482366","ERR482367","ERR482262","ERR482263","ERR482264","ERR482265","ERR482266","ERR482267","ERR482368","ERR482369","ERR482370","ERR482268","ERR482269","ERR482270","ERR482371","ERR482372","ERR482373","ERR482271","ERR482272","ERR482273","ERR482274","ERR482275","ERR482276","ERR482374","ERR482375","ERR482376","ERR482377","ERR482378","ERR482379","ERR482380","ERR482381","ERR482382","ERR482383","ERR482384","ERR482385","ERR482386","ERR482387","ERR482388","ERR482277","ERR482278","ERR482389","ERR482390","ERR482391","ERR482392","ERR482393","ERR482394","ERR482395","ERR482396","ERR482397","ERR482398","ERR482399","ERR482400","ERR482401","ERR482402","ERR482403","ERR482404","ERR482405","ERR482406","ERR482407","ERR482408","ERR482409","ERR482410","ERR482411","ERR482412","ERR482413","ERR482414","ERR482415","ERR482416","ERR482417","ERR482418","ERR482419","ERR482420","ERR482421","ERR482422","ERR482423","ERR482424","ERR482425","ERR482426","ERR482427","ERR482428","ERR482429","ERR482430","ERR482431","ERR482432","ERR482433","ERR482434","ERR482435","ERR482436","ERR482437","ERR482438","ERR482439","ERR482440","ERR482441","ERR482442","ERR482443","ERR482444","ERR482445","ERR482446","ERR482447","ERR482448","ERR482449","ERR482450","ERR482451","ERR482452","ERR482279","ERR482280","ERR482281","ERR482282","ERR482283","ERR482284","ERR482014","ERR482015","ERR482016","ERR482285","ERR482286","ERR482287","ERR482288","ERR482289","ERR482290","ERR482017","ERR482018","ERR482019","ERR482291","ERR482292","ERR482293","ERR482020","ERR482021","ERR482022","ERR482294","ERR482295","ERR482296","ERR482023","ERR482024","ERR482025","ERR482027","ERR482028","ERR482026","ERR482173","ERR482029","ERR482030","ERR482031","ERR482174","ERR482453","ERR482454","ERR482455","ERR482034","ERR482032","ERR482175","ERR482033","ERR482176","ERR482035","ERR482037","ERR482036","ERR482177","ERR482456","ERR482457","ERR482458","ERR482038","ERR482039","ERR482040","ERR482042","ERR482043","ERR482041","ERR482178","ERR482459","ERR482460","ERR482461","ERR482044","ERR482045","ERR482046","ERR482462","ERR482463","ERR482464","ERR482048","ERR482049","ERR482047","ERR482179","ERR482465","ERR482466","ERR482467","ERR482468","ERR482469","ERR482470","ERR482050","ERR482051","ERR482052","ERR482471","ERR482472","ERR482473","ERR482053","ERR482054","ERR482055","ERR482474","ERR482475","ERR482476","ERR482477","ERR482478","ERR482479","ERR482056","ERR482058","ERR482057","ERR482180","ERR482480","ERR482481","ERR482482","ERR482483","ERR482484","ERR482485","ERR482059","ERR482060","ERR482181","ERR482061","ERR482182","ERR482062","ERR482063","ERR482064","ERR482486","ERR482487","ERR482488","ERR482297","ERR482298","ERR482299","ERR482065","ERR482066","ERR482067","ERR482300","ERR482301","ERR482302","ERR482068","ERR482069","ERR482070","ERR482303","ERR482304","ERR482305","ERR482306","ERR482307","ERR482308","ERR482071","ERR482072","ERR482073","ERR482309","ERR482310","ERR482311","ERR482074","ERR482075","ERR482076","ERR482312","ERR482313","ERR482314","ERR482077","ERR482079","ERR482078","ERR482183","ERR482080","ERR482184","ERR482081","ERR482185","ERR482082","ERR482186","ERR482315","ERR482317","ERR482316","ERR482489","ERR482083","ERR482084","ERR482085","ERR482320","ERR482318","ERR482490","ERR482319","ERR482491","ERR482088","ERR482086","ERR482187","ERR482087","ERR482188","ERR482321","ERR482322","ERR482323","ERR482324","ERR482325","ERR482326","ERR482089","ERR482090","ERR482091","ERR482092","ERR482093","ERR482094","ERR482327","ERR482328","ERR482329","ERR482095","ERR482097","ERR482096","ERR482189","ERR482098","ERR482099","ERR482100","ERR482492","ERR482493","ERR482494","ERR482101","ERR482102","ERR482103","ERR482495","ERR482496","ERR482497","ERR482104","ERR482105","ERR482106","ERR482498","ERR482499","ERR482500","ERR482501","ERR482502","ERR482503","ERR482107","ERR482108","ERR482109","ERR482504","ERR482505","ERR482506","ERR482110","ERR482111","ERR482112","ERR482113","ERR482114","ERR482115","ERR482330","ERR482331","ERR482332","ERR482116","ERR482117","ERR482118","ERR482333","ERR482334","ERR482335","ERR482119","ERR482120","ERR482121","ERR482336","ERR482337","ERR482338","ERR482122","ERR482123","ERR482124","ERR482339","ERR482340","ERR482341","ERR482125","ERR482126","ERR482127","ERR482342","ERR482343","ERR482344","ERR482128","ERR482129","ERR482130","ERR482345","ERR482346","ERR482347","ERR482131","ERR482132","ERR482133","ERR482348","ERR482349","ERR482350","ERR482134","ERR482135","ERR482136","ERR482351","ERR482352","ERR482353","ERR482362","ERR482363","ERR482364"
"350627",12,8,17,1,8,8,26,30,11,15,31,9,32,61,9,5,18,8,44,48,2,0,3,11,1,0,0,30,36,32,7,2,5,8,12,3,10,116,8,18,17,20,0,0,0,5,8,5,12,2,12,33,0,8,7,19,0,29,2,29,34,40,3,19,7,36,1,52,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,12,1,0,0,19,20,6,75,84,64,1,0,0,13,5,4,11,11,7,35,40,14,76,47,6,0,0,0,31,26,5,2,4,0,18,20,8,64,63,25,14,20,16,19,29,5,26,31,3,26,11,5,16,15,366,2,1,3,27,23,4,37,13,6,10,12,20,21,15,15,60,41,5,57,75,32,19,19,35,1,0,0,28,62,14,16,33,9,29,38,22,0,0,0,6,0,0,2,0,0,0,0,1,2,1,3,1,4,0,3,30,2,12,74,0,25,3,4,2,15,1,32,2,38,0,0,0,0,0,2,1,2,1,0,0,0,0,0,56,0,5,4,0,13,10,10,2,0,2,0,0,0,10,18,2,3,0,0,0,1,0,21,19,6,5,11,23,3,0,1,0,2,16,6,26,0,0,0,0,17,16,7,14,21,1,0,0,0,3,7,10,9,6,5,19,7,5,3,25,3,6,20,3,10,6,2,22,25,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,18,30,45,18,28,12,68,40,19,91,10,51,3,8,3,0,0,3,0,2,0,6,29,6,4,1,3,2,2,1,3,6,9,8,56,45,17,80,97,13,52,61,22,65,94,17,7,17,12,61,71,18,100,89,69,26,61,4,90,62,35,173,37,69,71,73,13,91,121,20,72,72,7,54,40,54,60,43,193,101,111,29,55,48,47,0,0,0,0,0,0,8,8,1,345,87,20,3,11,0,47,83,9,78,79,29,24,54,27,0,0,0
"291596",3,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,2,3,0,0,2,0,0,0,2,0,0,1,5,22,4,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,3,6,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,2,8,1,4,1,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,2,0,3,0,4,1,0,0,1,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7,0,1,0,0,0,0,0,0,0,0,1,13,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,6,0,0,2,1,2,1,1,2,1,2,1,4,0,1,0,1,0,8,0,0,1,0,1,8,0,0,5,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,16,7,4,0,0,0,4,1,5,2,2,0,2,1,2,1,5,2,0,0,0,1,14,0,3,5,1,0,11,0,5,1,3,0,0,0,2,8,3,7,14,0,2,0,0,7,17,0,0,4,0,4,18,0,0,0,4,0,0,0
"524258",1,0,2,4,1,23,0,2,3,1,3,8,9,23,11,12,2,185,2,6,1,5,6,18,0,0,0,6,0,89,11,1,53,0,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,12,3,15,0,0,0,1,0,10,0,0,0,0,0,1,0,13,1,0,0,2,0,0,0,0,0,0,11,11,6,0,0,0,2,0,1,0,0,1,9,5,7,8,1,27,8,0,18,2,3,12,23,4,221,1,0,32,1,0,7,0,0,0,12,0,12,15,2,67,3,0,0,9,3,11,4,2,16,1,1,2,0,0,0,0,0,4,3,0,0,3,2,18,0,1,6,1,0,3,0,0,0,2,0,2,5,2,0,0,0,4,6,0,12,4,4,4,7,11,2,2,1,2,9,10,14,0,0,0,0,0,0,0,0,0,0,0,13,68,3,12,2,1,3,10,4,1,0,0,0,14,6,0,0,0,2,9,1,3,8,0,45,2,3,6,0,2,12,4,10,0,0,8,5,2,2,0,9,9,0,70,7,1,6,8,2,5,3,0,6,0,0,0,1,1,3,17,12,8,40,9,0,21,0,0,0,1,29,2,0,21,0,0,9,0,0,0,0,0,0,0,0,0,4,0,29,17,7,6,0,6,3,1,3,2,1,1,2,3,5,16,3,3,6,0,0,0,0,0,4,0,0,5,21,1,0,0,0,3,0,10,0,0,0,0,0,0,1,1,0,0,2,1,3,2,3,12,0,10,12,9,5,12,3,0,3,4,21,1,2,2,0,0,0,1,2,1,1,3,1,0,1,0,1,4,0,1,2,1,2,4,0,6,3,1,0,4,3,0,1,4,0,5,3,0,25,4,12,11,0,0,16,12,4,14,15,36,13,8,2,7,2,8,10,0,0,0,2,0,4,2,0,24,69,0,6,0,0,0,2,0,1,6,4,4,0,0,21,0,0,0
"287863",10,7,1,7,10,6,13,17,0,21,28,1,21,37,0,10,17,3,56,21,1,20,32,6,0,0,0,21,10,1,5,11,5,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,47,98,34,94,78,151,52,41,13,4,63,37,49,41,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,128,52,32,35,2,8,24,2,74,231,52,227,287,20,0,0,0,209,113,133,20,10,3,104,98,8,130,120,5,0,0,43,107,97,58,0,0,11,36,39,2,126,151,3,92,234,6,0,0,99,87,99,2,34,52,5,71,161,4,18,8,8,14,6,18,4,8,0,15,17,26,6,6,66,4,2,0,16,29,2,10,10,4,8,8,20,0,0,0,0,0,0,0,0,0,0,0,20,13,41,10,22,165,43,145,51,5,9,59,68,77,20,7,17,28,24,0,9,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,9,10,57,42,4,6,27,40,35,0,0,0,0,1,2,3,1,10,0,0,15,0,133,4,0,60,2,1,0,0,0,0,28,0,79,52,7,474,8,1,80,8,0,34,4,0,3,23,3,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,30,1,1,11,1,9,31,1,28,29,12,9,3,12,71,7,18,2,45,28,22,16,13,1,76,113,4,8,24,3,52,98,107,54,54,9,21,10,2,24,62,4,29,21,2,37,35,18,64,36,10,48,45,7,43,32,6,0,0,0,0,0,0,10,13,2,43,60,51,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"187248",1,15,3,1,17,10,9,28,1,0,0,0,5,32,4,20,21,0,16,0,17,13,47,42,0,0,0,10,1,0,39,45,0,87,48,2,17,2,0,0,4,44,0,0,3,8,23,7,22,20,0,26,38,30,10,3,13,32,94,19,8,4,8,0,18,0,0,38,0,12,17,9,0,0,0,0,0,0,43,304,0,0,0,0,6,117,0,0,0,0,28,38,4,1,4,8,0,0,0,2,4,0,53,43,12,0,12,2,29,48,16,0,0,0,33,62,0,10,28,0,3,10,0,0,4,0,15,38,0,3,6,0,0,2,6,0,6,9,10,8,2,18,57,8,0,0,7,0,2,6,116,1,0,14,11,3,23,11,0,7,67,1,8,51,26,0,9,3,39,114,2,0,6,0,71,55,0,0,0,0,0,0,0,0,0,0,0,0,38,101,6,0,12,57,5,53,8,2,10,208,6,12,3,0,8,0,10,5,0,58,2,88,4,13,16,10,0,0,0,62,0,0,5,0,1,5,11,61,0,2,8,15,0,1,0,15,14,4,5,2,4,1,0,7,23,5,2,31,53,10,0,7,0,3,0,0,0,0,0,1,0,0,15,0,0,36,87,3,0,0,0,1,0,0,0,0,1,3,46,0,16,33,2,8,41,2,1,2,1,2,10,0,3,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,1,11,10,36,0,37,9,0,3,5,0,0,12,2,2,0,0,29,0,6,74,22,35,4,1,0,0,2,6,0,0,0,0,0,5,0,0,0,1,0,30,1,3,0,0,8,4,8,28,0,1,1,4,1,4,20,5,6,44,0,0,0,0,10,17,2,6,43,2,1,0,1,3,30,1,0,0,0,8,18,26,67,110,32,2,3,2,13,48,0,5,61,1,43,3,1,16,13,8,0,0,0
"304156",4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1109709",1,0,3,1,0,0,1,3,1,1,2,0,2,9,1,2,7,2,7,8,0,1,5,6,0,0,0,4,2,8,4,6,2,4,1,0,5,8,7,3,9,4,0,0,1,1,0,4,2,2,2,17,0,2,5,3,0,3,2,9,10,14,2,5,4,11,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,0,3,0,0,7,6,4,0,0,0,1,1,0,0,0,7,6,2,1,32,19,12,0,0,0,2,2,0,0,0,0,4,3,3,18,28,1,2,1,2,2,3,2,9,9,2,3,4,0,3,2,3,0,0,1,9,4,2,2,11,7,2,1,0,0,0,2,13,5,0,8,13,5,2,0,6,0,1,0,9,11,9,5,8,11,5,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,2,9,0,6,0,0,1,4,0,5,0,5,0,0,0,0,4,3,2,1,1,0,0,0,0,0,0,0,4,2,1,28,18,22,1,0,4,3,0,0,8,13,13,1,0,0,1,1,1,0,0,0,1,4,2,8,0,0,0,0,1,0,2,0,0,0,0,4,3,0,6,9,2,0,0,0,0,4,2,3,1,1,5,1,2,3,10,1,3,2,1,2,1,3,4,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,2,3,2,3,1,4,0,3,0,0,0,1,0,0,2,2,1,2,8,4,0,2,0,7,4,0,8,2,3,15,7,8,13,22,19,23,7,6,8,20,7,15,8,4,8,5,6,2,24,13,20,2,10,2,17,19,26,13,3,9,7,2,1,6,5,5,9,9,1,7,9,2,7,4,11,15,15,1,4,2,7,0,0,0,0,0,0,3,1,0,18,13,5,0,2,0,9,12,4,25,17,7,6,11,8,0,0,0
"264967",16,11,38,0,0,0,36,0,198,32,6,85,31,2,268,7,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,1,0,0,2,0,0,202,0,0,142,0,0,5,0,0,0,3,2,0,0,20,0,32,54,16,0,0,0,67,99,9,11,55,81,1,0,0,113,0,143,107,160,7,0,0,0,0,0,0,0,0,0,0,0,0,15,0,146,2,0,33,22,60,2,118,163,175,3,4,21,85,74,67,151,0,0,73,67,33,1235,756,711,26,34,10,77,58,84,2,1,4,0,0,4,0,1,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,68,77,198,12,1,42,1,0,0,0,1,1,43,4,237,42,12,66,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,62,420,286,17,104,4,17,0,0,0,0,344,322,909,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,9,1,27,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,48,129,31,109,34,9,970,93,17,351,35,1,0,49,193,7,93,11,279,215,72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,18,13,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,51,88,15,12,40,43,52,31,6,0,44,20,6,100,5,0,2,19,11,160,70,134,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194667",2,1,0,0,0,0,5,0,7,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,17,26,0,0,69,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,98,15,9,1,5,0,0,0,6,0,21,33,0,8,1,6,61,0,0,0,0,0,0,6,14,0,0,0,0,0,0,11,2,3,0,0,0,0,2,1,0,0,0,124,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,98,3,0,0,0,0,0,6,0,2,98,47,52,25,0,0,0,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,23,2,1,0,0,0,25,26,10,0,0,0,0,0,0,1,6,0,10,2,8,14,11,12,16,9,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,18,0,0,0,0,52,36,0,0,0,10,0,0,1,0,0,0,0,0,0,3,0,1,5,1,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,3,7,12,6,6,13,38,37,2,1,0,30,47,2,2,20,1,311,400,104,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"851323",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,115,6,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,18,2,1,13,1025,24,156,8,1,5,23,25,24,1,0,28,1,14,3,19,286,1,0,0,0,0,0,0,0,0,199,0,0,0,0,0,2,0,0,0,0,0,9,4,4,6,5,0,11,1,3,0,0,0,0,0,0,0,13,0,0,0,1,0,6,0,0,0,0,0,94,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,9,12,24,0,0,5,0,0,0,1655,0,411,0,1,0,5,0,0,0,0,2,3,5,0,0,0,0,0,4,0,0,1,1,0,0,0,0,14,0,1,19,8,0,0,0,0,0,0,0,6,0,2,6,13,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,31,29,2,27,14,2,0,0,1,2,2,22,0,3,0,1,0,1,8,20,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
