"","ERR1191415","ERR1191416","ERR1191417","ERR1191418","ERR1191419","ERR1191420","ERR1191421","ERR1191422","ERR1191423","ERR1191424","ERR1191425","ERR1191426","ERR1191427","ERR1191428","ERR1191429","ERR1191430","ERR1191431","ERR1191432","ERR1191433","ERR1191434","ERR1191435","ERR1191436","ERR1191437","ERR1191438","ERR1191439","ERR1191440","ERR1191441","ERR1191442","ERR1191443","ERR1191444","ERR1191445","ERR1191446","ERR1191447","ERR1191448","ERR1191449","ERR1191450","ERR1191451","ERR1191452","ERR1191453","ERR1191454","ERR1191455","ERR1191456","ERR1191457","ERR1191458","ERR1191459","ERR1191460","ERR1191461","ERR1191462","ERR1191463","ERR1191464","ERR1191465","ERR1191466","ERR1191467","ERR1191468","ERR1191469","ERR1191470","ERR1191471","ERR1191472","ERR1191473","ERR1191474","ERR1191475","ERR1191476","ERR1191477","ERR1191478","ERR1191479","ERR1191480","ERR1191481","ERR1191482","ERR1191483","ERR1191484","ERR1191485","ERR1191486","ERR1191487","ERR1191488","ERR1191489","ERR1191490","ERR1191491","ERR1191492","ERR1191493","ERR1191494","ERR1191495","ERR1191496","ERR1191497","ERR1191498","ERR1191499","ERR1191500","ERR1191501","ERR1191502","ERR1191503","ERR1191504","ERR1191505","ERR1191506"
"574920",3,2,1,0,2,0,0,1,2,1,0,2,4,8,12,10,6,2,12,4,3,2,99,0,0,0,40,5,9,14,4,1,0,6,0,0,0,0,10,0,1,3,1,0,1,2,0,0,2,7,3,1,1,0,0,0,2,0,0,0,2,4,8,1,1,0,0,0,19,0,0,0,12,50,0,11,4,0,0,0,2,0,0,0,13,11,1,9,17,0,0,0
"549656",7,6,2,1,25,6,2,2,14,0,1,35,130,83,119,24,21,14,14,8,25,15,92,19,2,7,272,17,122,36,17,1,4,2,2,3,6,5,48,0,0,11,0,0,19,7,5,7,45,34,20,16,30,4,9,10,9,0,6,3,14,43,11,13,13,3,12,10,3,0,1,0,1,37,0,0,1,0,0,0,0,0,1,0,1,8,0,3,3,0,0,0
"281206",1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,3,0,7,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,3,0,3,1,0,0,1,1,0,2,0,2,0,3,1,2,0,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2463842",1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,2,1,1,0,0,1,1,2,0,0,0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,9,2,5,0,1,6,4,0,0,0,7,0,7,0,2,0,0,11,8,0,0,0
"607386",7,5,1,2,26,6,6,2,9,1,4,79,159,97,164,86,77,28,56,19,24,53,392,18,11,10,416,27,195,91,25,5,3,13,2,6,9,4,120,3,0,39,5,1,13,3,4,3,25,21,13,4,11,4,2,6,12,0,3,3,10,19,6,11,8,1,4,12,1,0,0,0,6,21,1,2,1,0,0,0,1,1,0,3,2,8,2,2,7,1,0,0
"532888",1,3,0,1,9,1,0,0,6,0,0,5,24,23,29,9,3,3,2,4,6,8,24,4,1,2,72,7,34,11,0,1,0,1,1,1,0,1,14,0,1,1,1,0,3,0,0,2,4,5,1,0,1,0,0,2,0,0,0,0,2,7,4,0,2,0,0,2,18,0,0,0,4,20,0,3,2,0,0,0,1,0,0,0,7,5,0,4,13,0,0,0
"1102212",2,0,0,0,7,5,0,2,0,0,0,13,18,5,79,7,1,1,2,17,28,22,3,0,2,0,2,3,1,1,2,0,0,1,0,1,5,0,1,0,0,5,0,0,1,5,0,2,0,0,0,2,0,0,0,0,0,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"1111234",1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,1,1,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"549748",5,0,0,0,6,3,0,0,22,0,0,0,1,0,0,0,0,0,1,0,0,0,6,0,0,0,15,2,3,2,0,0,0,0,0,0,0,2,5,0,0,0,0,0,2,0,0,1,4,3,2,2,1,0,1,0,4,1,1,0,1,5,2,3,0,1,1,0,0,0,7,11,2,4,0,2,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0
"1082059",1,0,0,6,1,2,2,0,3,2,0,1,7,2,9,4,14,13,6,4,8,7,3,2,0,2,15,35,57,25,2,9,0,3,1,0,2,1,8,3,2,3,4,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,2,1,1,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,1,0,2,2,0,0,0
"106991",3,0,0,0,0,5,2,2,7,0,0,12,6,1,9,22,14,7,21,2,1,1,316,0,4,1,65,13,19,33,10,2,4,10,0,0,2,0,33,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6357",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,6,8,0,2,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"557211",1,0,0,0,6,1,0,0,14,0,0,10,4,0,10,13,11,2,8,13,2,21,6,5,1,2,17,6,1,7,26,1,1,1,0,1,5,1,1,0,0,11,0,0,3,10,3,11,13,13,26,16,14,5,15,6,5,3,6,2,24,19,28,11,17,20,15,6,11,1,0,16,2,2,1,31,7,5,0,0,9,2,1,7,17,4,8,71,27,0,0,3
"308629",2,0,0,1,4,2,0,0,1,0,2,5,0,1,1,9,6,3,14,0,4,2,177,0,1,1,51,6,16,28,5,1,1,4,0,0,0,0,11,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
"536001",2,0,0,0,1,0,0,0,3,0,0,1,0,0,0,2,1,0,0,1,0,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,33,25,55,36,37,31,17,32,66,8,47,20,78,11,277,26,126,67,27,73,176,42,27,25,102,5,19,14,57,78,9,240,229,11,2,0,163,4,15,6,90,127,25,147,1036,2,2,1
"988157",7,0,2,0,3,7,0,0,16,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,2,0,0,0,0,6,0,0,0,11,16,9,2,2,1,1,0,3,0,1,0,4,4,4,8,3,1,1,3,1,2,7,22,5,8,1,0,0,0,1,1,0,3,9,10,1,0,0,1,0,0,1,0
"1134800",3,0,0,0,0,1,0,0,0,1,0,0,5,1,0,0,4,0,0,0,2,1,6,2,1,0,5,3,1,1,0,2,0,2,0,0,1,0,6,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"317794",1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,1,5,0,0,0,0,0,0,3,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"354744",0,1,0,0,0,0,0,0,2,0,2,3,0,2,7,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,6,0,1,0,1,1,2,0,0,1,0,0,1,1,0,0,0,1,28,0,0,0,1,1,0,1,2,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0
"827921",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,0,12,0,1,0,1,0,0,5,5,0,24,0,8,0,0,0,1,0,32,47,119,9,0,12,1,0,1,0,1,0,14,3,15,11,4,7,3,1,2,0,1,6,2,1,10
"232752",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,3,3,1,10,1,1,0,0,0,0,0,19,33,62,2,4,3,1,1,1,0,1,0,7,2,9,6,0,6,3,0,2,0,0,2,1,1,2
"25107",0,1,0,0,0,0,0,0,0,0,0,3,1,6,8,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5,0,0,1,0,0,0,0,0,0,1,1,3,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0
"827773",0,3,0,0,0,0,0,0,1,0,0,9,13,10,39,1,1,1,8,2,16,16,0,0,0,2,0,1,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"795504",0,2,0,0,3,0,0,0,2,0,0,5,21,14,20,12,4,1,5,0,6,3,22,1,1,1,59,3,41,24,1,0,0,0,1,0,1,1,11,1,0,4,2,1,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,1,0,6,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"4411706",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,7,1,0,0,0,0,0,0,1,0,1
"592855",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
"800075",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,4,2,13,1,3,0,0,0,1,1,1,0,0,0,1,3,3,1,1,4,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2
"4322607",0,4,1,1,27,0,0,0,0,0,0,9,6,14,23,5,3,0,1,0,3,1,16,1,0,0,0,4,2,0,1,1,2,1,1,2,3,4,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"338106",0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109247",0,1,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,0,62,0,0,0,0,1,1,1,5,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"786099",0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,12,13,24,3,8,1,2,2,5,0,1,0,5,12,22,4,5,2,0,2,176,0,0,0,41,132,14,34,27,0,0,0,13,0,2,0,55,46,12,64,116,1,0,0
"646279",0,1,0,0,9,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,12,12,2,8,5,3,7,8,1,0,3,31,1,1,1,10,19,0,7,6,11,2,10,2,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,2,1,0,0
"712831",0,2,0,0,6,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"708851",0,1,1,0,1,4,0,0,2,0,3,55,32,88,140,9,2,4,29,16,49,76,6,6,4,5,0,0,2,0,2,2,11,3,6,1,0,1,0,0,1,11,1,2,3,1,2,2,2,3,10,4,0,0,1,0,2,0,0,0,0,1,6,0,1,0,3,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"829725",0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,3,0,5,2,1,0,0,1,0,1,1,3,1,1,1,1,0,3,5,6,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"569835",0,5,1,1,13,2,0,0,0,0,1,3,1,5,10,2,2,1,0,1,1,0,3,4,0,0,26,3,0,0,0,1,0,0,1,1,3,5,2,0,0,0,4,0,26,12,0,6,33,53,9,8,23,2,3,4,31,2,2,4,16,70,6,17,11,5,6,7,47,1,4,0,34,99,4,33,10,0,0,0,8,2,0,1,26,24,6,56,52,0,0,0
"316785",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"832816",0,1,0,0,6,0,0,1,2,0,0,7,5,1,19,1,0,2,2,0,6,12,3,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,2,2,1,1,1,0,0,1,0,1,0,2,1,2,0,0,4,0,2,1,2,0,4,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"347310",0,2,0,0,1,0,0,0,0,0,0,0,0,4,6,2,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,2,1,0,0,5,11,0,0,8,0,0,0,2,0,0,0,2,8,0,4,0,1,0,1,4,0,0,0,3,5,1,4,1,0,0,0,1,0,0,1,8,4,2,9,3,0,0,0
"931098",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,0,1,0,0,0,0,0,2,0,2,4,1,2,0,5,1,1,0,0,1,2,0,1,1,0,0,0,0,4,2,0,1,0,0,2,0,2,0,0,0,0,0,4
"255361",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4324289",0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"327536",0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,2,0,0,1,2
"351106",0,0,0,0,8,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"827077",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"929908",0,0,0,0,4,0,2,1,3,0,0,1,1,4,2,1,3,1,0,0,0,1,12,0,0,0,12,2,5,2,0,0,0,1,1,0,0,1,6,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"837749",0,0,0,0,2,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
