"","SRR1169658","SRR1169661","SRR1169662","SRR1169663","SRR1169664","SRR1169665","SRR1169668","SRR1169671","SRR1169672","SRR1169675","SRR1169677","SRR1169678","SRR1169680","SRR1169682","SRR1169684","SRR1169685","SRR1169686","SRR1169687","SRR1169688","SRR1169689","SRR1169690","SRR1169693","SRR1169697","SRR1169700"
"673010",1,0,0,3,3,1,0,3,4,1,1,2,1,4,2,0,0,0,5,12,9,0,1,0
"673019",5,1,2,6,0,1,0,0,1,1,3,1,1,7,9,1,3,5,7,10,2,1,5,3
"829373",3,2,2,0,1,0,0,0,0,0,1,3,2,3,3,2,1,0,2,3,5,0,2,2
"4353980",2,1,2,0,0,0,2,9,8,0,2,4,2,0,0,0,0,0,1,8,7,6,21,18
"817013",2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"959160",1,1,0,2,4,0,1,0,0,2,2,4,0,0,3,0,0,0,2,0,1,0,0,0
"616184",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4339415",1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"463861",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"3384487",2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"817706",24,18,1,2,0,0,1,1,1,1,1,0,2,4,5,0,0,1,0,0,0,0,0,0
"688259",5,10,3,2,1,2,4,1,2,5,2,1,2,1,3,1,2,1,3,3,1,3,1,3
"4303968",1,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"587355",4,5,5,3,1,2,1,8,8,5,1,10,0,4,2,4,2,2,6,14,15,0,12,14
"818562",4,1,6,0,1,0,4,2,4,1,0,0,0,0,0,0,0,0,2,4,5,0,9,4
"909097",2,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,1,0,0,0
"256678",3,9,4,1,2,0,0,0,1,2,2,1,5,2,3,1,0,0,3,1,3,0,4,1
"1133478",1,3,7,0,0,1,1,0,4,0,1,0,2,2,4,3,1,2,0,0,0,1,2,0
"170935",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1072424",1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1126919",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"844535",1,0,0,0,0,0,0,0,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"911947",6,14,10,1,2,1,1,1,2,2,1,3,1,4,4,7,3,4,1,0,0,0,2,0
"804899",1,6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"163345",6,6,36,21,22,14,22,41,48,4,5,32,8,19,45,35,40,39,56,82,60,10,113,109
"661541",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1122854",5,1,5,4,3,5,1,0,1,0,0,0,3,8,4,0,0,0,0,1,1,1,3,5
"1007384",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1634493",1,3,27,0,0,1,0,0,1,0,0,0,3,9,15,10,2,4,0,0,0,0,0,0
"511572",13,6,5,1,1,0,0,0,1,0,2,0,0,0,1,5,2,17,0,0,0,0,1,0
"1108350",4,6,1,11,19,26,4,17,12,31,27,17,7,39,21,18,13,31,22,23,20,7,16,16
"577298",1,3,0,0,1,1,1,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,1,0
"110766",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,3,0,0,0,0,0,0
"1037355",12,15,3,8,4,6,2,1,0,7,3,2,4,9,8,2,4,5,4,4,4,0,5,3
"547806",4,0,8,2,7,1,1,0,0,0,0,1,1,11,11,4,0,4,0,0,0,0,0,0
"558911",38,33,28,8,10,11,1,1,0,6,0,0,7,19,12,7,1,4,2,6,2,2,3,2
"819027",36,16,60,31,44,20,69,73,100,23,20,57,26,19,47,37,46,39,73,131,93,35,244,194
"554420",1,0,1,1,2,0,0,0,1,0,0,0,4,1,3,2,3,3,1,0,1,0,0,1
"830397",9,7,13,56,36,51,8,12,12,8,5,16,12,25,28,102,98,120,4,17,15,10,11,19
"574416",2,6,1,0,1,0,0,3,0,21,12,1,0,3,2,0,2,0,5,4,3,0,1,0
"155718",7,2,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"686171",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0
"951954",2,8,0,4,1,2,0,3,3,2,3,3,0,0,1,2,0,0,3,4,4,0,1,0
