"","SRR1169658","SRR1169661","SRR1169662","SRR1169663","SRR1169664","SRR1169665","SRR1169668","SRR1169671","SRR1169672","SRR1169675","SRR1169677","SRR1169678","SRR1169680","SRR1169682","SRR1169684","SRR1169685","SRR1169686","SRR1169687","SRR1169688","SRR1169689","SRR1169690","SRR1169693","SRR1169697","SRR1169700"
"581056",4,1,0,3,0,7,6,10,10,5,2,1,0,1,0,8,3,7,12,16,11,0,0,0
"1111998",1,0,2,1,1,0,4,0,2,0,0,4,0,0,1,11,6,9,1,3,0,1,1,1
"33825",1,1,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1
"808949",2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2
"6602",1,0,5,6,2,5,9,15,21,3,4,6,4,4,1,32,25,36,9,11,12,11,19,17
"692284",0,0,0,2,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"38503",0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,3,1,0,0,1,1,1,2,1
"351743",0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2
"932848",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"46257",0,0,0,0,1,0,1,2,3,1,1,10,0,0,0,0,3,9,0,1,1,1,3,1
"49602",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145637",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"19636",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69916",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"897527",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
