"","SRR1169658","SRR1169661","SRR1169662","SRR1169663","SRR1169664","SRR1169665","SRR1169668","SRR1169671","SRR1169672","SRR1169675","SRR1169677","SRR1169678","SRR1169680","SRR1169682","SRR1169684","SRR1169685","SRR1169686","SRR1169687","SRR1169688","SRR1169689","SRR1169690","SRR1169693","SRR1169697","SRR1169700"
"570387",8,19,3,4,4,8,0,1,0,1,0,0,0,4,3,1,4,7,4,4,7,0,2,0
"245254",2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3202061",1,1,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,1,1,1,2,2,2,2
"207633",1,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
"2183859",7,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"4394173",5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"546975",1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"112326",1,0,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0,4,6,9,1,0,1
"591059",6,8,2,0,1,2,0,1,0,1,3,0,1,4,4,0,0,0,4,6,6,2,2,1
"331521",17,21,7,4,3,5,25,25,32,13,9,15,1,4,5,3,4,15,32,39,34,5,22,22
"3595453",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"590993",3,10,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"328957",1,4,0,0,0,0,5,0,1,0,2,3,1,0,0,0,0,0,11,18,29,1,1,1
"808498",1,0,0,0,1,1,1,0,1,1,2,0,0,0,0,0,1,0,1,0,3,0,0,1
"256272",4,12,2,6,2,9,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"576480",18,22,0,0,0,0,0,1,0,0,0,0,0,6,1,1,1,3,0,0,0,0,0,0
"245124",14,35,10,3,6,4,0,0,0,0,2,0,1,1,1,0,1,1,1,1,1,0,4,0
"4419009",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"1622864",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"813916",3,3,1,3,0,1,4,10,3,1,1,3,2,1,2,1,0,1,10,6,13,7,6,6
"817606",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4345036",1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"534321",1,1,0,1,3,1,0,0,0,1,0,0,2,2,2,0,0,0,0,3,6,1,1,1
"3695905",24,43,25,6,7,1,5,6,6,2,0,1,0,1,10,8,11,12,1,3,0,1,7,10
"251133",2,8,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
