"","SRR1169658","SRR1169661","SRR1169662","SRR1169663","SRR1169664","SRR1169665","SRR1169668","SRR1169671","SRR1169672","SRR1169675","SRR1169677","SRR1169678","SRR1169680","SRR1169682","SRR1169684","SRR1169685","SRR1169686","SRR1169687","SRR1169688","SRR1169689","SRR1169690","SRR1169693","SRR1169697","SRR1169700"
"4353980",2,1,2,0,0,0,2,9,8,0,2,4,2,0,0,0,0,0,1,8,7,6,21,18
"566368",73,72,72,71,53,82,30,38,35,8,13,36,20,78,35,3,3,4,41,82,55,13,47,43
"818562",4,1,6,0,1,0,4,2,4,1,0,0,0,0,0,0,0,0,2,4,5,0,9,4
"163345",6,6,36,21,22,14,22,41,48,4,5,32,8,19,45,35,40,39,56,82,60,10,113,109
"822913",17,16,2,0,2,1,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1
"751155",5,3,1,2,0,0,0,0,0,1,0,0,0,2,0,0,2,0,1,0,1,0,0,0
"751555",9,10,5,7,1,3,0,0,1,1,4,2,0,2,1,0,0,0,2,5,3,0,5,3
"819027",36,16,60,31,44,20,69,73,100,23,20,57,26,19,47,37,46,39,73,131,93,35,244,194
"574659",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"580362",19,13,5,13,27,13,6,3,10,7,11,4,2,14,8,1,0,0,11,15,8,0,6,7
"668956",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"906820",6,1,6,3,5,2,0,1,3,1,2,0,7,1,5,4,3,2,4,8,3,10,15,7
"4311517",2,1,15,5,7,2,11,14,13,2,3,10,5,8,12,6,2,9,11,26,17,11,49,58
"1024056",1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"565179",1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4369409",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1105521",14,23,8,2,2,1,0,0,0,3,3,0,2,11,10,1,2,1,3,1,4,0,1,2
"810416",162,163,45,22,33,27,21,11,21,43,54,7,35,40,49,5,9,8,10,44,27,32,24,23
"235586",2,3,3,0,0,2,5,1,4,1,2,0,3,2,5,0,0,0,1,4,2,3,12,2
"824982",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1697002",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1138930",5,4,2,6,6,2,7,4,6,3,5,1,0,0,5,2,3,3,0,10,8,3,16,9
"4139697",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4382176",1,3,3,1,0,1,0,1,0,1,1,1,0,2,0,0,0,0,0,0,0,2,0,3
"753767",12,8,11,5,15,2,31,10,16,12,9,12,6,6,6,18,2,3,14,14,18,5,27,18
"1078732",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"564004",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
