"","SRR1169658","SRR1169661","SRR1169662","SRR1169663","SRR1169664","SRR1169665","SRR1169668","SRR1169671","SRR1169672","SRR1169675","SRR1169677","SRR1169678","SRR1169680","SRR1169682","SRR1169684","SRR1169685","SRR1169686","SRR1169687","SRR1169688","SRR1169689","SRR1169690","SRR1169693","SRR1169697","SRR1169700"
"1044436",6,5,2,0,1,0,3,0,0,6,11,2,1,0,0,0,1,2,3,1,5,0,0,2
"557032",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"321022",1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,2,0,0,1,1
"1133821",2,5,6,0,2,1,2,3,3,0,0,1,2,1,1,8,21,22,3,1,1,2,0,4
"820091",8,13,5,0,0,0,1,0,0,1,0,0,2,0,1,2,4,1,1,0,0,0,3,0
"593973",5,17,4,1,1,1,0,0,0,0,0,0,1,2,0,0,0,1,0,1,1,0,0,0
"838300",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,0,0,0,0,0,0
"1121555",2,3,1,0,0,0,0,0,0,0,2,1,0,1,0,1,2,1,1,1,0,0,0,0
"822988",1,1,1,0,0,0,4,10,7,0,5,8,3,0,0,0,6,7,4,9,8,6,5,1
"1106053",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"513531",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"585151",15,14,9,1,0,3,3,3,7,1,1,3,6,1,6,7,5,8,3,6,8,6,8,9
"608867",8,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
"838913",3,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,2,0
"809270",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4456448",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"246503",1,1,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
"593827",0,2,1,0,1,3,0,0,0,0,0,0,3,0,3,0,1,2,0,0,3,0,0,0
"2651346",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"253644",0,11,1,3,4,2,0,0,0,0,1,2,0,2,0,0,1,1,0,0,1,0,1,0
