"","SRR1617300","SRR1617301","SRR1617299","SRR1617302","SRR1617303","SRR1617304","SRR1617305","SRR1617306","SRR1617307","SRR1617308","SRR1617309","SRR1617310","SRR1617311","SRR1617312","SRR1617313","SRR1617315","SRR1617314","SRR1617316","SRR1617318","SRR1617317","SRR1617319","SRR1617320","SRR1617321","SRR1617322","SRR1617323","SRR1617324","SRR1617325","SRR1617327","SRR1617326","SRR1617328","SRR1617329","SRR1617331","SRR1617330","SRR1617332","SRR1617333","SRR1617334","SRR1617335","SRR1617336","SRR1617337","SRR1617338","SRR1617339","SRR1617340","SRR1617341","SRR1617342","SRR1617343","SRR1617345","SRR1617346","SRR1617344","SRR1617348","SRR1617347","SRR1617349","SRR1617350","SRR1617351","SRR1617352","SRR1617353","SRR1617354","SRR1617355","SRR1617356","SRR1617357","SRR1617358"
"960076",1,0,25,0,8,2,0,12,0,16,0,0,2,0,84,0,0,0,0,0,18,3,1,0,2,0,0,21,0,0,0,264,0,2,9,21,51,10,0,23,101,100,0,5,66,97,0,22,0,48,12,0,65,34,0,1,29,4,0,0
"1092833",1,1,0,47,9,7,0,2,69,4,215,26,29,3,0,0,12,14,0,0,2,65,2,51,51,0,6,0,7,10,18,0,63,12,1,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,5,1,1,5,0,0
"847582",1,0,8,0,4,0,0,0,0,3,1,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,3,0,1,3,18,0,2,8,5,5,2,0,3,34,9,0,0,32,4,0,5,0,1,5,0,14,0,0,0,2,0,0,1
"1105814",13,6,492,23,139,21,1,313,24,116,19,14,6,4,271,4,19,4,179,4,128,70,940,61,33,3,47,195,49,1,75,911,5,125,348,187,1539,188,121,252,1871,2918,3,452,823,7934,54,315,10,53,838,24,517,404,0,11,834,303,5,122
"1037355",1,0,13,0,2,0,0,14,0,11,0,0,0,0,15,0,2,0,0,0,3,1,2,0,1,0,4,23,2,0,4,38,0,12,29,14,81,46,0,113,61,82,0,8,42,194,5,29,0,5,119,1,24,29,0,1,33,19,0,0
"959160",2,0,5,0,2,0,0,6,0,17,0,0,1,0,19,0,0,0,1,1,2,1,3,0,1,0,3,8,0,0,8,41,1,3,10,11,35,19,24,23,19,14,0,7,34,125,3,18,0,3,92,8,18,15,0,0,1,9,3,0
"977026",1,0,37,0,7,0,0,0,1,17,0,0,1,0,3,0,0,0,0,0,5,0,0,0,1,0,0,16,0,0,0,48,0,1,1,4,140,0,0,2,213,85,0,0,110,0,0,7,1,7,1,0,30,52,0,0,63,9,0,1
"558911",3,0,18,0,11,0,0,1,5,23,0,0,1,0,29,0,3,0,0,0,5,5,1,0,4,0,0,21,2,0,5,54,0,14,39,25,297,20,0,42,121,192,0,2,45,98,2,19,0,13,95,0,43,52,0,0,119,66,2,0
"709971",2,0,8,1,5,0,0,19,0,17,4,0,0,0,54,0,3,0,2,0,2,3,25,0,2,1,5,8,5,0,5,51,0,8,66,23,71,16,4,43,37,108,0,16,25,839,4,20,2,2,132,1,21,29,0,1,12,27,0,0
"584010",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,4,0,0,0,1,4,0,1,0,2,5,0,0,1,4,0,2,0,0,2,0,2,1,0,0,0,0,0,0
"527879",2,0,43,0,7,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,12,4,2,0,0,1,0,10,0,0,1,41,0,4,2,0,201,10,0,3,199,199,0,0,66,93,0,22,0,3,7,0,37,21,0,0,110,22,0,0
"554597",1,0,225,2,75,6,0,14,1,9,0,0,3,0,28,0,1,0,0,1,56,23,20,1,14,3,3,34,3,0,1,326,0,18,33,22,118,0,0,0,953,866,0,6,514,212,1,76,0,7,14,0,190,104,0,0,97,9,0,0
"552687",1,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,15,0,0,4,0,0,0,0,0,10,3,3,0,0,2,0,0,1,0,0,8,17,0,0
"1069076",2,0,16,0,2,1,0,11,1,37,0,0,0,0,26,0,0,0,0,0,2,0,2,0,0,0,0,6,2,0,0,62,0,8,10,11,24,2,0,2,36,33,0,9,38,69,0,7,0,6,8,0,28,29,0,0,13,7,0,0
"978664",1,0,18,0,19,0,0,16,4,6,2,0,0,0,8,0,0,0,0,0,7,0,21,2,6,0,5,19,1,0,2,65,2,2,12,10,118,10,1,3,177,155,0,11,91,570,2,41,0,4,14,1,25,19,0,0,49,10,0,0
"831401",2,0,31,0,7,1,0,18,2,21,3,0,0,0,6,0,0,0,0,0,17,3,15,2,0,0,0,31,1,1,2,121,3,3,16,57,185,3,4,0,202,176,2,37,111,120,0,30,0,12,16,1,58,7,0,0,80,10,6,2
"172063",1,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
