"","SRR1617300","SRR1617301","SRR1617299","SRR1617302","SRR1617303","SRR1617304","SRR1617305","SRR1617306","SRR1617307","SRR1617308","SRR1617309","SRR1617310","SRR1617311","SRR1617312","SRR1617313","SRR1617315","SRR1617314","SRR1617316","SRR1617318","SRR1617317","SRR1617319","SRR1617320","SRR1617321","SRR1617322","SRR1617323","SRR1617324","SRR1617325","SRR1617327","SRR1617326","SRR1617328","SRR1617329","SRR1617331","SRR1617330","SRR1617332","SRR1617333","SRR1617334","SRR1617335","SRR1617336","SRR1617337","SRR1617338","SRR1617339","SRR1617340","SRR1617341","SRR1617342","SRR1617343","SRR1617345","SRR1617346","SRR1617344","SRR1617348","SRR1617347","SRR1617349","SRR1617350","SRR1617351","SRR1617352","SRR1617353","SRR1617354","SRR1617355","SRR1617356","SRR1617357","SRR1617358"
"1107760",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,141,0,8,0,1,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,49,54,0,0,4,1,0,0
"556561",0,2,3,0,38,0,1,0,1,0,0,0,9,0,0,0,3,0,0,0,0,1,0,0,9,0,0,6,0,2,0,755,0,88,0,1,2,1,1,0,4,3,0,0,152,1,0,7,0,0,0,0,262,284,2,0,3,4,0,1
"142373",0,0,4,0,4,0,0,0,0,3,0,0,0,0,19,0,1,0,0,0,0,1,0,0,0,0,0,15,0,0,0,104,0,6,46,17,44,1,0,0,7,6,0,0,13,0,0,4,0,4,0,0,51,74,0,0,20,3,0,0
"563015",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"756973",0,0,2,0,2,0,0,0,1,17,0,0,1,1,11,0,0,0,30,0,0,0,0,0,0,0,0,61,0,0,0,148,0,2,9,8,221,6,26,18,4,1,0,0,5,0,0,0,0,16,10,0,47,35,2,0,91,6,0,16
"4400134",0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,56,0,0,0,0,14,0,0,0,2,4,0,0,6,0,0,0,0,3,0,0,14,10,0,0,6,4,0,0
"101928",0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,93,0,5,0,2,24,0,0,0,5,11,0,0,24,1,0,4,0,0,0,0,34,35,0,0,15,1,0,0
"252853",0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0
"1132905",0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"613229",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
