"","SRR1617300","SRR1617301","SRR1617299","SRR1617302","SRR1617303","SRR1617304","SRR1617305","SRR1617306","SRR1617307","SRR1617308","SRR1617309","SRR1617310","SRR1617311","SRR1617312","SRR1617313","SRR1617315","SRR1617314","SRR1617316","SRR1617318","SRR1617317","SRR1617319","SRR1617320","SRR1617321","SRR1617322","SRR1617323","SRR1617324","SRR1617325","SRR1617327","SRR1617326","SRR1617328","SRR1617329","SRR1617331","SRR1617330","SRR1617332","SRR1617333","SRR1617334","SRR1617335","SRR1617336","SRR1617337","SRR1617338","SRR1617339","SRR1617340","SRR1617341","SRR1617342","SRR1617343","SRR1617345","SRR1617346","SRR1617344","SRR1617348","SRR1617347","SRR1617349","SRR1617350","SRR1617351","SRR1617352","SRR1617353","SRR1617354","SRR1617355","SRR1617356","SRR1617357","SRR1617358"
"190607",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1053898",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"863682",1,0,0,3,3,0,0,1,0,0,1,0,0,253,12,4,0,0,4,6,1,0,4,10,0,15,0,1,0,0,0,1,0,0,69,110,1,128,113,164,4,2,196,94,0,10,0,0,0,116,52,67,1,0,70,0,52,188,148,190
"606560",1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,6,0,6,2,6,0,1,1,1,0,0,0,0,0,2,1,0,0,0,10,0,0,3,8,8
"628226",1,0,0,1,0,0,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,5,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,3,0,0,0,1
"592129",2,0,11,0,3,0,0,37,0,19,3,0,1,4,21,0,1,0,0,0,3,3,25,0,0,0,2,6,3,0,6,39,0,5,24,15,62,12,0,12,22,20,0,6,11,460,6,7,1,1,89,0,19,36,0,0,14,13,1,0
"591285",2,0,0,24,0,2,20,0,1,8,50,7,3,0,0,0,18,27,0,1,0,126,0,1,0,1,1,0,4,43,1,0,1,2,0,0,2,1,0,3,0,0,1,3,0,7,2,0,1,1,1,4,0,0,3,12,0,1,1,12
"589277",3,0,0,172,0,0,2,3,3,7,0,19,0,60,0,1,2,282,2,0,0,629,5,10,2,8,0,1,4,29,0,4,0,1,29,38,5,25,26,29,2,2,55,17,2,10,0,1,10,20,6,12,2,0,23,3,12,44,43,160
"535375",1,0,0,124,0,0,0,2,5,8,2,24,0,8,0,0,0,281,0,0,0,605,2,12,0,5,0,4,6,9,2,1,2,3,10,5,1,5,5,17,2,0,16,6,1,8,1,0,3,12,5,6,1,1,13,0,12,10,10,22
"1108422",4,4,1,4,5,0,3,0,0,0,0,0,0,28,5,1,0,0,0,1,1,0,3,8,0,8,0,1,0,0,0,3,0,0,18,22,1,27,24,38,4,3,37,14,4,2,0,0,0,11,12,9,2,2,24,0,11,42,39,47
"576232",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"423830",3,4,2,6,1,0,1,7,1,0,2,1,0,375,26,2,4,4,6,10,4,1,11,40,0,22,0,3,0,0,1,9,0,0,117,171,3,182,164,211,9,4,241,121,12,19,0,0,2,192,83,80,5,2,152,1,58,267,231,231
"575261",1,0,0,7,0,0,6,0,0,0,0,1,0,0,0,0,0,21,0,0,0,45,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"355045",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,2,3,0,0,3,4,0,0,0,0,0,2,1,0,0,0,0,0,0,4,1,0
"337724",6,2,1,1,0,0,0,0,0,0,0,0,0,11,3,1,0,0,0,3,0,1,1,1,0,3,0,1,0,0,0,2,0,0,14,14,2,13,17,17,2,1,17,21,2,0,0,0,0,14,5,9,2,1,6,0,10,17,27,18
"362327",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
