"","SRR1617300","SRR1617301","SRR1617299","SRR1617302","SRR1617303","SRR1617304","SRR1617305","SRR1617306","SRR1617307","SRR1617308","SRR1617309","SRR1617310","SRR1617311","SRR1617312","SRR1617313","SRR1617315","SRR1617314","SRR1617316","SRR1617318","SRR1617317","SRR1617319","SRR1617320","SRR1617321","SRR1617322","SRR1617323","SRR1617324","SRR1617325","SRR1617327","SRR1617326","SRR1617328","SRR1617329","SRR1617331","SRR1617330","SRR1617332","SRR1617333","SRR1617334","SRR1617335","SRR1617336","SRR1617337","SRR1617338","SRR1617339","SRR1617340","SRR1617341","SRR1617342","SRR1617343","SRR1617345","SRR1617346","SRR1617344","SRR1617348","SRR1617347","SRR1617349","SRR1617350","SRR1617351","SRR1617352","SRR1617353","SRR1617354","SRR1617355","SRR1617356","SRR1617357","SRR1617358"
"1108685",4,1,135,0,75,2,0,9,1,5,0,0,5,1,59,0,1,0,1,0,21,9,10,0,10,0,0,20,2,1,0,366,0,32,44,17,57,2,0,0,197,263,2,8,288,18,0,40,0,7,3,0,148,88,0,0,42,11,0,2
"4392871",1,0,14,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,30,0,2,0,0,4,0,0,0,42,64,0,0,68,0,0,5,0,0,0,0,16,3,0,0,1,0,0,0
"645627",4,1,153,2,67,7,0,69,1,3,0,0,4,0,214,0,9,0,0,0,36,9,97,2,8,0,6,41,17,0,0,270,0,41,242,88,168,8,0,0,362,551,1,96,255,683,7,90,0,10,0,0,114,163,0,3,163,44,0,0
"570387",14,3,226,3,86,12,0,82,0,11,0,0,2,1,257,0,5,0,1,0,36,8,134,1,4,0,2,37,7,0,0,345,0,23,320,125,224,9,0,0,472,711,1,127,333,527,7,108,0,14,0,0,134,223,1,3,210,45,0,0
"813916",1,0,42,5,14,3,0,2,2,0,0,0,5,0,6,0,8,0,0,0,7,17,2,4,18,0,6,2,16,0,0,55,0,59,16,7,60,1,0,0,64,80,0,2,47,1022,11,5,0,0,0,0,39,15,0,5,36,13,0,0
"750267",0,1,5,0,2,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,0,2,4,2,2,0,0,0,11,15,0,1,8,21,1,1,0,0,0,0,4,3,0,0,4,0,0,0
"628318",0,1,35,0,15,1,0,0,2,4,0,0,4,0,15,0,1,1,0,0,11,2,0,0,6,0,0,9,0,0,0,272,0,3,2,0,44,1,0,0,138,66,0,0,194,0,0,6,0,3,0,0,157,47,0,0,40,0,0,0
"767648",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"4422420",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"123055",0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"546975",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,7,0,1,3,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"591059",0,0,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"331521",0,0,84,0,31,2,0,3,0,0,0,0,1,1,0,0,0,0,0,0,14,2,2,0,1,0,0,14,0,0,0,121,0,3,0,1,55,0,0,0,125,88,0,0,92,4,0,9,0,5,0,0,34,22,0,0,17,1,0,0
"253283",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"328957",0,0,25,0,10,0,0,2,2,7,0,0,2,1,7,0,2,0,0,0,3,2,4,0,5,0,0,21,2,0,0,93,0,6,18,1,36,0,0,0,66,77,0,0,87,23,0,20,0,6,1,0,46,36,0,0,27,0,0,0
"1042351",0,0,83,0,29,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,21,2,0,0,4,1,0,5,0,0,0,110,0,2,0,0,77,1,0,0,198,141,0,2,118,0,0,26,0,2,0,0,59,43,0,0,38,5,0,0
"327042",0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,4,0,0,0,7,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0
