"","SRR1617300","SRR1617301","SRR1617299","SRR1617302","SRR1617303","SRR1617304","SRR1617305","SRR1617306","SRR1617307","SRR1617308","SRR1617309","SRR1617310","SRR1617311","SRR1617312","SRR1617313","SRR1617315","SRR1617314","SRR1617316","SRR1617318","SRR1617317","SRR1617319","SRR1617320","SRR1617321","SRR1617322","SRR1617323","SRR1617324","SRR1617325","SRR1617327","SRR1617326","SRR1617328","SRR1617329","SRR1617331","SRR1617330","SRR1617332","SRR1617333","SRR1617334","SRR1617335","SRR1617336","SRR1617337","SRR1617338","SRR1617339","SRR1617340","SRR1617341","SRR1617342","SRR1617343","SRR1617345","SRR1617346","SRR1617344","SRR1617348","SRR1617347","SRR1617349","SRR1617350","SRR1617351","SRR1617352","SRR1617353","SRR1617354","SRR1617355","SRR1617356","SRR1617357","SRR1617358"
"564004",2,3,81,1,14,3,0,9,1,8,0,0,2,0,41,0,0,0,0,0,23,21,35,0,5,0,1,11,6,0,0,106,0,17,50,20,77,6,0,0,336,500,0,22,134,339,2,51,1,2,5,0,65,71,0,2,54,16,0,0
"4310019",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"235789",1,1,29,0,3,1,0,3,0,0,0,1,0,0,3,0,0,0,0,0,4,9,17,0,0,0,0,1,0,0,0,5,0,1,3,0,8,0,0,0,141,236,0,3,23,68,1,19,0,0,3,0,3,3,0,0,2,1,0,0
"317632",6,3,327,9,116,22,0,63,5,42,0,0,7,2,155,0,0,0,0,0,71,34,306,10,17,1,7,99,11,0,4,744,0,73,212,117,557,18,0,17,1453,1908,1,205,700,1196,7,219,2,17,62,0,367,333,1,7,345,81,1,1
"616682",1,1,52,0,21,5,0,26,3,58,0,0,2,0,56,1,0,0,0,0,17,11,34,4,6,0,2,50,5,0,8,226,0,17,70,27,288,25,0,23,213,240,0,17,121,744,7,36,2,19,221,0,122,105,0,0,138,42,1,0
"572097",2,2,96,6,31,2,1,137,1,43,4,28,4,0,55,0,1,0,251,1,31,6,244,5,11,0,16,21,22,0,40,201,9,8,94,41,113,26,163,15,512,314,0,89,278,2923,15,51,0,8,370,229,107,74,0,3,87,41,0,142
"557211",3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,4,2,0,0,1,0,0,2,0,0,6,0,0,1,0,0,0,0,0,1,0,4
"810416",4,0,460,0,120,5,1,0,6,24,0,0,4,0,0,0,0,0,0,0,144,15,0,0,25,2,0,83,0,0,0,433,0,17,0,0,1101,11,0,2,1923,1061,0,0,896,0,0,119,0,28,11,0,211,62,0,0,735,41,0,0
"1108417",1,1,3,0,2,1,0,68,2,31,0,0,0,1,40,0,1,0,0,0,2,4,220,11,1,0,4,7,11,0,4,7,0,1,49,15,78,31,0,24,22,135,1,131,22,1391,9,16,1,4,66,0,3,11,0,0,63,64,1,0
"256291",1,0,7,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,6,0,1,0,0,1,0,0,2,9,0,0,2,4,16,0,0,0,23,40,0,1,18,31,0,10,0,0,2,0,2,12,0,0,23,3,0,0
