"","SRR1617300","SRR1617301","SRR1617299","SRR1617302","SRR1617303","SRR1617304","SRR1617305","SRR1617306","SRR1617307","SRR1617308","SRR1617309","SRR1617310","SRR1617311","SRR1617312","SRR1617313","SRR1617315","SRR1617314","SRR1617316","SRR1617318","SRR1617317","SRR1617319","SRR1617320","SRR1617321","SRR1617322","SRR1617323","SRR1617324","SRR1617325","SRR1617327","SRR1617326","SRR1617328","SRR1617329","SRR1617331","SRR1617330","SRR1617332","SRR1617333","SRR1617334","SRR1617335","SRR1617336","SRR1617337","SRR1617338","SRR1617339","SRR1617340","SRR1617341","SRR1617342","SRR1617343","SRR1617345","SRR1617346","SRR1617344","SRR1617348","SRR1617347","SRR1617349","SRR1617350","SRR1617351","SRR1617352","SRR1617353","SRR1617354","SRR1617355","SRR1617356","SRR1617357","SRR1617358"
"959372",1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,3,0,0,0,5,0,3,0,0,3,0,0,0,33,31,0,0,21,0,0,2,0,0,0,0,5,7,0,0,6,5,0,0
"1107637",1,0,55,0,8,0,0,4,0,14,0,0,0,0,23,0,1,0,0,0,8,5,12,0,3,0,0,12,2,0,0,67,0,1,26,12,96,2,0,2,176,295,0,4,95,67,0,28,1,6,5,0,34,30,0,0,60,8,0,0
"1110514",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1044436",1,2,145,2,31,5,0,121,6,66,0,0,6,0,235,0,12,0,0,0,22,13,45,1,5,0,6,57,10,0,1,258,0,26,240,107,330,8,0,1,575,456,0,26,193,861,5,57,3,13,7,0,125,133,0,6,225,40,0,2
"550517",1,0,3,0,4,0,0,4,2,3,0,0,2,0,5,0,0,0,0,0,4,2,4,0,0,0,0,13,0,0,0,26,0,0,1,0,50,1,0,1,46,45,0,0,14,6,2,5,0,4,4,0,8,7,0,0,10,2,0,0
"622364",1,0,12,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,6,1,1,0,0,0,0,0,0,11,0,1,2,0,3,0,0,0,24,22,0,1,15,0,0,1,0,0,0,0,7,11,0,0,4,0,0,0
"539907",0,1,207,3,75,0,0,43,1,9,0,0,8,0,134,1,4,0,1,0,49,15,47,8,15,0,3,11,3,1,0,559,0,41,159,82,127,5,0,0,796,775,0,50,462,367,6,71,0,4,2,0,333,258,0,0,118,15,0,0
"4417599",0,0,2,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,10,0,0,0,10,12,0,0,7,1,0,0,0,0,0,0,3,0,0,0,5,0,0,0
"816463",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,2,1,0,0,1,70,0,0,0,0,0,0,2,0,0,0,1,0,0,0
"838300",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3003347",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,3,0,0,0,5,5,0,0,4,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
"746424",0,0,2,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,0,3,3,3,9,1,0,1,9,19,0,1,10,8,0,1,0,0,2,0,5,3,0,0,5,1,0,0
"610919",0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,1,1,17,0,0,0,13,1,0,0,2,0,0,1,0,0,1,0,3,1,0,0,1,0,0,0
"253712",0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1,0,0,7,6,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,2,0,0
"3595452",0,0,14,1,4,0,0,5,0,1,0,0,0,0,6,0,0,0,0,0,3,1,0,0,1,0,0,4,0,0,0,21,0,2,17,9,19,5,0,0,40,51,0,1,35,20,0,10,0,1,0,0,14,18,0,0,11,2,0,0
"145013",0,0,4,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,4,0,0,4,0,0,0,10,0,0,0,0,2,0,0,0,13,3,0,0,20,0,0,0,0,1,0,0,8,0,0,0,4,0,0,0
"1962755",0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4479671",0,0,3,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,11,0,0,2,3,5,0,0,0,17,15,0,0,8,1,0,1,0,0,1,0,11,10,0,0,2,2,0,0
"638858",0,0,86,0,41,0,0,2,1,31,0,0,4,0,6,0,1,0,0,1,14,3,17,0,5,0,1,29,1,1,0,187,0,14,15,8,142,6,0,7,263,150,0,9,222,90,0,11,2,7,27,0,118,52,0,0,101,16,0,0
"826836",0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,2,11,1,9,0,0,0,1,3,0,2,0,0,0,0,0,2,0,0,4,3,0,0,7,0,0,0
"253680",0,0,2,0,2,0,0,17,0,1,0,0,0,0,16,0,0,0,0,0,0,0,7,0,0,0,0,1,2,0,0,6,0,1,15,5,3,0,0,0,1,22,0,5,15,157,0,5,0,0,0,0,3,2,0,0,2,3,0,0
"346925",0,0,7,1,2,1,0,2,0,2,0,0,0,0,3,0,0,0,0,0,4,3,32,0,1,0,0,1,1,0,0,18,0,0,1,6,21,0,0,1,22,37,0,6,22,23,0,11,0,1,0,0,8,9,0,0,9,0,0,0
"2669173",0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,6,0,0,0,31,5,0,0,7,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
"1083460",0,0,2,0,0,0,0,5,0,2,0,0,1,0,5,0,2,0,0,0,0,4,0,0,0,0,0,3,1,0,0,0,0,4,7,4,7,3,0,0,10,17,0,1,0,54,0,2,0,3,0,0,1,2,0,0,5,1,0,0
"566810",0,0,15,0,5,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,17,0,4,0,0,16,0,0,5,39,25,0,0,32,0,0,4,0,0,1,0,4,6,0,0,29,2,0,0
"589212",0,0,13,0,4,1,0,0,1,10,0,0,0,0,1,0,0,0,0,0,6,2,1,0,0,0,0,2,0,2,0,26,0,0,0,3,24,0,0,0,63,41,0,0,30,1,0,2,0,1,0,0,15,14,0,0,10,1,0,0
"147174",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,3,1,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0
