"","Newark1","Newark125","Newark5","AthersFISH","Pack5","Athers1","Derby125","Rush125","SBSouth01","Pack125","SBNorthFISH","WAInf","Pack1","NewarkInf","Derby1","Strong1","NW5","OW5","SBNorthInf","WA125","RushInf","OW125","WA1","NW125","Rush1","WA01","SBNew125","Strong01","Coal5","Lough5","Leek125","Coal125","OW01","LeekFISH","DerbyFISH","Lough125","SBSouthInf","StrongInf","Finham5","Strong125","SBNorth1","SBNorth5","Coal1","NWFISH","SBSouth125","SBNorth125","Leek5","NW1","SBSouth5","Finham01","Strong5","Finham125","OWFISH","OW1","Lough1","Athers125","SBNew1","NW01","SBSouth1","SBNew5","Eccles1","Rush01","Rush5","Coal01","WAFISH","WA5","CoalFISH","RushFISH","Eccles5","SBNewFISH","StrongFISH","Eccles125","Eccles01","CoalInf","EcclesInf","SBNew01","LeekInf","EcclesFISH","SBNorth01","FinhamInf","Finham1","OWInf","Athers5","LoughInf","Leek01","Leek1","Pack01","DerbyInf","FinhamFISH","PackInf","PackFISH","AthersInf","NWInf","SBNewInf","SBSouthFISH","Athers01","LoughFISH","Derby01","Lough01","NewarkFISH","Newark01","Derby5"
"4306063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4472017",77,66,113,3,4,1,1,1,8,4,2,32,10,131,0,13,0,6,13,0,18,5,3,0,0,1,2,3,3,1,3,6,1,0,0,1,17,21,1,4,9,10,2,1,19,7,1,1,13,0,7,2,2,2,6,0,4,3,23,3,4,0,0,6,3,2,3,0,10,5,2,4,13,7,19,7,19,4,19,5,0,3,2,0,0,1,41,10,0,1,22,4,0,24,15,0,1,1,1,53,59,0
"4329804",0,0,1,0,0,0,0,3,0,1,0,11,1,0,1,0,0,1,5,1,11,1,0,0,2,0,0,0,0,0,0,0,1,0,0,2,14,18,0,4,0,6,0,0,4,1,0,1,5,0,1,0,0,1,0,0,0,0,8,1,5,0,4,0,0,1,1,0,4,0,0,11,3,1,3,0,0,0,1,1,0,0,5,0,0,0,1,0,1,1,0,0,0,17,1,0,0,0,0,0,0,0
"552264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4320368",53,57,110,1,4,0,0,5,5,1,1,27,3,30,1,4,1,4,10,1,35,7,0,0,2,0,5,0,5,2,3,14,1,0,0,2,38,30,2,8,12,7,5,0,43,19,4,0,27,0,1,4,1,2,0,3,0,0,45,5,2,3,0,3,0,1,4,1,7,1,0,3,1,0,1,0,0,0,4,0,0,0,3,0,0,0,2,0,0,0,1,0,0,35,9,1,0,0,1,6,12,0
"261198",143,105,96,0,8,0,0,0,93,4,49,58,4,140,0,0,0,0,28,1,45,0,0,1,0,0,0,0,6,1,0,8,7,1,0,1,50,39,0,0,39,43,4,0,53,11,0,0,144,0,0,1,6,0,0,0,1,0,88,0,0,0,0,9,0,0,18,0,1,0,0,0,0,2,9,1,0,0,87,0,0,2,0,0,2,0,11,1,0,0,7,1,1,31,93,0,0,0,4,163,155,0
"1117069",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1114798",2,5,15,1,3,2,0,0,3,3,1,1,0,0,1,5,0,1,0,0,2,0,0,0,0,1,2,6,2,2,4,0,0,0,3,0,5,0,4,1,0,3,1,0,0,2,4,0,3,3,7,2,0,0,0,2,3,0,1,4,0,0,1,0,0,0,0,0,3,7,5,2,1,0,2,4,58,0,1,5,1,7,3,7,5,6,0,13,0,0,0,1,0,0,2,0,1,1,4,1,1,0
"815406",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"831419",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4451302",1895,1362,1783,3,48,6,3,3,301,26,193,206,27,1743,4,26,5,31,121,7,162,22,13,1,1,8,38,16,100,37,15,80,31,22,13,8,165,155,10,21,172,190,125,0,201,111,19,3,359,4,30,8,29,44,37,5,47,3,339,40,7,4,3,118,9,6,78,2,16,73,20,7,13,28,65,46,51,9,213,27,8,7,2,3,17,24,64,97,3,14,38,21,3,147,334,3,22,10,34,2198,1948,1
"1106349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1708706",22,28,23,0,0,0,0,0,1,0,3,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,1,0,0,0,3,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,1,1,0,0,0,0,32,30,0
"4476648",3,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0
"140359",5,3,13,0,2,0,0,1,1,0,3,4,0,10,0,0,0,0,2,1,8,0,0,2,0,0,1,0,2,0,1,0,1,0,0,0,4,1,1,1,3,1,0,0,4,2,0,1,3,0,0,0,1,3,0,2,1,0,4,0,0,0,0,0,1,0,0,0,0,1,0,3,5,1,1,0,1,1,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,8,5,0
"1141745",72,47,98,0,2,0,0,1,3,1,4,35,1,74,1,0,1,1,19,1,22,0,0,0,0,2,1,0,1,1,3,3,1,4,0,0,24,17,0,0,7,13,1,0,27,9,0,0,16,1,0,1,1,0,1,1,1,0,43,3,0,0,1,0,0,1,3,0,8,0,0,2,1,9,34,0,0,0,11,0,0,0,1,3,3,0,7,6,0,0,0,0,2,20,19,0,0,0,0,43,66,0
"104987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"351875",8,1,2,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,5,2,0
"1145138",5,3,13,0,1,3,2,0,4,0,4,8,0,12,1,0,1,3,2,1,7,4,0,1,0,0,2,0,15,3,0,11,7,0,0,2,7,5,0,1,3,3,12,1,5,2,0,4,3,0,0,0,11,6,2,0,0,0,6,2,0,0,2,16,0,0,15,0,0,0,0,0,1,5,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,2,0,3,4,2,0,0,0,11,11,0
"4339728",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"4351336",4,1,2,5,10,18,1,13,51,13,28,40,5,0,4,5,5,11,35,2,38,6,13,3,15,7,2,6,0,6,0,2,30,1,5,5,40,43,2,1,30,26,0,6,25,17,1,2,51,2,8,3,19,21,6,9,3,6,43,4,33,17,7,0,16,6,1,22,62,12,3,17,74,4,16,6,2,43,52,2,0,0,9,3,0,0,19,0,5,4,14,3,0,35,84,13,12,9,8,0,1,0
"745122",52,20,64,2,3,2,13,10,4,0,12,30,2,64,22,10,5,5,11,0,26,11,2,6,5,3,19,0,6,9,1,22,8,0,0,18,21,21,21,9,12,13,1,0,36,37,0,5,5,3,5,24,8,9,8,2,10,1,39,5,3,7,10,2,0,1,3,2,2,8,0,2,0,0,1,5,0,0,12,1,16,0,16,0,0,0,0,1,1,0,0,0,1,28,5,4,1,2,2,18,16,0
"4429445",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"584580",0,0,0,0,2,1,2,0,0,0,0,3,2,3,0,0,0,0,0,0,0,1,3,0,0,4,2,0,1,1,0,1,0,0,0,0,4,0,3,0,0,0,2,0,1,1,0,2,0,0,1,0,0,2,0,0,1,0,3,1,3,0,1,0,5,2,0,0,3,0,0,4,1,8,7,0,0,0,1,1,0,0,0,2,0,0,3,1,0,4,1,2,1,5,0,0,0,0,0,0,1,0
"New.CleanUp.ReferenceOTU174195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"New.CleanUp.ReferenceOTU239254",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
"New.CleanUp.ReferenceOTU306949",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
