"","ERR164409","ERR315858","ERR315861","ERR315859","ERR315860","ERR315862","ERR315863","ERR318618","ERR318619","ERR318620","ERR318621","ERR598955","ERR599003","ERR598950","ERR599095","ERR598993","ERR599140","ERR599073","ERR599092","ERR599043","ERR599094","ERR599153","ERR599106","ERR599041","ERR599116","ERR599155","ERR599061","ERR599097","ERR599049","ERR599134","ERR598991","ERR598975","ERR599111","ERR598966","ERR599143","ERR599028","ERR599031","ERR599062","ERR599102","ERR599158","ERR598949","ERR599082","ERR599109","ERR599167","ERR599145","ERR599037","ERR599172","ERR599011","ERR599074","ERR598977","ERR599053","ERR599075","ERR599141","ERR599013","ERR599130","ERR599045","ERR599054","ERR599019","ERR599138","ERR599098","ERR599139","ERR599002","ERR599016","ERR599057","ERR599112","ERR599058","ERR599026","ERR599012","ERR598970","ERR599088","ERR599150","ERR599021","ERR599164","ERR599023","ERR599025","ERR598979","ERR599146","ERR598960","ERR599034","ERR598990","ERR599018","ERR599110","ERR599068","ERR599173","ERR598982","ERR599107","ERR598994","ERR599144","ERR598947","ERR599131","ERR599129","ERR599171","ERR599174","ERR599017","ERR599056","ERR599103","ERR599135","ERR599165","ERR599044","ERR599149","ERR598984","ERR599105","ERR599133","ERR599137","ERR599005","ERR599048","ERR599010","ERR599126","ERR599040","ERR599148","ERR599000","ERR599154","ERR599006","ERR599022","ERR599046","ERR599101","ERR599124","ERR599159","ERR599009","ERR599035","ERR599027","ERR599122","ERR598945","ERR599059","ERR599090","ERR599176","ERR599104","ERR599121","ERR599008","ERR599125","ERR599064","ERR598965","ERR599050","ERR598967","ERR599093","ERR599120","ERR599042","ERR599079","ERR599071","ERR599085","ERR599024","ERR599063","ERR599163","ERR599169","ERR599081","ERR599113","ERR598946","ERR598953","ERR598981","ERR598943","ERR598978","ERR599055","ERR599128","ERR599132","ERR599007","ERR599168","ERR598997","ERR599118","ERR598952","ERR599065","ERR599108","ERR598971","ERR599067","ERR599039","ERR599014","ERR599020","ERR599077","ERR598961","ERR599086","ERR598954","ERR598957","ERR599072","ERR598992","ERR598999","ERR599033","ERR599083","ERR599096","ERR598948","ERR599160","ERR598956","ERR598998","ERR599117","ERR599157","ERR599036","ERR599069","ERR599080","ERR599151","ERR598988","ERR599084","ERR599089","ERR599161","ERR599066","ERR599091","ERR599114","ERR599119","ERR599156","ERR599038","ERR599032","ERR599142","ERR598995","ERR598980","ERR599052","ERR598942","ERR599115","ERR598989","ERR598987","ERR599070","ERR599099","ERR599147","ERR599015","ERR599076","ERR599127","ERR599152","ERR599030","ERR599087","ERR599004","ERR599051","ERR599060","ERR599175","ERR599162","ERR599029","ERR599136","ERR599100","ERR598985","ERR598983","ERR599166","ERR598968","ERR599047","ERR599123","ERR598958","ERR598963","ERR598964","ERR599170","ERR598996","ERR598976","ERR598986","ERR599078","ERR598944","ERR599001"
"4302975",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,9,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,331,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0
"341186",3,36,44,8,4,41,118,50,5,24,8,49,11,6,12,48,5,8,52,65,17,3,3,1,1,4,0,0,5,3,2,0,0,16,15,39,0,0,15,6,1,9,0,0,16,0,0,5,17,0,10,8,0,1,1,2,24,7,21,0,10,5,0,16,0,15,19,26,2,0,8,0,0,2,2,1,0,0,1,1,0,10,5,5,6,4,9,9,0,0,0,0,2,0,0,0,1,6,0,0,2,0,1,0,6,0,1,12,0,1,0,0,8,0,1,7,0,0,11,7,7,37,8,46,8,1,5,14,0,0,41,180,121,65,26,9,1,3,0,0,61,7,38,8,19,1,0,0,0,20,58,0,0,0,29,7,10,77,3,25,5,0,0,68,30,15,30,13,0,38,11,1,19,1,1,0,1,3,9,0,0,0,0,5,3,3,2,1,0,2,1,3,2,2,2,0,18,22,54,6,0,104,49,2,43,0,0,0,0,0,0,0,0,41,3,0,0,0,0,34,38,4,5,0,17,0,1,0,8,3,9,0,48,46,58,49,105,0,83
"327362",1,4,5,2,1,2,13,10,2,17,1,11,0,0,3,10,1,0,16,3,1,0,1,1,0,0,0,0,0,1,0,0,0,3,4,1,0,0,3,0,0,1,0,0,5,0,0,0,0,1,0,1,0,0,2,0,1,1,2,0,2,1,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,3,0,2,1,2,0,3,3,8,0,0,0,0,0,0,4,33,6,13,4,1,0,4,0,0,8,2,6,5,1,0,0,0,0,1,6,0,0,0,8,0,1,9,0,1,5,0,0,7,8,3,14,2,0,6,3,0,4,0,1,0,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,6,1,8,1,0,13,5,0,8,0,0,0,0,0,0,0,0,6,1,0,0,0,0,11,2,0,1,0,2,0,1,0,5,0,2,0,4,4,6,2,5,0,8
"229462",3,43,50,32,36,37,198,156,12,154,10,125,20,30,122,153,28,36,215,53,34,7,3,4,9,0,2,7,11,4,16,0,0,5,4,35,0,0,19,13,2,11,0,0,27,0,0,3,8,3,7,8,2,0,8,3,7,2,13,6,65,7,2,36,2,29,88,51,5,1,17,0,0,4,1,0,4,1,0,4,3,16,4,11,3,1,6,7,0,0,2,0,2,1,0,2,1,5,1,0,26,4,14,8,10,2,0,1,1,1,0,0,8,2,4,13,0,0,12,3,4,32,0,9,3,0,1,1,0,0,32,127,305,27,3,5,16,30,1,0,72,23,111,32,23,5,0,0,0,36,123,0,0,0,38,16,16,83,17,45,20,0,0,80,75,36,157,39,0,91,40,0,44,2,0,3,2,6,5,0,5,4,1,1,3,3,4,2,2,1,0,2,4,3,1,1,28,19,61,35,0,354,114,0,67,0,0,0,0,1,0,0,0,78,16,0,0,0,0,79,59,13,8,0,5,0,1,1,24,1,17,0,127,131,359,162,61,0,80
"118817",1,15,18,4,2,27,31,15,3,12,0,37,5,7,13,45,3,3,42,37,15,1,6,1,3,0,1,0,4,1,3,0,0,7,21,25,0,0,11,6,0,2,0,0,8,0,0,3,6,0,7,4,2,1,0,2,10,4,12,3,10,4,0,10,0,8,12,22,0,1,5,0,0,0,0,1,1,0,0,4,0,6,4,12,1,2,7,8,0,0,0,0,0,0,0,1,1,1,1,1,6,1,1,0,2,1,0,1,1,4,0,0,13,1,3,10,0,0,1,4,0,6,1,0,0,0,0,2,0,0,60,214,143,55,8,8,2,12,0,0,51,14,36,12,21,0,0,0,0,9,50,0,0,0,37,12,8,57,7,12,8,0,0,53,29,15,49,13,0,32,18,0,12,0,0,0,2,1,14,0,0,0,0,1,0,1,2,0,0,0,0,2,3,2,0,0,27,22,27,2,0,111,77,0,45,0,0,0,0,0,0,0,0,35,3,0,0,0,0,34,21,5,6,0,11,0,5,0,8,1,8,0,54,44,68,52,84,0,93
"1050608",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126871",0,3,6,0,3,13,1,5,1,2,2,20,4,11,18,32,9,10,36,13,10,2,11,0,3,0,1,3,1,2,3,1,0,2,2,9,0,0,4,2,1,12,0,0,6,0,0,1,4,1,6,7,2,0,1,2,4,1,7,2,11,2,0,1,2,2,5,5,0,2,5,0,1,1,1,1,1,4,0,2,0,4,2,7,1,4,2,7,2,0,0,0,0,3,1,1,1,3,1,0,0,1,8,2,6,3,0,2,0,0,0,0,39,6,5,10,0,0,15,5,6,29,2,13,2,2,3,9,2,0,17,67,43,36,12,4,2,1,1,0,23,3,64,15,27,1,5,0,1,3,26,1,4,8,36,9,7,24,5,11,3,0,0,42,59,22,34,20,5,22,9,0,37,0,4,1,1,3,9,2,2,2,1,8,3,3,2,1,1,0,1,2,3,3,3,4,37,14,18,25,8,64,28,3,71,1,2,1,1,0,0,0,0,5,13,1,1,0,1,9,22,5,8,4,10,1,6,2,10,5,26,1,27,20,57,39,31,2,40
"1111456",0,1,1,3,1,1,16,5,0,1,0,17,1,3,11,2,0,0,1,4,4,1,1,3,2,1,1,12,0,0,5,8,23,0,0,0,0,1,1,0,5,20,6,10,9,15,8,15,52,15,49,42,6,7,20,7,60,3,17,0,10,5,0,2,14,1,0,0,0,0,0,0,3,0,0,0,0,3,1,11,3,20,0,0,0,1,2,3,26,13,4,6,17,15,4,11,0,1,291,53,146,27,22,14,15,11,3,31,23,99,436,64,19,5,2,38,24,117,12,10,5,22,0,10,8,2,0,7,9,0,28,230,11,1,2,0,1,5,24,2,18,3,6,4,171,27,139,63,21,0,1,4,10,17,0,1,1,2,1,4,2,65,13,5,11,77,1,1,18,3,6,14,20,23,24,31,19,52,16,0,11,10,5,0,2,1,1,3,2,0,3,11,12,11,14,77,2,8,3,83,115,4,2,148,5,17,15,18,20,22,21,27,22,52,25,10,13,10,13,10,2,4,13,208,10,26,3,5,10,125,15,50,2,17,12,10,9,22,4
"19398",0,5,5,13,15,0,0,1,0,3,1,9,1,3,17,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,1,1,16,29,1,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,3,0,0,0,0,20,4,0,0,0,2,10,6,3,10,18,60,6,0,0,0,1,0,1,0,0,102,18,1,1,0,0,77,30,0,0,0,0,14,0,0,0,0,0,8,14,28,32,16,60,3,14,130,39,37,171,39,9,191,172,113,0,0,0,0,0,7,2,0,0,0,0,0,0,44,18,6,0,0,10,19,45,0,0,0,1,0,0,0,67,16,0,0,71,0,0,87,0,0,14,0,8,7,12,6,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,9,49,0,8,19,11,10,4,7,6,3,0,1,0,4,3,2,0,0,0,0,39,48,28,2,31,0,2,1,30,1,0,4,8,10,19,12
"1107243",0,1,0,0,2,0,1,3,0,2,0,0,1,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,6,2,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,4,1,3,6,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,3,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,3,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,3,0,1,0,1,3,3,0,1,0,0,0,3,1
