"","ERR164409","ERR315858","ERR315861","ERR315859","ERR315860","ERR315862","ERR315863","ERR318618","ERR318619","ERR318620","ERR318621","ERR598955","ERR599003","ERR598950","ERR599095","ERR598993","ERR599140","ERR599073","ERR599092","ERR599043","ERR599094","ERR599153","ERR599106","ERR599041","ERR599116","ERR599155","ERR599061","ERR599097","ERR599049","ERR599134","ERR598991","ERR598975","ERR599111","ERR598966","ERR599143","ERR599028","ERR599031","ERR599062","ERR599102","ERR599158","ERR598949","ERR599082","ERR599109","ERR599167","ERR599145","ERR599037","ERR599172","ERR599011","ERR599074","ERR598977","ERR599053","ERR599075","ERR599141","ERR599013","ERR599130","ERR599045","ERR599054","ERR599019","ERR599138","ERR599098","ERR599139","ERR599002","ERR599016","ERR599057","ERR599112","ERR599058","ERR599026","ERR599012","ERR598970","ERR599088","ERR599150","ERR599021","ERR599164","ERR599023","ERR599025","ERR598979","ERR599146","ERR598960","ERR599034","ERR598990","ERR599018","ERR599110","ERR599068","ERR599173","ERR598982","ERR599107","ERR598994","ERR599144","ERR598947","ERR599131","ERR599129","ERR599171","ERR599174","ERR599017","ERR599056","ERR599103","ERR599135","ERR599165","ERR599044","ERR599149","ERR598984","ERR599105","ERR599133","ERR599137","ERR599005","ERR599048","ERR599010","ERR599126","ERR599040","ERR599148","ERR599000","ERR599154","ERR599006","ERR599022","ERR599046","ERR599101","ERR599124","ERR599159","ERR599009","ERR599035","ERR599027","ERR599122","ERR598945","ERR599059","ERR599090","ERR599176","ERR599104","ERR599121","ERR599008","ERR599125","ERR599064","ERR598965","ERR599050","ERR598967","ERR599093","ERR599120","ERR599042","ERR599079","ERR599071","ERR599085","ERR599024","ERR599063","ERR599163","ERR599169","ERR599081","ERR599113","ERR598946","ERR598953","ERR598981","ERR598943","ERR598978","ERR599055","ERR599128","ERR599132","ERR599007","ERR599168","ERR598997","ERR599118","ERR598952","ERR599065","ERR599108","ERR598971","ERR599067","ERR599039","ERR599014","ERR599020","ERR599077","ERR598961","ERR599086","ERR598954","ERR598957","ERR599072","ERR598992","ERR598999","ERR599033","ERR599083","ERR599096","ERR598948","ERR599160","ERR598956","ERR598998","ERR599117","ERR599157","ERR599036","ERR599069","ERR599080","ERR599151","ERR598988","ERR599084","ERR599089","ERR599161","ERR599066","ERR599091","ERR599114","ERR599119","ERR599156","ERR599038","ERR599032","ERR599142","ERR598995","ERR598980","ERR599052","ERR598942","ERR599115","ERR598989","ERR598987","ERR599070","ERR599099","ERR599147","ERR599015","ERR599076","ERR599127","ERR599152","ERR599030","ERR599087","ERR599004","ERR599051","ERR599060","ERR599175","ERR599162","ERR599029","ERR599136","ERR599100","ERR598985","ERR598983","ERR599166","ERR598968","ERR599047","ERR599123","ERR598958","ERR598963","ERR598964","ERR599170","ERR598996","ERR598976","ERR598986","ERR599078","ERR598944","ERR599001"
"244523",0,6,9,1,0,5,5,8,1,14,3,11,4,3,9,10,2,1,3,19,37,10,64,12,44,8,8,69,77,26,80,8,43,31,37,69,9,45,14,7,1,13,20,35,52,57,17,7,21,4,13,38,9,1,1,5,26,1,5,2,17,1,1,36,4,45,49,45,7,8,36,0,0,19,6,8,15,6,1,12,3,21,1,2,0,2,0,0,5,2,0,0,1,3,2,1,1,4,1,2,23,4,2,0,13,4,6,25,1,16,6,1,16,1,1,18,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,3,1,2,1,0,0,0,2,0,15,8,4,1,1,4,2,5,2,2,1,2,1,0,1,24,3,11,25,33,1,23,35,8,37,0,5,2,2,4,4,13,6,9,10,8,6,0,2,2,0,4,9,8,3,9,5,0,2,12,15,6,25,35,5,0,2,3,13,11,8,16,10,7,7,8,6,17,21,0,5,6,8,79,16,60,39,12,11,1,16,16,38,30,11,12,7,16,22,33,2,7,3
"774240",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"571236",0,1,0,1,1,0,0,0,0,0,0,0,0,3,16,2,1,0,0,0,2,0,0,0,0,0,23,132,0,0,0,51,265,0,0,0,0,4,0,0,0,0,3,1,0,0,0,0,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,1,9,0,0,0,1,0,2,17,30,4,1,6,6,134,17,3,4,9,4,19,6,5,1,2,111,25,4,4,18,4,4,4,0,3,3,0,0,0,1,1,2,1,0,0,0,4,9,1,0,0,7,71,6,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,3,1,2,0,0,1,0,6,14,34,0,0,0,0,0,0,0,60,9,0,0,15,0,0,10,0,0,12,0,9,14,13,11,0,8,450,411,391,404,1,1,0,0,125,128,122,142,0,0,0,0,389,4,4,0,20,138,0,0,1,0,0,0,0,0,0,0,0,1,0,7,1,1,0,0,0,0,1,0,87,98,30,42,101,16,266,22,127,11,3,0,109,47,64,85
"838996",0,8,3,6,10,2,3,15,3,14,2,16,0,13,41,12,0,1,9,5,117,23,26,1,17,0,11,74,36,11,32,69,269,1,16,19,92,539,2,0,2,11,139,299,25,212,85,0,12,23,67,16,2,13,67,3,6,0,2,0,3,8,1,8,729,7,9,21,4,2,14,371,589,31,7,16,20,1220,200,24,7,45,8,9,8,0,0,1,1475,298,5,4,18,9,5,7,0,3,1033,228,5,3,41,14,225,119,1,4,9,27,1349,231,18,1,12,90,245,1259,1,2,1,2,1,2,0,0,6,39,1276,292,0,0,0,0,1,0,27,51,1099,259,0,0,1,0,8,3,521,215,113,0,1,225,364,920,30,9,0,4,1,4,0,1150,253,0,32,822,1,146,1509,19,159,1022,1,386,368,389,378,70,12,127,124,100,111,0,0,6,1,11,16,20,11,0,0,2,1,458,11,7,6,275,1657,0,12,1872,6,154,172,176,151,201,186,213,202,8,206,143,149,158,148,19,15,14,21,961,86,1397,155,1065,62,604,67,1313,49,44,24,196,48,1342,54
"1110096",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"838006",0,0,1,0,2,0,1,2,0,0,0,5,0,1,13,0,0,1,1,0,39,5,0,0,0,0,6,23,0,1,0,13,44,0,0,0,14,64,0,0,0,0,13,21,0,12,6,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,259,1,0,0,0,0,1,144,216,3,1,0,0,470,66,2,1,3,1,3,2,0,3,1,548,105,0,2,5,3,3,1,0,1,522,90,1,0,5,1,126,52,0,0,0,0,670,120,0,0,4,21,93,502,0,0,1,0,0,0,0,0,3,21,802,178,0,0,1,0,0,0,2,9,446,113,0,0,0,0,2,0,43,17,7,0,0,40,89,173,2,1,0,0,0,0,0,227,64,0,9,212,0,26,379,2,22,489,0,126,142,125,128,3,0,88,82,83,70,0,0,0,1,15,14,22,22,0,0,0,0,96,1,1,0,94,669,0,1,798,0,20,14,11,19,46,52,69,59,0,64,39,45,43,61,0,0,0,0,357,52,659,37,294,12,175,14,453,14,4,9,70,21,483,39
"605566",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27569",0,0,1,0,1,0,1,1,0,0,0,0,0,2,9,0,1,0,0,0,26,5,0,0,0,0,2,6,0,0,0,3,19,0,0,0,5,40,0,0,0,0,14,40,0,30,17,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,2,35,56,2,0,1,1,115,20,1,2,10,0,1,1,0,1,1,127,19,0,1,2,0,0,1,0,0,82,14,0,0,1,2,23,12,0,0,0,1,122,16,0,0,1,8,15,79,1,0,0,0,0,0,0,0,2,9,178,40,0,0,0,0,0,0,5,4,90,20,0,0,0,0,3,1,70,31,16,0,0,16,18,34,6,0,0,0,0,0,0,117,28,0,4,89,0,12,155,4,16,104,0,27,28,44,30,3,0,8,10,16,11,0,0,0,0,1,3,0,2,0,0,0,0,27,0,0,0,59,133,0,3,135,0,20,19,24,39,31,18,17,24,0,29,13,15,11,29,0,0,1,0,102,12,98,8,106,2,59,10,116,7,8,6,23,5,123,10
"581695",0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1,0,1,0,1,1,0,4,3,7,1,2,1,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,1,1,4,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,0,4,0,4,0,0,1,0,0,13,15,11,13,0,0,0,0,0,3,2,1,0,0,0,0,11,0,0,0,6,5,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,1,64,6,4,10,2,13,0,6,0,0,0,24,6,2,17
"772177",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
