"","ERR164409","ERR315858","ERR315861","ERR315859","ERR315860","ERR315862","ERR315863","ERR318618","ERR318619","ERR318620","ERR318621","ERR598955","ERR599003","ERR598950","ERR599095","ERR598993","ERR599140","ERR599073","ERR599092","ERR599043","ERR599094","ERR599153","ERR599106","ERR599041","ERR599116","ERR599155","ERR599061","ERR599097","ERR599049","ERR599134","ERR598991","ERR598975","ERR599111","ERR598966","ERR599143","ERR599028","ERR599031","ERR599062","ERR599102","ERR599158","ERR598949","ERR599082","ERR599109","ERR599167","ERR599145","ERR599037","ERR599172","ERR599011","ERR599074","ERR598977","ERR599053","ERR599075","ERR599141","ERR599013","ERR599130","ERR599045","ERR599054","ERR599019","ERR599138","ERR599098","ERR599139","ERR599002","ERR599016","ERR599057","ERR599112","ERR599058","ERR599026","ERR599012","ERR598970","ERR599088","ERR599150","ERR599021","ERR599164","ERR599023","ERR599025","ERR598979","ERR599146","ERR598960","ERR599034","ERR598990","ERR599018","ERR599110","ERR599068","ERR599173","ERR598982","ERR599107","ERR598994","ERR599144","ERR598947","ERR599131","ERR599129","ERR599171","ERR599174","ERR599017","ERR599056","ERR599103","ERR599135","ERR599165","ERR599044","ERR599149","ERR598984","ERR599105","ERR599133","ERR599137","ERR599005","ERR599048","ERR599010","ERR599126","ERR599040","ERR599148","ERR599000","ERR599154","ERR599006","ERR599022","ERR599046","ERR599101","ERR599124","ERR599159","ERR599009","ERR599035","ERR599027","ERR599122","ERR598945","ERR599059","ERR599090","ERR599176","ERR599104","ERR599121","ERR599008","ERR599125","ERR599064","ERR598965","ERR599050","ERR598967","ERR599093","ERR599120","ERR599042","ERR599079","ERR599071","ERR599085","ERR599024","ERR599063","ERR599163","ERR599169","ERR599081","ERR599113","ERR598946","ERR598953","ERR598981","ERR598943","ERR598978","ERR599055","ERR599128","ERR599132","ERR599007","ERR599168","ERR598997","ERR599118","ERR598952","ERR599065","ERR599108","ERR598971","ERR599067","ERR599039","ERR599014","ERR599020","ERR599077","ERR598961","ERR599086","ERR598954","ERR598957","ERR599072","ERR598992","ERR598999","ERR599033","ERR599083","ERR599096","ERR598948","ERR599160","ERR598956","ERR598998","ERR599117","ERR599157","ERR599036","ERR599069","ERR599080","ERR599151","ERR598988","ERR599084","ERR599089","ERR599161","ERR599066","ERR599091","ERR599114","ERR599119","ERR599156","ERR599038","ERR599032","ERR599142","ERR598995","ERR598980","ERR599052","ERR598942","ERR599115","ERR598989","ERR598987","ERR599070","ERR599099","ERR599147","ERR599015","ERR599076","ERR599127","ERR599152","ERR599030","ERR599087","ERR599004","ERR599051","ERR599060","ERR599175","ERR599162","ERR599029","ERR599136","ERR599100","ERR598985","ERR598983","ERR599166","ERR598968","ERR599047","ERR599123","ERR598958","ERR598963","ERR598964","ERR599170","ERR598996","ERR598976","ERR598986","ERR599078","ERR598944","ERR599001"
"151653",1,4,9,2,5,29,0,1,1,0,1,12,1,1,4,5,0,3,7,44,5,2,11,1,5,0,2,23,14,4,5,1,6,13,5,21,2,14,4,1,2,6,0,1,24,5,1,5,17,2,2,12,2,2,4,3,10,3,22,3,12,0,1,2,10,5,5,5,0,0,6,5,4,11,0,2,1,7,2,3,0,5,0,0,0,2,1,3,10,5,0,0,2,1,1,1,1,1,5,0,3,1,1,0,1,1,2,3,0,4,13,1,10,0,2,6,1,6,0,0,0,0,0,1,0,0,0,0,1,0,1,8,15,19,8,3,0,1,16,3,16,3,3,1,6,1,2,0,0,4,18,0,0,0,1,2,8,18,0,7,6,2,1,9,12,5,5,4,5,8,2,7,8,1,1,1,0,2,12,1,2,3,0,2,3,4,3,1,1,1,3,3,2,3,2,5,8,4,22,1,7,16,3,3,11,3,4,1,1,2,1,0,2,12,2,2,0,2,1,16,36,4,4,2,4,13,2,10,6,12,0,16,1,2,4,4,4,11,1
"355538",1,248,246,569,567,48,472,1974,209,1802,213,5740,1040,504,2681,5187,848,1333,6403,931,5818,1019,24078,3941,10846,1940,1040,5681,2522,1443,1449,227,925,58,82,205,0,1,2474,1201,705,3583,3,1,7780,8,1,2670,12593,896,3898,9041,2079,1067,5094,4315,19385,3566,18107,3361,18808,7104,1896,13655,2420,8006,9887,8440,2828,2448,17466,27,22,12124,3276,420,866,24,5,375,187,976,40,120,61,63,2,2,2,0,785,848,1742,1562,789,748,686,1479,18,6,7108,1497,2192,992,3070,1565,1184,7344,604,3284,40,2,9769,1898,766,4797,187,919,1,1,0,1,0,0,0,0,0,0,0,1,150,37,3820,4420,3684,2259,1840,3689,9,1,12264,769,3963,1425,3785,675,37,24,11,1033,3399,5,5,4,1768,526,775,5083,809,3839,1634,33,6,3746,2990,1071,5411,4983,12,14112,8997,62,6822,335,313,358,350,2279,306,150,129,138,136,1640,1699,1608,1611,218,220,240,212,906,960,1010,990,5,6293,5586,15508,2220,44,4676,1117,18,6299,24,24,23,24,2,2,5,3,15392,3153,2,10,3,7,5069,1647,6008,5499,8,16,3,983,1,2067,3,648,3,4218,3956,2841,781,2557,1,1807
"228671",1,14,14,0,3,1,11,9,2,8,1,29,7,0,5,14,5,7,26,44,14,5,40,14,58,8,3,6,2,1,2,1,3,0,1,10,0,0,2,3,2,6,0,0,4,0,0,8,21,1,2,11,2,2,4,6,9,2,10,14,64,25,3,17,8,6,8,10,2,3,26,0,0,9,3,1,4,0,0,6,1,6,1,6,4,5,2,0,0,0,6,5,13,6,2,4,9,17,0,0,95,21,2,1,13,7,44,322,1,4,0,0,209,51,0,1,1,3,14,11,1,5,5,10,13,2,0,2,0,0,0,0,5,83,26,20,6,3,1,0,108,4,8,0,1,2,0,0,0,3,5,0,0,0,6,1,3,12,1,12,7,0,0,15,8,5,23,9,1,47,25,0,32,1,2,1,4,2,5,1,0,0,0,9,13,9,17,1,0,1,0,10,6,6,10,0,39,25,63,15,2,37,4,1,36,0,0,0,0,0,0,0,0,39,6,0,0,0,0,11,3,3,6,0,17,1,6,0,18,0,14,1,34,12,11,3,21,0,11
"68986",2,155,167,228,228,30,246,1081,127,1034,139,3941,747,284,1325,4502,751,1107,5054,732,2591,509,2889,522,1410,239,236,1325,297,199,169,108,446,10,23,26,0,1,359,184,157,544,1,0,1002,0,0,348,1448,212,816,1073,290,218,897,614,2530,530,2126,979,5128,1603,461,1814,362,945,1368,923,323,261,2185,3,2,981,257,39,67,5,3,49,21,117,32,71,38,28,5,5,6,1,475,559,1088,877,479,518,245,532,9,3,1049,228,458,197,435,256,184,1099,122,626,9,1,2032,413,181,891,34,148,0,0,0,0,0,0,0,0,0,0,1,0,194,37,2482,2007,456,327,566,1105,0,0,2238,239,1193,439,1149,229,30,16,5,271,789,0,3,1,684,192,197,1264,197,901,447,5,0,1108,904,348,1565,1533,3,2534,2321,11,2209,111,114,96,110,849,100,64,48,58,41,478,544,514,481,81,62,74,72,284,278,291,316,1,1783,1488,2172,738,18,4029,525,13,1711,15,25,21,11,2,1,1,0,2115,958,3,4,3,0,687,183,800,782,2,8,0,150,0,280,1,190,1,3072,2494,2219,532,1728,1,1382
"712576",1,215,215,424,422,23,352,881,64,797,63,1432,232,178,843,1221,189,345,1366,3010,1588,322,3214,560,1550,263,248,1375,1701,990,963,149,702,461,841,1943,2,3,1347,685,775,3480,1,1,2862,1,2,406,1778,193,667,1176,305,180,707,647,2613,534,2239,461,2312,1203,330,1716,344,3307,1747,1508,527,468,3135,8,8,1927,631,220,459,27,3,543,248,1314,27,72,64,51,75,82,7,1,472,457,981,771,441,452,189,334,9,3,1088,252,308,138,482,218,192,1270,129,664,7,1,1736,346,130,881,38,142,2,1,0,3,0,0,0,0,0,0,1,0,1500,558,1260,766,496,283,341,645,3,1,1620,131,665,215,942,185,161,69,31,294,815,2,7,8,942,292,285,1707,122,638,262,16,4,862,803,392,838,1192,6,1839,1794,13,1094,68,77,73,70,656,1087,55,63,48,58,661,676,655,664,120,108,117,141,301,293,287,290,2,900,858,1970,631,11,1865,739,19,1274,129,127,123,122,3,0,0,4,1852,640,2,2,1,1,2378,5294,2088,1534,3,570,10,693,0,1475,14,1010,7,1439,1370,908,320,1425,12,1191
"584390",1,37,33,69,77,2,67,127,4,93,12,205,23,65,297,261,39,49,233,331,597,101,532,93,234,44,96,558,171,101,108,96,425,39,67,151,0,2,184,86,72,399,1,0,280,0,0,66,299,21,114,215,54,28,125,100,466,69,438,86,471,440,86,405,57,452,330,220,89,89,527,2,4,284,97,25,52,5,0,93,21,171,4,12,11,10,8,7,0,0,78,76,185,153,80,87,59,130,2,2,205,39,225,80,84,39,26,159,39,230,3,1,260,45,39,276,10,25,0,2,0,0,0,0,0,0,0,0,0,0,220,94,178,155,85,36,172,342,0,0,251,25,159,45,459,94,65,24,15,40,128,3,1,2,264,89,34,230,17,93,41,1,1,209,307,79,222,679,1,374,779,10,288,17,25,28,28,363,95,37,41,30,32,93,88,128,103,21,27,28,21,75,48,49,58,0,250,156,373,374,3,224,166,1,273,37,40,40,39,0,1,0,0,431,309,0,0,0,0,321,519,283,215,1,106,0,84,0,188,1,158,1,269,221,184,80,239,0,184
"354695",1,67,56,13,15,0,67,16,0,7,1,33,6,0,5,8,5,4,15,142,11,1,61,47,115,17,3,4,13,12,6,0,5,6,15,49,0,0,32,6,2,6,0,0,28,0,0,8,86,1,6,35,2,0,1,11,37,3,27,1,22,7,0,25,4,11,3,18,3,2,28,1,0,15,5,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,40,12,2,0,10,6,8,59,0,1,0,0,67,25,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61,21,20,3,4,0,0,47,0,4,1,3,1,0,0,0,2,13,0,0,0,6,2,2,12,3,15,9,0,0,36,14,10,8,7,0,22,24,0,7,0,1,0,0,9,1,0,0,0,0,7,20,10,5,0,3,1,1,0,4,0,4,0,23,12,72,6,0,34,0,0,30,0,0,0,0,0,0,0,0,42,10,0,0,0,0,26,8,0,2,0,3,0,0,0,3,0,0,0,22,3,12,0,11,0,8
"404788",1,15,14,28,19,2,28,38,2,23,0,30,5,7,19,8,1,3,15,346,40,11,30,4,9,4,2,15,52,47,42,4,5,24,44,100,1,0,114,57,120,537,0,1,139,0,0,7,23,0,1,8,2,1,9,1,14,3,4,12,83,44,11,22,3,165,36,27,16,7,77,0,2,52,27,10,16,1,0,25,10,67,6,6,7,3,7,9,2,3,72,92,139,117,85,73,7,29,2,1,7,2,3,1,2,2,2,12,2,10,0,0,56,5,2,5,0,4,0,0,0,1,0,0,0,0,0,0,0,0,330,130,143,4,3,5,2,2,0,0,27,3,11,2,62,8,21,9,4,23,94,2,0,4,185,60,25,163,6,34,8,6,2,123,63,83,20,15,0,8,12,0,22,2,2,5,6,6,49,1,1,0,1,24,35,33,40,6,6,9,8,34,58,38,40,0,55,55,3,8,0,132,109,9,87,14,8,15,17,0,1,2,3,25,3,1,1,0,3,108,245,119,72,1,58,1,27,0,78,0,52,0,96,53,42,14,154,1,156
"511344",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110985",0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,3,0,0,0,1,4,0,0,1,0,0,0,0,0,0,1,14,0,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,4,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,2,4,3,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,10,1,0,0,0,0,2,0,0,1,2,1,0,0,2,1,0,0,0,0,0,2,0,1,0,0,0,5,1,5,6,0,0,0,0,0,4,0,0,0,0,0,0,2,5,2,0,0,3,0,0,2,1,0,2,0,2,0,0,0,3,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,5,1,6,0,1,7,0,0,0,0,4,4,1,3,3,0,0,2,0,4,1,0,0,1,0,1,0,2,3,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0
