"","ERR844083","ERR844084","ERR844085","ERR844086"
"669547",1,6876,3,8891
"647619",1,365,0,77
"756973",32,259310,29,141789
"556561",1,0,0,0
"687226",0,1,0,0
"641035",0,3,0,0
"102237",0,2,0,0
"1107760",0,76,0,22
"652441",0,6,0,2
"106926",0,261,0,49
"196412",0,2,0,0
"142573",0,5790,0,814
"1126596",0,41,0,14
"748601",0,24,0,6
"4468717",0,56,0,14
"4362620",0,9588,3,12673
"1141",0,1272,0,179
"101928",0,5,0,0
"4362616",0,7,0,0
"4362614",0,191,0,95
"107234",0,2400,2,1593
"1136152",0,14,0,5
"694995",0,3,0,3
"104677",0,18,0,19
"765291",0,2185,0,1368
"720511",0,7,0,13
"623513",0,0,4,0
"613229",0,0,1,0
"252853",0,0,0,2
"704748",0,0,0,10
"4400135",0,0,0,1
"897527",0,0,0,1
