"","ERR844083","ERR844084","ERR844085","ERR844086"
"239441",6,0,0,0
"4324084",1,0,0,0
"4365996",92,0,0,0
"573138",6,0,0,0
"590450",2,1,0,1
"141944",1,0,0,0
"585869",1,0,0,0
"267091",1,0,0,0
"136608",1,0,0,0
"4375305",2,0,0,0
"257863",226,0,0,0
"1033679",1,0,0,0
"4295877",1,0,0,0
"26036",3,0,0,0
"845028",1,0,0,0
"1107829",1,0,0,0
"754703",1,0,0,0
"1031912",52,0,0,0
"806030",6,0,0,1
"13665",2,0,0,0
"13667",10,0,0,0
"583955",1,0,0,0
"993127",1,0,0,0
"4411895",1,0,0,0
"217190",16,0,0,0
"1094359",1,0,0,0
"245492",2,0,0,0
"818777",1,0,0,0
"333212",6,0,0,0
"905934",7,0,0,0
"3483093",1,0,0,0
"929005",271,0,0,1
"4295827",1,0,0,0
"1058956",28158,3,9,3
"362501",1,0,0,0
"820402",1,0,0,0
"1125179",5,0,0,0
"4175707",2,0,0,0
"1019609",1,0,0,0
"143086",1,0,0,0
"832846",14,0,0,0
"272220",2,0,0,2
"4386733",1,0,0,0
"336784",2,0,0,0
"937813",1,0,0,0
"347529",124,0,1,0
"2192613",2,0,0,0
"361428",1,0,0,0
"4299467",1,0,0,0
"4115290",1,0,0,0
"797875",500,0,0,0
"4399837",25,0,0,0
"1002634",1,0,0,0
"4325036",1,0,0,0
"843785",1,0,0,0
"317841",7,0,0,0
"521294",1,0,0,0
"4413870",2,0,0,0
"256866",1,0,0,0
"4433199",1,0,0,0
"247542",5,0,0,0
"572740",5,0,0,0
"298325",1,0,0,0
"87245",1,0,0,0
"4463852",1,0,0,0
"563768",1,0,0,0
"136439",1,0,0,0
"13681",1,0,0,0
"835386",149,0,0,0
"292820",1,0,0,0
"574421",2,0,0,0
"732706",1,0,0,0
"815586",12,0,0,0
"908948",39,0,0,0
"898095",41,0,0,0
"616067",54,0,0,0
"218000",12,0,0,0
"177185",297,0,0,0
"4300653",7,0,0,0
"1098340",4,0,0,0
"938614",1,0,0,0
"904668",1,0,0,0
"4417417",1,0,0,0
"4271529",1,0,0,0
"1133769",4,0,0,0
"1089636",17,0,0,0
"4321363",1,0,0,0
"1092725",2,0,5,0
"4331120",46,0,1,0
"210358",3,0,0,0
"1085832",1,0,0,0
"238295",1,0,0,0
"1114257",12,0,0,0
"580819",2,0,0,0
"13760",20,0,0,0
"13763",10,0,0,0
"592317",5,0,0,0
"567349",1,0,0,0
"257203",3,0,0,0
"141377",1,0,0,0
"240047",2,0,0,0
"4309911",3,0,0,0
"112983",2,0,0,0
"4308084",1,0,0,0
"541860",14,0,0,0
"729052",12,0,0,0
"590679",4,0,0,0
"348824",1,0,0,0
"4299354",1,0,0,0
"130065",7,0,0,0
"721485",5,0,0,0
"139177",1,0,0,0
"315671",1,0,0,0
"4044766",1,0,0,0
"3406110",3,0,0,0
"4246108",1,0,0,0
"257510",1,0,0,0
"823634",1,0,0,0
"541318",160,0,0,0
"649412",0,4,0,0
"4448097",0,1,0,0
"10667",0,1,0,0
"847728",0,1,0,0
"3897815",0,1,0,0
"4306061",0,1,0,0
"578278",0,1,0,0
"240641",0,11,0,0
"288417",0,1,0,0
"1088134",0,1,0,0
"4393505",0,1,0,0
"1023428",0,0,1,0
"176468",0,0,4,0
"618208",0,0,1,0
"565537",0,0,4,0
"550225",0,0,17,0
"622832",0,0,1,0
"574919",0,0,7,0
"4345360",0,0,1,0
"252609",0,0,1,0
"1058815",0,0,0,1
"553643",0,0,0,1
"4341738",0,0,0,1
"1108334",0,0,0,3
"238813",0,0,0,2
"4386593",0,0,0,1
