"","ERR844083","ERR844084","ERR844085","ERR844086"
"762129",1,0,21,0
"574655",1,0,39,0
"1108830",4,0,0,0
"546022",2,0,0,0
"840604",18,0,7,0
"725444",205,0,0,0
"140993",20,0,1763,0
"538998",1,0,0,0
"1125844",1,0,0,0
"840041",1,0,15,0
"4418684",1,0,0,0
"535429",1,0,1,0
"68458",1,0,0,0
"89669",1,0,0,0
"538679",1,0,0,0
"3798902",1,0,0,0
"1125940",1,0,1,0
"861160",1,0,71,0
"754628",505,0,2,1
"968845",0,1,0,0
"824076",0,0,3,0
"1080641",0,0,1,0
"258707",0,0,1,0
"944968",0,0,27,0
"1007180",0,0,1,0
"767403",0,0,1,0
"275739",0,0,1,0
"148454",0,0,1,0
"4434799",0,0,9,0
"895733",0,0,5,0
"48494",0,0,1,0
"380204",0,0,6,0
"250112",0,0,1,0
"572586",0,0,5,0
"1008869",0,0,1,0
"4302014",0,0,29,0
"644305",0,0,30,0
