"","ERR844083","ERR844084","ERR844085","ERR844086"
"1008172",14,0,0,0
"220234",295,0,0,0
"114687",2,0,0,0
"836783",18,0,0,0
"3025647",3,0,0,0
"359764",1,0,0,0
"668303",63,0,0,0
"241541",1,0,16,0
"143986",11,0,0,0
"1086621",50,0,0,0
"197265",2,0,0,0
"626449",28,0,0,0
"831590",1,0,0,0
"306996",1,0,0,0
"1113279",1,0,0,0
"1098473",109,0,1,0
"299883",1,0,0,0
"880448",3,0,0,0
"4430679",2,0,0,0
"286679",41,0,0,0
"254031",1,0,0,0
"528137",1,1,0,0
"338142",4,0,0,0
"868874",1,0,0,0
"515169",157,0,1,0
"562968",932,1,0,0
"493999",1,0,0,0
"1109653",29,0,0,0
"805044",2,0,0,1
"1067865",131,0,0,0
"156791",1,0,0,0
"206505",7,0,0,0
"839556",5,0,0,0
"884500",1,0,1,0
"152125",6,0,0,0
"3505032",44,0,1,0
"651436",1,0,0,0
"814176",3,0,0,0
"4306941",4982,1,1,1
"132704",1,0,0,0
"287646",1,0,0,0
"253304",1,0,0,0
"1105919",7,0,0,0
"830956",3,0,0,0
"821690",3,0,0,0
"4346780",1,0,0,0
"172207",1,0,0,0
"805561",10,0,0,0
"707353",3,0,0,0
"684018",156,0,0,0
"663258",18,0,0,0
"568984",1,0,0,0
"219194",8,0,0,0
"814576",1144,0,0,0
"1120499",1,0,0,0
"373485",18,0,0,0
"227409",207,0,0,0
"1102814",2,0,0,0
"75371",1,0,0,0
"340488",3,0,0,0
"367189",321,0,0,0
"278789",10,0,0,0
"803402",73,0,2,0
"38074",1,0,0,0
"4497",107,0,0,0
"4460854",1,0,0,0
"1144796",1,0,0,0
"155936",1,0,7,0
"335560",1,1,0,1
"1095073",1,0,0,0
"126056",3,0,0,0
"731868",0,9,0,0
"141108",0,1,0,0
"587098",0,2,0,0
"854272",0,2,0,0
"361662",0,1,0,0
"686219",0,0,1,0
"1123054",0,0,24,0
"584319",0,0,11,0
"806566",0,0,1,0
"539230",0,0,1,0
"850971",0,0,69,0
"520139",0,0,1,0
"849541",0,0,1,0
"3872653",0,0,4,0
"1141160",0,0,27,0
"224499",0,0,1,0
"942852",0,0,0,1
"161556",0,0,0,1
"107767",0,0,0,1
