"","ERR844083","ERR844084","ERR844085","ERR844086"
"825105",10170,1,2,0
"203964",11,0,0,0
"160728",1461,0,1,0
"148626",11,0,0,0
"1121024",1,0,0,0
"58315",67,0,0,0
"223433",10265,0,2,0
"72646",6,0,0,0
"243524",5891,3,1,0
"256078",23,11,0,4
"792796",2,0,0,0
"549213",1,0,0,0
"540623",27,0,0,0
"926777",7,0,0,0
"510854",36,0,0,0
"770503",34,0,0,0
"248238",19332,1,6,4
"38200",61,0,0,0
"545823",47307,6,15,7
"556694",7120,3,2,1
"794020",9,0,0,0
"391196",7,0,0,0
"1109598",29,0,0,0
"1022355",7,0,0,0
"699414",4,0,0,0
"585997",1,0,0,0
"4334538",43,0,0,0
"4334537",16,0,1,0
"138381",1,0,0,0
"850808",1,0,0,0
"567840",0,1,0,0
"3264601",0,0,1,0
