"","ERR844083","ERR844084","ERR844085","ERR844086"
"239441",6,0,0,0
"4365996",92,0,0,0
"824674",2,0,0,0
"671386",1,11,0,17
"267091",1,0,0,0
"136608",1,0,0,0
"4375305",2,0,0,0
"26036",3,0,0,0
"845028",1,0,0,0
"530283",1,0,0,0
"571160",1,0,0,0
"1031912",52,0,0,0
"583955",1,0,0,0
"550476",1,0,0,0
"4455687",5,0,0,0
"226074",36,0,0,0
"10794",1,0,0,0
"217190",16,0,0,0
"245492",2,0,0,0
"333212",6,0,0,0
"246742",7,0,0,0
"822250",1,0,0,0
"760372",1,0,0,0
"4295827",1,0,0,0
"1058956",28158,3,9,3
"820402",1,0,0,0
"1125179",5,0,0,0
"4175707",2,0,0,0
"4401306",1,0,0,0
"4386733",1,0,0,0
"336784",2,0,0,0
"4299467",1,0,0,0
"797875",500,0,0,0
"278958",2,0,0,0
"802887",1,0,1,0
"4399837",25,0,0,0
"4325036",1,0,0,0
"238562",1,0,0,0
"4413870",2,0,0,0
"4433199",1,0,0,0
"247542",5,0,0,0
"1109496",1,0,0,0
"572740",5,0,0,0
"835813",4,0,0,0
"247387",418,0,0,0
"87245",1,0,0,0
"136439",1,0,0,0
"82114",1,0,0,0
"835386",149,0,0,0
"732706",1,0,0,0
"908948",39,0,0,0
"898095",41,0,0,0
"218000",12,0,0,0
"745021",10,0,0,0
"4300653",7,0,0,0
"526696",1,0,0,0
"4417417",1,0,0,0
"4321363",1,0,0,0
"210358",3,0,0,0
"346330",1,0,0,0
"257203",3,0,0,0
"240047",2,0,0,0
"4309911",3,0,0,0
"4308084",1,0,0,0
"729052",12,0,0,0
"4299354",1,0,0,0
"315671",1,0,0,0
"4044766",1,0,0,0
"1122386",1,0,0,0
"3406110",3,0,0,0
"152964",3,0,0,0
"636541",30,0,0,0
"257510",1,0,0,0
"4306061",0,1,0,0
"578278",0,1,0,0
"1110281",0,1,1,0
"594041",0,0,2,0
"622863",0,0,1,0
"574919",0,0,7,0
"252609",0,0,1,0
"630901",0,0,0,1
"4296877",0,0,0,1
"575710",0,0,0,1
"1108334",0,0,0,3
"238813",0,0,0,2
