"dirname"	"AerobicResp"	"CH3_Methanogen"	"Ferm"	"H2_Methanogen"	"H2_Oxidizer"	"Methanotroph"	"NOB"	"SOB"	"Acet_Methanogen"	"Ammonia_Oxidizer"	"ANAMOX"	"FeIII_reducer"	"Methylotroph"	"SRB_CO2"	"SRB_Acetate"	"Fe_oxidizer"	"biome"	"sample"
"1"	"AmericanGut_ERP012803"	468.198996	1.096111	439.515137	0.8769595	1.824376	3.174475	NA	1.296654	NA	NA	NA	NA	NA	NA	NA	NA	"Human"	"American Gut"
"2"	"Atlantic_ERP012887"	597.754929	1.2628935	322.2292015	5.2558225	6.038008	4.8236595	6.420205	6.5676385	2.4508165	9.0076375	NA	4.8651885	2.533463	6.58171	NA	NA	"Marine"	"Atlantic"
"3"	"CanadaWater_ERP012927"	590.4394235	1.9874225	184.297307	5.004578	6.445979	10.374479	0.3491725	6.9614685	3.656222	1.378896	NA	22.031657	2.091331	2.843653	15.6576265	NA	"Freshwater"	"Canadian lakes"
"4"	"Donna_ADSludge"	399.8267715	1.0622015	358.259532	10.6991745	3.315122	5.5350185	0.1651135	6.778104	7.8173345	NA	NA	17.011343	NA	2.114214	NA	NA	"WWT"	"Anaerobic sludge"
"5"	"DuckWater_ERP012631"	689.693117	NA	344.016986	20.095823	6.2212655	15.362461	0.8566085	6.403798	0.296142	6.5848435	NA	42.2634115	0.8628315	NA	10.101614	NA	"Freshwater"	"Farm water"
"6"	"Hydrothermal_ERP011826"	98.4765605	NA	8.2457875	NA	NA	7.3848075	4.746657	1.838518	NA	5.2324845	NA	0.1894005	NA	NA	7.6629275	NA	"Volcanic"	"Hydrothermal vent"
"7"	"Lise_Soils"	113.74345	NA	39.536003	0.8911205	NA	0.5467615	NA	NA	1.8829685	NA	NA	2.7051775	NA	1.291701	NA	NA	"Marine"	"Arctic soil"
"8"	"MalawianChildren_ERP005437"	230.475226	NA	259.9897565	NA	10.2613295	6.996403	NA	1.142994	NA	NA	NA	NA	NA	NA	NA	NA	"Human"	"Malawian children"
"9"	"Marine_ERP013553"	133.1872615	NA	3.7881315	NA	41.913054	14.4635635	NA	NA	NA	NA	NA	NA	2.895022	NA	NA	NA	"Marine"	"Baltic"
"10"	"MexicanSoil_SRP037963"	474.3075495	NA	65.939893	NA	6.648074	6.8397415	NA	5.6524475	NA	0.7433695	NA	4.768696	8.093539	NA	NA	NA	"Soil"	"Mexican soil"
"11"	"ParkGrass_SRP044877"	373.1297	NA	188.7142945	NA	5.317014	7.559748	0.199716	3.9571235	NA	NA	NA	16.4566605	NA	1.2569285	NA	NA	"Soil"	"Canadian parks"
"12"	"SevernTrent"	2318.638379	2.3311355	1215.112174	14.695493	4.781865	8.201361	NA	115.272928	2.949467	45.411508	NA	18.304995	NA	1.369226	NA	NA	"WWT"	"Severn Trent WWT"
"13"	"TARA_ERP001736"	869.387329	NA	289.7228185	NA	9.436372	16.6817625	6.9592265	17.3799545	NA	9.4962685	NA	29.864002	5.5963175	13.2303625	3.273862	NA	"Marine"	"TARA Ocean Survey"
"14"	"Volcanic_ERP010094"	1214.1695495	NA	467.475906	NA	NA	16.102858	NA	9.2150195	NA	NA	NA	7.174735	NA	7.5559495	NA	6.739605	"Volcanic"	"Italian Volcanoes"
